Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,76,103,53,47,22,,74,67,58,58,46,,76,160,15,79,165,,234,114,41,45,39,,70,184,14,61,83,,51,11,50,162,56,,48,100
French,16,43,19,19,5,,28,18,21,23,19,,30,56,5,20,50,,54,43,7,13,9,,15,29,3,24,16,,19,9,11,26,26,,10,28
German,2,10,2,0,3,,3,1,0,1,2,,0,14,1,6,16,,1,5,0,3,5,,0,3,3,5,4,,5,3,1,3,1,,3,2
Spanish,5,3,2,1,0,,2,2,0,3,1,,2,6,0,9,3,,8,3,4,1,1,,5,6,0,4,2,,3,0,2,9,1,,5,4
Gaelic,1,0,0,6,0,,0,0,1,1,0,,0,2,12,0,0,,2,27,0,0,0,,0,5,0,2,0,,0,0,0,2,1,,0,0
Italian,0,0,0,0,0,,0,0,0,0,0,,1,2,0,0,1,,1,0,0,0,0,,0,2,0,0,0,,0,0,0,0,0,,1,0
English as an Additional Language,0,0,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Community Languages,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Other Modern Languages,4,12,6,4,1,,5,11,8,13,5,,12,11,0,8,14,,43,4,11,4,4,,13,48,1,6,14,,1,0,8,43,4,,7,15
Classics,0,0,0,0,0,,0,0,0,0,0,,0,0,1,0,3,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,3,0,,0,0
Mathematics,75,108,53,44,21,,71,63,54,63,42,,71,144,16,74,155,,209,106,40,40,37,,67,159,10,61,84,,46,12,45,158,53,,49,98
Biology,33,58,28,16,8,,41,25,26,36,24,,34,69,9,38,78,,114,60,14,18,18,,35,77,5,30,44,,26,8,25,79,27,,21,54
Chemistry,30,49,23,13,8,,27,24,19,33,18,,34,57,5,27,67,,76,49,15,14,17,,24,63,5,23,30,,20,6,21,64,17,,22,38
Science (general),5,11,5,6,1,,3,1,6,1,1,,0,9,0,3,5,,13,3,3,2,2,,3,12,4,2,4,,4,2,2,12,1,,1,5
Physics,25,45,21,13,6,,27,22,17,25,17,,25,46,7,26,56,,65,45,12,11,16,,25,51,1,22,29,,15,6,18,54,20,,20,25
Economics,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,,0,3,0,0,0,,1,0,0,0,0,,0,0,0,1,0,,0,0
Geography,19,41,25,19,8,,26,14,13,22,15,,22,43,7,21,42,,47,49,9,14,16,,25,55,8,21,24,,18,5,13,53,22,,12,26
History,29,41,26,14,9,,29,23,21,27,16,,21,57,8,25,48,,70,55,14,17,14,,24,64,7,22,29,,21,5,15,60,21,,11,28
Religious Education,18,32,9,8,6,,19,23,7,16,11,,19,39,2,24,36,,57,21,10,16,8,,17,45,4,18,27,,10,1,16,41,15,,12,26
Modern Studies,18,32,1,8,10,,18,22,14,17,12,,12,32,1,17,42,,60,10,10,4,11,,12,46,1,12,25,,11,4,13,38,8,,15,19
