Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,75,116,56,42,23,,73,60,54,68,51,,76,169,15,82,167,,267,121,43,47,38,,70,191,13,57,93,,51,14,50,180,58,,51,98
French,19,32,19,17,6,,24,14,15,23,17,,23,73,2,18,50,,52,36,3,9,11,,9,29,3,21,15,,18,8,9,21,20,,7,26
German,1,3,3,0,2,,3,1,0,1,3,,0,10,1,6,15,,2,3,0,4,5,,0,2,2,2,6,,3,3,0,1,2,,1,2
Spanish,1,4,3,2,0,,2,2,2,6,1,,3,6,0,8,6,,19,5,4,3,1,,6,8,2,4,5,,4,0,2,13,2,,5,4
Gaelic,1,0,0,7,0,,0,0,1,1,0,,0,4,10,0,0,,4,27,0,0,0,,0,4,0,1,0,,0,0,0,1,1,,0,0
Italian,0,0,0,0,0,,0,0,0,0,0,,1,3,0,0,0,,4,0,0,0,0,,0,2,0,0,0,,0,0,0,0,0,,1,0
English as an Additional Language,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,1,1,0,0,,0,0,0,0,1,,0,0,0,0,0,,0,0
Community Languages,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Other Modern Languages,7,24,5,3,0,,3,5,10,10,10,,13,19,1,7,13,,43,6,12,5,4,,18,36,1,10,17,,4,1,12,57,5,,9,19
Classics,0,0,1,0,1,,0,0,0,0,0,,0,1,1,0,4,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Mathematics,73,114,57,37,21,,67,59,58,68,45,,72,158,15,79,149,,240,109,39,43,40,,67,176,11,58,84,,48,13,50,170,48,,48,93
Biology,39,58,31,19,13,,41,29,28,49,29,,39,88,9,46,90,,127,63,13,19,18,,35,93,7,30,52,,29,6,31,77,28,,24,52
Chemistry,33,49,25,13,9,,27,20,19,30,19,,36,71,6,23,71,,91,53,17,18,18,,24,65,5,27,28,,22,5,22,69,19,,18,44
Science (general),5,18,4,6,0,,3,2,7,0,2,,0,8,0,4,3,,14,3,2,1,3,,3,21,4,3,4,,5,4,1,18,2,,0,2
Physics,26,42,22,12,7,,24,21,14,30,17,,28,52,7,29,53,,75,45,12,14,16,,23,52,1,21,28,,14,6,15,54,19,,20,24
Economics,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1,0,,0,0
Geography,23,36,21,13,7,,27,19,11,25,16,,20,49,5,25,41,,57,46,8,15,15,,20,53,6,22,26,,18,5,17,55,16,,11,23
History,31,46,24,16,6,,25,21,22,33,16,,25,70,6,29,54,,85,52,13,13,16,,22,66,3,27,31,,21,5,14,66,23,,16,34
Religious Education,18,31,8,8,4,,16,20,7,21,16,,18,43,2,24,34,,59,17,12,14,9,,18,46,2,14,25,,9,1,12,39,15,,10,28
Modern Studies,17,31,5,5,12,,18,17,16,23,14,,17,37,1,20,47,,83,13,9,9,9,,11,71,2,14,30,,10,3,16,44,13,,15,23
Media Studies,0,2,0,0,0,,0,0,0,0,0,,1,3,0,2,0,,0,0,1,0,0,,1,0,0,0,0,,0,0,0,0,1,,0,1
Business Education,24,47,18,16,10,,28,22,14,34,21,,31,51,5,22,72,,113,31,16,8,13,,11,64,5,17,31,,16,7,24,74,15,,19,45
Computing,16,24,17,11,7,,11,20,13,20,8,,17,51,3,16,35,,53,9,11,11,6,,22,40,2,19,28,,9,3,14,49,11,,14,24
Home Economics,26,33,29,12,8,,26,30,12,25,15,,23,59,7,24,59,,56,28,13,17,13,,17,47,4,27,24,,17,7,16,52,6,,18,25
Technical Education,22,63,27,21,16,,34,29,35,33,24,,28,67,8,40,93,,107,71,21,23,16,,39,87,8,30,47,,24,10,29,75,28,,25,43
PSE/Guidance,38,62,19,7,8,,1,18,10,6,23,,2,56,3,14,32,,30,36,1,18,28,,20,9,6,26,3,,29,6,16,13,0,,1,9
Art & Design,32,48,26,23,11,,32,29,30,33,21,,29,66,7,33,73,,111,55,17,22,19,,36,82,5,32,47,,25,6,29,73,23,,20,35
Music,29,37,21,19,9,,26,24,23,27,15,,23,53,5,40,58,,97,42,18,19,15,,31,73,5,25,37,,18,5,23,73,19,,21,35
Physical Education,55,88,45,30,20,,60,40,45,48,38,,56,136,9,102,128,,183,87,29,36,30,,48,127,7,50,69,,39,10,37,130,49,,36,83
Drama,17,27,8,6,0,,15,9,4,12,9,,20,42,0,19,42,,60,6,3,6,9,,5,36,2,14,1,,8,0,0,41,1,,1,17
Learning Support ,19,98,12,27,7,,27,44,25,10,21,,17,40,11,46,39,,39,46,7,20,18,,32,32,7,33,20,,31,2,30,29,8,,16,21
ASN general,32,3,4,0,7,,3,1,12,1,0,,0,2,1,2,32,,3,11,1,1,5,,0,2,0,3,1,,2,0,3,8,4,,0,2
ASN Behavioural Support,7,3,3,1,1,,0,3,3,1,1,,1,5,0,1,8,,1,4,1,3,1,,2,0,2,1,1,,8,1,1,1,5,,2,0
ASN Learning Difficulties ,7,11,24,2,5,,0,3,6,0,5,,2,10,0,0,12,,5,23,3,5,8,,1,0,4,3,0,,7,12,2,12,7,,1,2
ASN Physical Disabilities,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2,,0,2,0,0,0,,0,0,0,0,0,,0,0,0,2,0,,0,0
Hearing Impairment,0,0,1,0,0,,0,0,4,0,0,,0,0,0,0,0,,3,0,4,0,0,,0,7,0,0,0,,0,0,0,5,0,,0,0
