Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,70,106,52,44,20,,74,59,52,64,49,,76,161,14,81,161,,262,119,45,49,39,,71,187,11,58,81,,55,12,48,157,54,,47,92
French,23,43,19,18,5,,24,18,17,24,17,,26,59,5,19,48,,54,40,3,11,9,,12,30,3,21,18,,16,9,10,23,23,,7,30
German,2,6,1,1,2,,3,1,0,1,4,,0,12,1,5,16,,2,3,0,3,4,,0,4,2,2,4,,3,4,0,2,1,,1,3
Spanish,3,3,3,2,0,,2,1,0,3,0,,2,9,0,9,3,,15,3,4,3,1,,6,10,2,3,1,,4,0,3,12,3,,7,3
Gaelic,1,0,0,5,0,,0,0,1,1,0,,0,1,11,0,0,,3,27,0,0,0,,0,4,0,2,0,,0,0,0,1,1,,0,0
Italian,0,0,0,0,0,,0,0,0,0,0,,1,2,0,0,0,,1,0,0,0,0,,0,3,0,0,1,,0,0,0,0,0,,1,0
English as an Additional Language,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,1,1,0,0,,0,0,0,1,1,,0,0,0,0,0,,0,0
Community Languages,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Other Modern Languages,4,18,9,4,1,,5,10,11,12,8,,13,16,0,9,16,,44,8,11,4,5,,18,38,2,13,15,,3,1,10,45,2,,10,15
Classics,0,0,0,0,0,,0,0,0,0,0,,0,0,1,0,3,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Mathematics,70,112,53,37,21,,69,61,52,64,43,,72,150,17,77,146,,224,114,42,41,39,,69,175,11,59,94,,44,13,47,153,47,,51,89
Biology,36,52,29,17,10,,40,25,27,39,28,,38,83,6,40,86,,108,61,16,22,17,,36,75,6,32,43,,26,7,25,82,27,,19,50
Chemistry,32,50,25,14,5,,27,20,21,31,20,,37,58,8,22,63,,82,51,18,15,17,,22,61,6,27,27,,20,5,19,63,18,,22,39
Science (general),6,17,5,5,0,,4,2,6,0,2,,0,10,0,3,4,,14,5,3,1,3,,3,15,4,3,2,,5,2,2,14,1,,0,4
Physics,24,45,18,13,7,,25,23,15,23,18,,24,47,7,28,58,,71,44,11,10,17,,26,46,2,20,26,,16,5,16,53,18,,20,27
Economics,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,,0,0,1,0,0,,0,0,0,0,0,,0,0,0,1,0,,0,0
Geography,22,39,24,17,6,,26,17,12,24,17,,19,50,8,18,45,,50,51,8,14,17,,21,52,6,22,25,,20,4,17,46,19,,14,24
History,29,37,28,15,7,,27,20,24,27,11,,22,64,6,25,55,,81,53,15,20,13,,24,63,3,25,25,,24,5,13,63,21,,13,36
Religious Education,17,32,8,9,5,,16,20,7,20,15,,20,42,2,27,38,,61,22,11,12,9,,18,44,2,16,26,,11,1,13,42,15,,11,28
Modern Studies,17,35,1,6,10,,18,19,16,18,15,,15,33,0,17,48,,78,12,8,7,8,,6,49,2,15,28,,10,4,12,42,7,,16,21
Media Studies,1,1,0,0,0,,0,0,0,0,0,,1,4,0,3,1,,0,0,0,0,0,,0,1,0,0,0,,1,0,0,0,0,,0,1
Business Education,26,45,16,17,9,,24,24,15,30,19,,28,42,5,23,64,,100,30,14,10,10,,11,66,5,14,30,,15,8,21,67,17,,20,39
Computing,13,25,15,10,8,,8,21,13,22,8,,16,49,2,18,39,,54,9,11,11,7,,22,38,2,17,27,,12,3,16,47,11,,14,23
Home Economics,19,33,28,14,7,,25,32,13,23,11,,25,54,7,25,60,,51,30,11,18,15,,16,56,3,28,24,,15,7,13,46,10,,16,23
Technical Education,23,63,29,24,14,,36,29,34,28,23,,28,63,10,42,94,,100,69,24,23,15,,41,88,9,34,43,,25,10,30,76,27,,25,46
PSE/Guidance,32,63,16,2,6,,0,14,6,4,22,,3,54,3,12,17,,39,31,0,16,26,,18,9,2,23,2,,29,6,18,14,0,,0,11
Art & Design,29,46,28,22,12,,34,31,30,32,22,,30,63,7,30,74,,102,56,17,21,16,,33,78,5,31,43,,25,6,24,65,22,,21,36
