Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,75,111,63,45,24,,86,75,62,60,49,,81,174,17,79,166,,247,127,45,49,44,,74,198,13,66,86,,58,15,58,174,63,,50,99
French,26,47,24,22,6,,31,18,28,30,22,,31,60,9,28,54,,65,58,9,14,15,,23,39,3,12,25,,22,8,16,40,25,,15,34
German,7,14,2,2,4,,5,1,-,1,3,,-,17,2,8,23,,2,5,-,4,6,,1,8,3,4,5,,6,4,1,4,2,,4,5
Spanish,2,2,-,-,-,,-,3,1,1,-,,3,7,-,2,1,,7,2,3,2,1,,3,7,-,3,3,,-,-,2,9,-,,5,4
Gaelic,1,-,1,6,-,,-,-,2,1,-,,-,3,11,-,-,,2,27,-,-,-,,-,4,-,2,-,,-,-,-,1,1,,-,-
Italian,-,-,-,-,-,,-,-,-,-,-,,-,6,-,-,-,,2,-,-,-,-,,-,2,-,-,-,,-,-,-,-,-,,-,-
English as an Additional Language,-,1,1,-,-,,-,-,-,-,-,,-,-,-,-,-,,6,1,1,-,-,,-,-,-,-,-,,-,-,-,-,-,,-,-
Community Languages,-,-,-,-,-,,-,-,-,-,-,,-,1,-,-,-,,6,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,-,-
Other Modern Languages,1,10,7,3,-,,4,16,5,10,-,,11,12,-,2,15,,52,1,10,3,4,,14,29,1,17,15,,2,1,6,35,2,,2,10
Classics,-,-,-,-,-,,-,-,-,-,1,,-,-,1,2,3,,-,-,-,-,-,,1,-,-,-,-,,-,-,-,4,-,,-,-
Mathematics,73,110,57,42,21,,81,74,58,60,46,,76,157,18,75,169,,228,118,40,47,42,,72,187,12,64,86,,51,17,59,161,51,,48,96
Biology,35,53,26,16,10,,47,31,24,34,25,,33,71,8,41,84,,92,66,14,16,21,,34,79,8,24,42,,27,7,26,74,27,,20,52
Chemistry,25,52,25,15,8,,29,23,19,31,18,,37,52,6,27,68,,76,48,15,15,18,,23,66,4,21,30,,21,6,24,56,22,,20,31
Science (general),3,8,8,5,1,,4,3,8,-,-,,3,14,1,2,1,,17,3,3,2,3,,2,7,3,11,3,,6,3,-,10,1,,3,5
Physics,29,41,18,14,7,,24,24,16,25,19,,24,51,7,30,66,,65,45,13,14,18,,25,52,4,23,27,,16,6,16,50,21,,18,27
Economics,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,-,3,-,-,-,,1,-,-,-,-,,-,-,-,2,-,,-,-
Geography,22,37,26,17,6,,25,18,14,21,16,,20,47,5,23,45,,51,48,9,16,16,,20,54,7,20,20,,19,7,17,53,19,,13,23
History,23,40,23,15,7,,37,22,23,20,17,,21,55,5,25,50,,62,47,14,16,17,,27,58,4,19,26,,21,6,15,53,24,,11,28
