Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,70,108,57,43,21,,72,64,55,67,46,,76,161,14,78,161,,262,114,41,43,38,,72,176,13,58,87,,48,12,52,165,55,,52,95
French,22,43,17,17,5,,28,18,19,22,19,,31,59,5,19,53,,54,44,8,10,10,,12,30,3,21,21,,18,10,11,23,23,,9,33
German,2,9,2,1,3,,3,2,0,2,2,,0,12,1,5,16,,2,3,0,3,4,,0,5,2,4,4,,4,3,1,2,2,,3,2
Spanish,4,3,3,1,0,,0,2,0,3,1,,2,9,0,9,3,,12,3,4,2,1,,5,7,2,3,1,,3,0,2,12,3,,5,4
Gaelic,0,0,0,6,0,,0,0,1,1,0,,0,2,10,0,0,,3,28,0,0,0,,0,2,0,2,0,,0,0,0,1,1,,0,0
Italian,0,0,0,0,0,,0,0,0,0,0,,1,1,0,0,0,,1,0,0,0,0,,0,2,0,0,0,,0,0,0,0,0,,1,0
English as an Additional Language,0,0,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Community Languages,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Other Modern Languages,7,13,8,3,1,,4,9,9,15,6,,12,12,0,6,14,,43,4,10,6,5,,16,42,1,10,16,,3,0,10,43,2,,10,12
Classics,0,0,0,0,0,,0,0,0,0,0,,0,0,1,0,3,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Mathematics,71,109,51,37,23,,69,63,55,63,45,,70,146,14,75,149,,225,109,41,42,38,,67,169,10,61,89,,47,13,48,156,47,,54,101
Biology,30,56,26,15,10,,40,25,27,36,22,,34,76,7,39,82,,110,58,14,21,17,,30,74,6,27,38,,27,6,25,77,24,,19,51
Chemistry,30,50,27,13,8,,30,22,23,31,19,,36,59,8,27,71,,85,54,16,14,17,,25,63,5,26,30,,21,6,18,66,20,,22,39
Science (general),4,15,5,6,0,,3,1,9,0,2,,0,7,0,4,4,,11,3,3,1,2,,3,14,4,3,4,,4,4,2,13,1,,0,6
Physics,27,45,19,13,7,,25,23,14,25,20,,23,50,7,26,63,,70,47,12,12,16,,22,49,1,23,29,,13,5,19,55,20,,20,28
