Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,1,100%,0,1,0,1,0,-,0%,-,-,-,-,-,1,0,1,0,1,0,1
English,542,33%,60,138,181,379,64,"1,078",67%,86,237,461,784,137,"1,620",146,375,642,"1,163",201,280
French,138,22%,39,33,30,102,19,486,78%,114,129,119,362,52,624,153,162,149,464,71,167
Gaelic (Learners),6,26%,2,0,3,5,0,17,74%,11,5,0,16,0,23,13,5,3,21,0,9
Gàidhlig,11,48%,3,6,0,9,1,12,52%,8,2,2,12,0,23,11,8,2,21,1,8
German,51,31%,24,10,11,45,3,113,69%,30,20,31,81,14,164,54,30,42,126,17,72
Italian,6,19%,5,1,0,6,0,26,81%,18,5,1,24,1,32,23,6,1,30,1,10
Latin,23,61%,15,5,2,22,1,15,39%,9,4,1,14,0,38,24,9,3,36,1,15
Russian,2,50%,1,1,0,2,0,2,50%,2,0,0,2,0,4,3,1,0,4,0,4
Spanish,29,23%,14,3,9,26,1,98,77%,31,30,22,83,7,127,45,33,31,109,8,48
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,206,72%,82,38,21,141,10,79,28%,35,11,18,64,5,285,117,49,39,205,15,47
Accounting,51,66%,9,3,13,25,5,26,34%,3,4,4,11,0,77,12,7,17,36,5,33
Mathematics,"1,505",61%,339,285,340,964,181,979,39%,244,244,224,712,102,"2,484",583,529,564,"1,676",283,322
,,,,,,,,,,,,,,,,,,,,,
Biology,648,34%,143,137,192,472,68,"1,281",66%,270,320,361,951,130,"1,929",413,457,553,"1,423",198,290
Chemistry,"1,109",54%,303,280,275,858,105,930,46%,258,290,218,766,76,"2,039",561,570,493,"1,624",181,304
Physics,"1,093",79%,330,262,225,817,78,287,21%,125,66,48,239,17,"1,380",455,328,273,"1,056",95,260
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,25,45%,11,7,4,22,0,30,55%,12,7,7,26,0,55,23,14,11,48,0,12
Economics,46,74%,13,16,9,38,2,16,26%,6,5,4,15,1,62,19,21,13,53,3,11
Geography,411,47%,37,113,169,319,52,457,53%,64,167,161,392,43,868,101,280,330,711,95,170
History,400,44%,96,105,118,319,46,513,56%,137,115,158,410,35,913,233,220,276,729,81,175
Modern Studies,223,33%,58,70,60,188,7,443,67%,122,145,114,381,28,666,180,215,174,569,35,135
Philosophy,3,50%,1,1,1,3,0,3,50%,1,0,2,3,0,6,2,1,3,6,0,2
"Religious, Moral and Philosophical Studies",57,37%,27,22,6,55,0,96,63%,29,33,21,83,5,153,56,55,27,138,5,30
Sociology,-,0%,-,-,-,-,-,4,100%,3,1,0,4,0,4,3,1,0,4,0,1
,,,,,,,,,,,,,,,,,,,,,
Administration,3,23%,1,2,0,3,0,10,77%,0,4,5,9,1,13,1,6,5,12,1,8
Business Management,100,46%,0,13,39,52,20,116,54%,3,25,34,62,19,216,3,38,73,114,39,56
Computing,300,86%,61,73,78,212,34,49,14%,8,12,20,40,5,349,69,85,98,252,39,106
Graphic Communication,380,72%,129,130,80,339,16,146,28%,61,42,31,134,7,526,190,172,111,473,23,121
Home Economics: Health and Food Technology,1,4%,0,1,0,1,0,24,96%,2,6,11,19,0,25,2,7,11,20,0,12
Information Systems,53,66%,5,12,11,28,3,27,34%,5,3,7,15,3,80,10,15,18,43,6,19
Product Design,36,47%,1,5,11,17,3,40,53%,9,6,9,24,5,76,10,11,20,41,8,22
Technological Studies,91,94%,28,22,17,67,8,6,6%,3,2,1,6,0,97,31,24,18,73,8,32
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,92,18%,27,20,30,77,9,429,82%,107,108,146,361,37,521,134,128,176,438,46,177
Art and Design Enquiry: Expressive,182,25%,40,42,54,136,24,543,75%,169,130,161,460,44,725,209,172,215,596,68,218
Art and Design: Research and Appreciation,11,34%,3,5,3,11,0,21,66%,9,7,5,21,0,32,12,12,8,32,0,11
Drama,68,23%,8,15,23,46,7,223,77%,33,40,68,141,38,291,41,55,91,187,45,61
Media Studies,3,43%,0,0,0,0,1,4,57%,0,0,3,3,1,7,0,0,3,3,2,3
Music,573,46%,240,178,102,520,19,662,54%,298,195,109,602,23,"1,235",538,373,211,"1,122",42,300
,,,,,,,,,,,,,,,,,,,,,
Physical Education,33,54%,8,3,11,22,3,28,46%,6,3,7,16,5,61,14,6,18,38,8,22
