Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,Number of centres
Accounting,3909,0.413082532,508,756,1076,525,481,5554,0.586917468,929,1149,1529,690,555,9463,1437,1905,2605,1215,1036,469
Agricultural Science,16,0.695652174,1,3,8,2,1,7,0.304347826,2,3,-,1,1,23,3,6,8,3,2,5
"Anatomy, Physiology and Health",740,0.251529572,89,113,176,136,110,2202,0.748470428,248,386,627,327,279,2942,337,499,803,463,389,217
Arithmetic,5156,0.44128723,1247,917,1388,648,534,6528,0.55871277,1181,1053,1989,1009,769,11684,2428,1970,3377,1657,1303,439
Art and Design,4435,0.462509125,285,944,1769,898,381,5154,0.537490875,524,1645,1975,683,240,9589,809,2589,3744,1581,621,404
Biology,6958,0.3325368,1213,1100,1994,1044,917,13966,0.6674632,2080,2342,3826,2208,1859,20924,3293,3442,5820,3252,2776,522
Chemistry,10752,0.521840419,2827,2002,2598,1351,1318,9852,0.478159581,2447,1858,2652,1243,1196,20604,5274,3860,5250,2594,2514,483
Classical Studies,130,0.437710438,21,27,39,17,13,167,0.562289562,50,39,37,17,11,297,71,66,76,34,24,73
Computing,1020,0.581859669,190,227,343,101,85,733,0.418140331,99,153,247,96,71,1753,289,380,590,197,156,109
Craft and Design,1510,0.874348581,236,281,488,188,161,217,0.125651419,48,39,63,29,25,1727,284,320,551,217,186,134
Economic History,92,0.479166667,23,27,28,5,5,100,0.520833333,26,21,28,8,8,192,49,48,56,13,13,9
Economics,1700,0.553205337,389,367,511,211,132,1373,0.446794663,305,221,420,186,143,3073,694,588,931,397,275,236
Engineering,288,0.917197452,30,51,69,50,35,26,0.082802548,2,1,9,5,4,314,32,52,78,55,39,61
English,4837,0.477351229,346,571,1653,848,739,5296,0.522648771,634,758,1853,902,655,10133,980,1329,3506,1750,1394,449
French (Traditional),1923,0.345490478,400,377,531,273,205,3643,0.654509522,802,677,1025,497,390,5566,1202,1054,1556,770,595,269
French (Alternative),317,0.305101059,49,63,111,36,34,722,0.694898941,177,131,199,87,72,1039,226,194,310,123,106,37
Gaelic (Native Speakers),24,0.338028169,3,5,7,3,4,47,0.661971831,16,11,14,2,2,71,19,16,21,5,6,13
Gaelic (Learners),99,0.396,17,27,24,8,12,151,0.604,38,43,35,12,15,250,55,70,59,20,27,48
Geography,11632,0.580178563,1989,2283,3628,1479,1344,8417,0.419821437,1761,1654,2443,982,878,20049,3750,3937,6071,2461,2222,449
Geology,150,0.694444444,24,28,39,20,24,66,0.305555556,7,10,23,15,8,216,31,38,62,35,32,36
German (Traditional),1007,0.342400544,222,193,292,123,107,1934,0.657599456,499,372,544,245,161,2941,721,565,836,368,268,255
