Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,NumberOfCentres
English,562,0.349937733,71,135,216,95,39,1044,0.650062267,95,258,455,181,51,1606,166,393,671,276,90,310
French,106,0.218556701,12,33,39,17,5,379,0.781443299,46,114,162,45,12,485,58,147,201,62,17,158
Gaidhlig,6,0.3,1,3,2,-,-,14,0.7,3,3,4,3,1,20,4,6,6,3,1,5
German,49,0.251282051,8,18,19,4,-,146,0.748717949,30,48,62,6,-,195,38,66,81,10,-,86
Greek (Revised),3,0.6,2,1,-,-,-,2,0.4,2,-,-,-,-,5,4,1,-,-,-,5
Greek,-,0,-,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,-,-,1
Italian,1,0.5,-,1,-,-,-,1,0.5,-,1,-,-,-,2,-,2,-,-,-,1
Latin,13,0.40625,4,4,1,2,2,19,0.59375,5,4,8,2,-,32,9,8,9,4,2,22
Russian,-,0,-,-,-,-,-,4,1,-,1,3,-,-,4,-,1,3,-,-,2
Spanish,8,0.228571429,1,4,3,-,-,27,0.771428571,3,12,10,1,1,35,4,16,13,1,1,18
Mathematics I,1393,0.644012945,208,287,351,322,156,770,0.355987055,98,150,243,186,81,2163,306,437,594,508,237,333
Mathematics II,191,0.670175439,39,43,39,41,26,94,0.329824561,10,19,25,19,19,285,49,62,64,60,45,71
Mathematics III,200,0.657894737,44,43,50,33,30,104,0.342105263,11,22,25,27,19,304,55,65,75,60,49,45
Mathematics IV,124,0.712643678,17,31,24,29,21,50,0.287356322,13,8,18,6,5,174,30,39,42,35,26,41
Mathematics V,123,0.803921569,25,11,33,26,21,30,0.196078431,3,4,16,3,3,153,28,15,49,29,24,41
Biology,240,0.268456376,29,47,80,40,44,654,0.731543624,89,189,230,90,56,894,118,236,310,130,100,201
Chemistry,905,0.534238489,183,221,305,124,71,789,0.465761511,137,259,270,94,29,1694,320,480,575,218,100,283
Physics,832,0.803088803,70,109,241,248,148,204,0.196911197,20,35,76,46,27,1036,90,144,317,294,175,240
Economics (Revised),24,0.888888889,5,12,4,3,-,3,0.111111111,1,1,1,-,-,27,6,13,5,3,-,10
Economics,29,0.674418605,3,7,15,4,-,14,0.325581395,4,4,6,-,-,43,7,11,21,4,-,13
Geography,209,0.526448363,14,55,111,28,1,188,0.473551637,12,68,93,15,-,397,26,123,204,43,1,133
History,291,0.434328358,33,107,112,29,10,379,0.565671642,40,111,177,44,7,670,73,218,289,73,17,199
Modern Studies,126,0.431506849,10,48,48,18,2,166,0.568493151,27,63,62,12,2,292,37,111,110,30,4,102
Computing Studies,105,0.846774194,11,26,48,16,1,19,0.153225806,1,7,9,2,-,124,12,33,57,18,1,57
Engineering,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Management and Information Studies,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,4,1,-,-,3,1,-,4,-,-,3,1,-,2
Secretarial Studies (Word Processing),-,0,-,-,-,-,-,40,1,2,12,18,8,-,40,2,12,18,8,-,20
Technological Studies,18,1,7,2,5,1,3,-,0,-,-,-,-,-,18,7,2,5,1,3,11
Art and Design (Enquiry),239,0.326949384,27,34,71,78,29,492,0.673050616,30,77,170,165,50,731,57,111,241,243,79,192
Art and Design (Research and Appreciation),10,0.243902439,-,4,6,-,-,31,0.756097561,3,13,12,3,-,41,3,17,18,3,-,23
Religious Studies,2,0.285714286,1,-,1,-,-,5,0.714285714,-,1,1,1,2,7,1,1,2,1,2,4
