Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
English,"24,898",51%,"1,986","7,180","8,857","5,770",919,18,0,"24,195",49%,"3,726","9,139","7,645","3,196",349,14,0,"49,093","5,712","16,319","16,502","8,966","1,268",32,0,399
English - Alternative Communication,2,67%,***,***,***,***,***,***,***,1,33%,***,***,***,***,***,***,***,3,***,***,***,***,***,***,***,1
French,"9,813",45%,"1,176","1,986","2,365","2,630","1,291",231,5,"12,209",55%,"2,689","3,332","2,895","2,184",868,104,2,"22,022","3,865","5,318","5,260","4,814","2,159",335,7,309
Gaelic (Learners),122,40%,36,26,36,14,6,3,1,186,60%,72,51,36,18,5,0,0,308,108,77,72,32,11,3,1,21
Gàidhlig,80,40%,8,38,20,12,2,0,0,118,60%,46,56,10,6,0,0,0,198,54,94,30,18,2,0,0,27
German,"2,373",47%,354,472,614,607,235,61,0,"2,643",53%,626,710,655,478,125,20,0,"5,016",980,"1,182","1,269","1,085",360,81,0,148
Italian,169,42%,31,39,36,46,14,1,0,233,58%,84,53,39,36,15,2,0,402,115,92,75,82,29,3,0,12
Latin,176,43%,123,30,17,3,2,0,0,235,57%,184,29,10,8,2,1,0,411,307,59,27,11,4,1,0,24
Spanish,"1,373",42%,168,322,383,302,130,44,1,"1,890",58%,428,597,474,251,98,27,1,"3,263",596,919,857,553,228,71,2,103
Urdu,49,53%,26,4,3,14,2,0,0,43,47%,28,2,7,2,2,0,0,92,54,6,10,16,4,0,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting & Finance,723,53%,113,176,135,136,94,49,8,651,47%,145,165,96,118,89,25,2,"1,374",258,341,231,254,183,74,10,83
Mathematics,"20,792",51%,"3,729","3,074","5,637","3,260","4,107",825,151,"20,089",49%,"3,978","3,071","5,230","3,323","3,618",736,130,"40,881","7,707","6,145","10,867","6,583","7,725","1,561",281,374
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"7,128",35%,"1,611","1,947","1,853",706,683,280,6,"13,209",65%,"3,287","3,820","3,447",990,"1,189",387,11,"20,337","4,898","5,767","5,300","1,696","1,872",667,17,366
Chemistry,"9,162",49%,"3,049","2,523","2,255",605,579,93,8,"9,585",51%,"3,497","2,675","2,108",561,627,73,5,"18,747","6,546","5,198","4,363","1,166","1,206",166,13,356
Physics,"10,018",70%,"2,790","2,876","2,443",779,542,492,39,"4,209",30%,"1,683","1,081",860,231,172,153,7,"14,227","4,473","3,957","3,303","1,010",714,645,46,346
Science,"1,149",55%,79,89,398,319,153,61,4,937,45%,61,59,318,251,147,54,3,"2,086",140,148,716,570,300,115,7,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,124,57%,22,26,24,18,15,14,5,92,43%,24,19,14,13,9,12,1,216,46,45,38,31,24,26,6,10
