Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
Classical Greek,1,33%,1,0,0,1,0,2,67%,1,1,0,2,0,3,2,1,0,3,0,2
English and Communication,363,30%,77,97,121,295,35,842,70%,141,269,313,723,58,"1,205",218,366,434,"1,018",93,207
French,114,20%,31,30,26,87,8,460,80%,124,119,123,366,25,574,155,149,149,453,33,172
Gaidhlig,4,29%,2,2,0,4,0,10,71%,4,6,0,10,0,14,6,8,0,14,0,9
Gaelic (Learners),-,0%,-,-,-,-,-,11,100%,8,1,2,11,0,11,8,1,2,11,0,4
German,64,25%,35,12,9,56,1,188,75%,66,41,47,154,15,252,101,53,56,210,16,92
Italian,7,30%,4,0,2,6,1,16,70%,9,4,1,14,1,23,13,4,3,20,2,10
Latin,20,38%,9,7,2,18,0,32,62%,15,7,10,32,0,52,24,14,12,50,0,17
Russian,1,33%,1,0,0,1,0,2,67%,2,0,0,2,0,3,3,0,0,3,0,1
Spanish,28,20%,11,9,4,24,1,115,80%,39,28,27,94,10,143,50,37,31,118,11,43
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,278,67%,90,48,48,186,n/a,138,33%,41,27,24,92,n/a,416,131,75,72,278,n/a,61
Accounting and Finance,76,58%,15,12,14,41,5,54,42%,18,9,12,39,5,130,33,21,26,80,10,41
Mathematics,"1,531",60%,273,244,314,831,125,"1,022",40%,192,207,246,645,88,"2,553",465,451,560,"1,476",213,342
,,,,,,,,,,,,,,,,,,,,,
Biology,425,27%,68,81,147,296,43,"1,124",73%,172,267,381,820,125,"1,549",240,348,528,"1,116",168,269
Chemistry,887,50%,181,221,239,641,94,882,50%,202,244,273,719,79,"1,769",383,465,512,"1,360",173,305
Physics,"1,081",78%,308,274,233,815,64,297,22%,122,68,52,242,16,"1,378",430,342,285,"1,057",80,287
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,16,47%,8,3,3,14,2,18,53%,7,8,3,18,0,34,15,11,6,32,2,10
Economics,46,70%,17,12,7,36,4,20,30%,3,9,3,15,1,66,20,21,10,51,5,15
Geography,371,49%,24,151,147,322,25,379,51%,74,166,114,354,13,750,98,317,261,676,38,157
History,389,41%,57,111,120,288,53,549,59%,73,164,144,381,90,938,130,275,264,669,143,204
Modern Studies,224,35%,20,49,69,138,33,417,65%,44,106,153,303,51,641,64,155,222,441,84,133
Philosophy,2,50%,1,0,1,2,0,2,50%,1,1,0,2,0,4,2,1,1,4,0,3
Psychology,2,50%,0,0,1,1,1,2,50%,0,0,0,0,1,4,0,0,1,1,2,1
"Religious, Moral and Philosophical Studies",20,51%,7,4,7,18,0,19,49%,9,3,4,16,2,39,16,7,11,34,2,17
,,,,,,,,,,,,,,,,,,,,,
Administration,1,100%,0,0,0,0,0,-,0%,-,-,-,-,-,1,0,0,0,0,0,1
Business Management,67,36%,17,20,17,54,4,120,64%,34,38,29,101,5,187,51,58,46,155,9,43
Computing,373,85%,70,120,112,302,33,66,15%,16,22,23,61,1,439,86,142,135,363,34,109
Craft and Design,40,56%,0,5,9,14,2,31,44%,5,3,9,17,3,71,5,8,18,31,5,30
Graphic Communication,219,72%,63,68,44,175,14,85,28%,30,19,22,71,7,304,93,87,66,246,21,88
Home Economics - Health and Food Technology,-,0%,-,-,-,-,-,15,100%,1,5,7,13,2,15,1,5,7,13,2,9
Home Economics - Lifestyle and Consumer Technology,-,0%,-,-,-,-,-,3,100%,0,2,1,3,0,3,0,2,1,3,0,2
Information Systems,81,72%,11,12,32,55,10,31,28%,1,6,10,17,8,112,12,18,42,72,18,28
Technological Studies,114,97%,68,23,13,104,5,3,3%,2,1,0,3,0,117,70,24,13,107,5,41
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,137,27%,30,28,45,103,n/a,368,73%,61,64,125,250,n/a,505,91,92,170,353,n/a,146
Art and Design Enquiry: Expressive,153,25%,17,35,57,109,n/a,450,75%,77,112,154,343,n/a,603,94,147,211,452,n/a,178
Art and Design: Research and Appreciation,4,19%,0,2,0,2,n/a,17,81%,8,4,5,17,n/a,21,8,6,5,19,n/a,9
Drama,20,27%,15,3,1,19,0,55,73%,45,6,2,53,2,75,60,9,3,72,2,21
Media Studies,2,20%,0,0,1,1,1,8,80%,1,2,2,5,0,10,1,2,3,6,1,2
Music,261,39%,139,70,32,241,6,402,61%,194,141,57,392,2,663,333,211,89,633,8,217
,,,,,,,,,,,,,,,,,,,,,
Physical Education,46,64%,3,2,7,12,2,26,36%,5,4,6,15,3,72,8,6,13,27,5,31
