Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Chinese Languages,4,57%,***,***,***,***,***,3,43%,***,***,***,***,***,7,7,0,0,7,0,5
Classical Greek,1,33%,***,***,***,***,***,2,67%,***,***,***,***,***,3,***,***,***,***,***,1
English,528,31%,146,145,149,440,35,"1,166",69%,254,372,364,990,91,"1,694",400,517,513,"1,430",126,269
French,155,24%,71,39,29,139,6,491,76%,198,143,96,437,29,646,269,182,125,576,35,165
Gaelic (Learners),6,27%,4,1,1,6,0,16,73%,7,6,2,15,0,22,11,7,3,21,0,9
Gàidhlig,9,26%,3,4,2,9,0,25,74%,12,11,2,25,0,34,15,15,4,34,0,14
German,37,29%,15,10,4,29,4,90,71%,31,20,19,70,12,127,46,30,23,99,16,62
Italian,6,20%,4,1,0,5,1,24,80%,13,5,5,23,0,30,17,6,5,28,1,14
Latin,11,42%,7,1,2,10,1,15,58%,6,7,2,15,0,26,13,8,4,25,1,14
Spanish,53,22%,17,11,13,41,4,187,78%,54,52,48,154,18,240,71,63,61,195,22,74
,,,,,,,,,,,,,,,,,,,,,
Accounting,28,68%,7,8,5,20,1,13,32%,7,1,2,10,1,41,14,9,7,30,2,16
Applied Mathematics,249,73%,97,39,54,190,19,92,27%,38,16,17,71,6,341,135,55,71,261,25,54
Mathematics,"2,024",62%,449,417,453,"1,319",212,"1,215",38%,288,278,327,893,98,"3,239",737,695,780,"2,212",310,348
,,,,,,,,,,,,,,,,,,,,,
Biology,842,35%,214,217,191,622,95,"1,575",65%,394,446,399,"1,239",141,"2,417",608,663,590,"1,861",236,295
Chemistry,"1,271",51%,377,347,295,"1,019",118,"1,225",49%,345,310,318,973,110,"2,496",722,657,613,"1,992",228,299
Physics,"1,521",79%,531,373,321,"1,225",110,396,21%,161,95,74,330,24,"1,917",692,468,395,"1,555",134,282
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,33,40%,23,6,1,30,1,49,60%,33,9,5,47,0,82,56,15,6,77,1,16
Economics,64,79%,32,21,9,62,2,17,21%,15,1,1,17,0,81,47,22,10,79,2,10
Geography,338,42%,64,120,105,289,25,462,58%,131,177,127,435,17,800,195,297,232,724,42,155
History,535,43%,156,170,139,465,27,703,57%,246,232,146,624,33,"1,238",402,402,285,"1,089",60,219
Modern Studies,260,33%,74,77,76,227,20,519,67%,171,185,122,478,21,779,245,262,198,705,41,123
"Religious, Moral and Philosophical Studies",81,30%,29,23,17,69,2,187,70%,84,44,40,168,11,268,113,67,57,237,13,51
,,,,,,,,,,,,,,,,,,,,,
Business Management,63,37%,6,13,20,39,12,109,63%,10,31,49,90,9,172,16,44,69,129,21,46
Computing,395,86%,140,112,79,331,29,65,14%,21,24,14,59,4,460,161,136,93,390,33,118
Graphic Communication,715,71%,270,229,136,635,15,296,29%,160,92,37,289,4,"1,011",430,321,173,924,19,189
Home Economics: Health and Food Technology,2,6%,***,***,***,***,***,33,94%,2,12,9,23,2,35,2,13,10,25,2,16
Information Systems,39,83%,21,9,3,33,0,8,17%,3,4,0,7,0,47,24,13,3,40,0,17
Product Design,43,43%,1,6,12,19,4,56,57%,12,5,19,36,5,99,13,11,31,55,9,34
Technological Studies,86,95%,33,15,12,60,4,5,5%,2,0,1,3,0,91,35,15,13,63,4,24
,,,,,,,,,,,,,,,,,,,,,
Art and Design: Design,101,17%,38,30,27,95,5,489,83%,134,144,165,443,32,590,172,174,192,538,37,207
Art and Design: Expressive,134,16%,40,38,38,116,14,697,84%,196,212,237,645,39,831,236,250,275,761,53,257
Drama,79,26%,23,20,21,64,11,229,74%,51,62,74,187,18,308,74,82,95,251,29,69
Music,601,46%,333,172,68,573,10,699,54%,406,198,73,677,7,"1,300",739,370,141,"1,250",17,307
,,,,,,,,,,,,,,,,,,,,,
Physical Education,74,61%,13,14,16,43,8,47,39%,15,8,13,36,4,121,28,22,29,79,12,31
