Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
English,533,31%,88,150,175,413,51,"1,171",69%,159,355,470,984,81,"1,704",247,505,645,"1,397",132,283
French,116,18%,29,28,38,95,9,520,82%,114,123,148,385,35,636,143,151,186,480,44,177
Gàidhlig,3,27%,2,1,0,3,0,8,73%,3,3,1,7,0,11,5,4,1,10,0,3
Gaelic (Learners),6,26%,3,3,0,6,0,17,74%,13,4,0,17,0,23,16,7,0,23,0,9
German,84,28%,26,26,16,68,3,212,72%,53,40,51,144,23,296,79,66,67,212,26,107
Italian,6,23%,4,1,1,6,0,20,77%,12,4,3,19,1,26,16,5,4,25,1,9
Latin,14,40%,11,1,0,12,0,21,60%,9,6,6,21,0,35,20,7,6,33,0,16
Russian,2,50%,2,0,0,2,0,2,50%,2,0,0,2,0,4,4,0,0,4,0,3
Spanish,21,16%,4,8,5,17,1,111,84%,31,19,33,83,9,132,35,27,38,100,10,37
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,214,67%,71,34,40,145,n/a,106,33%,45,21,14,80,n/a,320,116,55,54,225,n/a,53
Accounting and Finance,66,49%,20,15,12,47,4,69,51%,17,16,21,54,4,135,37,31,33,101,8,50
Mathematics,"1,562",62%,312,245,358,915,152,957,38%,195,191,228,614,96,"2,519",507,436,586,"1,529",248,341
,,,,,,,,,,,,,,,,,,,,,
Biology,449,28%,48,108,145,301,48,"1,180",72%,222,371,313,906,129,"1,629",270,479,458,"1,207",177,269
Chemistry,876,49%,184,212,235,631,102,896,51%,193,270,249,712,81,"1,772",377,482,484,"1,343",183,306
Physics,"1,141",81%,346,274,251,871,68,273,19%,96,72,54,222,22,"1,414",442,346,305,"1,093",90,273
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,10,40%,2,3,2,7,1,15,60%,4,8,3,15,0,25,6,11,5,22,1,11
Economics,46,73%,15,9,14,38,5,17,27%,3,4,3,10,4,63,18,13,17,48,9,14
Geography,382,50%,53,120,154,327,28,375,50%,80,159,118,357,11,757,133,279,272,684,39,156
History,449,44%,58,100,147,305,60,571,56%,81,111,196,388,68,"1,020",139,211,343,693,128,206
Modern Studies,225,34%,44,63,70,177,22,428,66%,58,138,126,322,48,653,102,201,196,499,70,134
Philosophy,4,67%,0,2,1,3,0,2,33%,0,0,2,2,0,6,0,2,3,5,0,3
Psychology,4,33%,0,1,0,1,2,8,67%,0,3,4,7,0,12,0,4,4,8,2,2
"Religious, Moral and Philosophical Studies",20,28%,6,5,6,17,1,52,72%,11,17,11,39,5,72,17,22,17,56,6,24
Sociology,-,0%,-,-,-,-,-,4,100%,2,2,0,4,0,4,2,2,0,4,0,1
,,,,,,,,,,,,,,,,,,,,,
Administration,2,20%,0,0,1,1,0,8,80%,2,2,2,6,1,10,2,2,3,7,1,3
Business Management,92,39%,6,23,33,62,9,146,61%,18,38,55,111,8,238,24,61,88,173,17,56
Computing,422,85%,111,117,103,331,37,73,15%,20,24,21,65,3,495,131,141,124,396,40,126
Craft and Design,37,66%,2,4,5,11,1,19,34%,3,9,4,16,0,56,5,13,9,27,1,23
Graphic Communication,319,78%,92,86,78,256,20,89,22%,30,30,19,79,2,408,122,116,97,335,22,103
Home Economics - Fashion and Textile Technology,-,0%,-,-,-,-,-,2,100%,0,1,0,1,0,2,0,1,0,1,0,2
Home Economics - Health and Food Technology,1,8%,0,0,1,1,0,12,92%,1,1,7,9,2,13,1,1,8,10,2,7
Home Economics - Lifestyle and Consumer Technology,-,0%,-,-,-,-,-,4,100%,0,0,4,4,0,4,0,0,4,4,0,2
Information Systems,59,66%,13,8,23,44,3,30,34%,6,6,13,25,0,89,19,14,36,69,3,23
Technological Studies,124,93%,53,30,21,104,3,9,7%,3,1,1,5,1,133,56,31,22,109,4,39
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,142,27%,26,32,39,97,n/a,379,73%,57,85,128,270,n/a,521,83,117,167,367,n/a,177
Art and Design Enquiry: Expressive,178,24%,19,39,62,120,n/a,578,76%,74,122,197,393,n/a,756,93,161,259,513,n/a,232
Art and Design: Research and Appreciation,3,13%,1,1,0,2,n/a,20,87%,5,6,8,19,n/a,23,6,7,8,21,n/a,13
Drama,37,24%,13,11,8,32,1,117,76%,43,33,20,96,8,154,56,44,28,128,9,40
Media Studies,4,27%,0,2,0,2,1,11,73%,0,1,4,5,1,15,0,3,4,7,2,4
Music,289,39%,173,73,29,275,2,447,61%,228,133,59,420,10,736,401,206,88,695,12,245
,,,,,,,,,,,,,,,,,,,,,
Physical Education,46,60%,4,4,7,15,7,31,40%,3,4,9,16,1,77,7,8,16,31,8,32
