Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,3,2,-,1,3,-,6,4,2,-,6,-,9,6,2,1,9,-,8
English,"14,364","1,756","2,800","4,612","9,168","3,403","19,187","3,053","4,329","6,092","13,474","3,943","33,551","4,809","7,129","10,704","22,642","7,346",465
French,"1,101",298,298,292,888,155,"3,143",834,820,903,"2,557",419,"4,244","1,132","1,118","1,195","3,445",574,398
GÃ¡idhlig,18,7,9,2,18,-,32,15,14,2,31,-,50,22,23,4,49,-,11
Gaelic (Learners),31,10,13,4,27,2,107,44,28,25,97,7,138,54,41,29,124,9,26
German,469,127,101,141,369,65,"1,422",374,379,404,"1,157",206,"1,891",501,480,545,"1,526",271,299
Italian,48,20,9,10,39,6,152,65,32,29,126,16,200,85,41,39,165,22,54
Latin,153,63,40,29,132,15,207,90,53,31,174,19,360,153,93,60,306,34,67
Russian,11,7,2,-,9,1,5,4,-,-,4,-,16,11,2,-,13,1,7
Spanish,187,92,41,27,160,15,617,237,128,111,476,76,804,329,169,138,636,91,131
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,187",175,306,331,812,200,"1,586",217,384,478,"1,079",233,"2,773",392,690,809,"1,891",433,315
Mathematics,"10,558","1,607","2,585","2,867","7,059","1,902","9,480","1,359","2,503","2,860","6,722","1,732","20,038","2,966","5,088","5,727","13,781","3,634",449
,,,,,,,,,,,,,,,,,,,
Biology,"3,428",499,845,915,"2,259",717,"7,301","1,030","1,758","2,019","4,807","1,550","10,729","1,529","2,603","2,934","7,066","2,267",423
Chemistry,"5,295","1,020","1,297","1,476","3,793","1,119","5,194",880,"1,321","1,568","3,769","1,057","10,489","1,900","2,618","3,044","7,562","2,176",426
Geology,31,6,7,11,24,7,20,5,5,4,14,3,51,11,12,15,38,10,8
Human Biology,766,121,191,167,479,161,"2,352",255,509,650,"1,414",544,"3,118",376,700,817,"1,893",705,190
Physics,"7,452","1,492","1,690","1,829","5,011","1,380","3,108",829,890,696,"2,415",439,"10,560","2,321","2,580","2,525","7,426","1,819",429
,,,,,,,,,,,,,,,,,,,
Classical Studies,171,36,49,42,127,23,283,71,74,64,209,39,454,107,123,106,336,62,45
Economics,799,168,183,242,593,142,689,107,189,215,511,118,"1,488",275,372,457,"1,104",260,151
Geography,"4,198",557,949,"1,370","2,876",910,"3,713",760,"1,008","1,127","2,895",583,"7,911","1,317","1,957","2,497","5,771","1,493",414
History,"2,928",356,849,940,"2,145",490,"4,391",597,"1,356","1,414","3,367",651,"7,319",953,"2,205","2,354","5,512","1,141",426
Modern Studies,"2,942",464,764,901,"2,129",507,"4,958","1,033","1,381","1,387","3,801",746,"7,900","1,497","2,145","2,288","5,930","1,253",385
,,,,,,,,,,,,,,,,,,,
Computing Studies,"3,579",508,814,"1,100","2,422",708,"1,294",195,337,353,885,263,"4,873",703,"1,151","1,453","3,307",971,369
Craft and Design,"2,250",188,546,699,"1,433",504,815,136,267,234,637,124,"3,065",324,813,933,"2,070",628,319
Graphic Communication,"1,881",242,480,586,"1,308",331,542,82,156,171,409,91,"2,423",324,636,757,"1,717",422,273
Home Economics,59,1,13,14,28,16,653,61,125,178,364,177,712,62,138,192,392,193,144
Management and Information Studies,"1,609",210,449,513,"1,172",259,"2,873",564,835,813,"2,212",379,"4,482",774,"1,284","1,326","3,384",638,295
Secretarial Studies,265,18,64,95,177,54,"3,450",449,"1,004","1,098","2,551",544,"3,715",467,"1,068","1,193","2,728",598,317
Technological Studies,912,149,192,244,585,168,52,12,9,13,34,10,964,161,201,257,619,178,158
,,,,,,,,,,,,,,,,,,,
Art and Design ,"2,572",345,683,866,"1,894",504,"4,805","1,175","1,526","1,371","4,072",579,"7,377","1,520","2,209","2,237","5,966","1,083",421
Drama,286,34,78,91,203,56,977,221,289,269,779,134,"1,263",255,367,360,982,190,147
Music,"1,100",382,415,221,"1,018",56,"1,822",661,685,354,"1,700",100,"2,922","1,043","1,100",575,"2,718",156,395
,,,,,,,,,,,,,,,,,,,
Physical Education,"2,668",170,553,826,"1,549",631,"1,000",99,218,288,605,205,"3,668",269,771,"1,114","2,154",836,304
,,,,,,,,,,,,,,,,,,,
Religious Studies,317,26,69,101,196,54,"1,034",125,207,359,691,221,"1,351",151,276,460,887,275,153
