Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Chinese Languages,37,44%,29,4,1,-,34,2,47,56%,38,6,1,-,45,1,84,67,10,2,-,79,3,18
Classical Greek,5,29%,5,0,0,-,5,0,12,71%,11,1,0,-,12,0,17,16,1,0,-,17,0,5
English,"11,671",50%,"2,299","3,695","3,562",-,"9,556",867,"11,794",50%,"3,344","3,845","3,132",-,"10,321",693,"23,465","5,643","7,540","6,694",-,"19,877","1,560",405
English for Speakers of Other Languages,301,43%,85,83,59,-,227,12,397,57%,123,108,90,-,321,16,698,208,191,149,-,548,28,84
French,"1,679",37%,960,372,226,-,"1,558",61,"2,810",63%,"1,838",552,279,-,"2,669",56,"4,489","2,798",924,505,-,"4,227",117,286
Gaelic (Learners),21,55%,5,7,5,-,17,2,17,45%,6,3,4,-,13,2,38,11,10,9,-,30,4,10
Gàidhlig,15,50%,14,0,0,-,14,0,15,50%,13,1,0,-,14,0,30,27,1,0,-,28,0,12
German,439,44%,231,114,60,-,405,12,554,56%,327,138,61,-,526,10,993,558,252,121,-,931,22,120
Italian,42,29%,21,10,8,-,39,2,102,71%,63,22,13,-,98,2,144,84,32,21,-,137,4,27
Latin,77,49%,69,6,1,-,76,1,79,51%,70,8,1,-,79,0,156,139,14,2,-,155,1,15
Russian,7,54%,6,1,0,-,7,0,6,46%,4,2,0,-,6,0,13,10,3,0,-,13,0,9
Spanish,726,35%,399,162,88,-,649,28,"1,330",65%,852,246,149,-,"1,247",33,"2,056","1,251",408,237,-,"1,896",61,170
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,167,55%,61,29,32,-,122,12,137,45%,55,20,28,-,103,13,304,116,49,60,-,225,25,63
Mathematics,"11,838",49%,"4,021","2,340","1,915",-,"8,276",811,"12,226",51%,"4,483","2,511","1,993",-,"8,987",834,"24,064","8,504","4,851","3,908",-,"17,263","1,645",425
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"2,913",36%,622,664,746,-,"2,032",367,"5,124",64%,"1,150","1,231","1,343",-,"3,724",541,"8,037","1,772","1,895","2,089",-,"5,756",908,363
Biotechnology,45,51%,17,12,10,-,39,3,43,49%,17,11,10,-,38,1,88,34,23,20,-,77,4,7
Chemistry,"2,444",52%,933,538,471,-,"1,942",167,"2,264",48%,"1,009",470,378,-,"1,857",130,"4,708","1,942","1,008",849,-,"3,799",297,298
