Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Cantonese,2,***,***,***,***,***,-,2,***,***,***,***,***,-,0,-,-,-,-,-,-,1
English,"7,799","6,179","1,158","2,399","2,622",695,-,"4,505",616,"1,335","1,527","3,478",442,-,"3,294",542,"1,064","1,095","2,701",253,-,370
French,"2,172","1,642",587,554,501,165,-,"1,041",246,241,252,739,102,-,"1,131",341,313,249,903,63,-,90
Gaelic (Learners),10,6,3,3,0,0,-,1,***,***,***,***,***,-,9,3,3,0,6,0,-,4
Gàidhlig,16,15,11,2,2,1,-,13,8,2,2,12,1,-,3,***,***,***,***,***,-,4
German,446,398,222,94,82,22,-,246,118,42,51,211,14,-,200,104,52,31,187,8,-,37
Italian,50,47,37,5,5,2,-,12,6,4,1,11,1,-,38,31,1,4,36,1,-,8
Latin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mandarin (Simplified),27,25,20,4,1,2,-,10,5,2,1,8,2,-,17,15,2,0,17,0,-,8
Mandarin (Traditional),1,***,***,***,***,***,-,0,-,-,-,-,-,-,1,***,***,***,***,***,-,1
Russian,7,5,1,2,2,1,-,2,***,***,***,***,***,-,5,1,2,2,5,0,-,2
Spanish,995,795,417,192,186,66,-,409,131,89,93,313,34,-,586,286,103,93,482,32,-,100
,,,,,,,,,,,,,,,,,,,,,,
Accounting,99,65,37,17,11,2,-,55,21,6,6,33,0,-,44,16,11,5,32,2,-,15
Mathematics,"12,852","8,361","4,047","2,225","2,089",857,-,"6,602","2,035","1,129","1,092","4,256",438,-,"6,250","2,012","1,096",997,"4,105",419,-,414
,,,,,,,,,,,,,,,,,,,,,,
Biology,"5,874","4,090","1,261","1,414","1,415",585,-,"2,209",430,528,549,"1,507",207,-,"3,665",831,886,866,"2,583",378,-,285
Chemistry,"2,987","2,412","1,050",749,613,178,-,"1,643",572,435,334,"1,341",93,-,"1,344",478,314,279,"1,071",85,-,245
Geology,52,47,29,10,8,1,-,31,19,7,3,29,0,-,21,10,3,5,18,1,-,10
Managing Environmental Resources,135,99,30,31,38,6,-,81,20,19,23,62,3,-,54,10,12,15,37,3,-,16
Physics,"2,722","1,843",642,643,558,237,-,"2,269",512,549,476,"1,537",201,-,453,130,94,82,306,36,-,235
,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,19,7,1,3,3,1,-,7,0,2,1,3,1,-,12,1,1,2,4,0,-,5
Geography,797,602,213,190,199,53,-,487,134,118,118,370,32,-,310,79,72,81,232,21,-,154
History,"1,870","1,550",408,676,466,133,-,"1,017",204,361,259,824,88,-,853,204,315,207,726,45,-,209
Modern Studies,"1,062",767,273,256,238,81,-,548,136,134,118,388,37,-,514,137,122,120,379,44,-,157
Psychology,123,80,39,23,18,10,-,31,3,6,7,16,3,-,92,36,17,11,64,7,-,16
"Religious, Moral and Philosophical Studies",579,452,191,126,135,11,-,217,58,49,51,158,6,-,362,133,77,84,294,5,-,48
,,,,,,,,,,,,,,,,,,,,,,
Administration,"2,721","2,236",971,772,493,141,-,927,267,265,186,718,54,-,"1,794",704,507,307,"1,518",87,-,230
Applied Practical Electronics,101,92,43,27,22,2,-,92,41,24,19,84,2,-,9,2,3,3,8,0,-,8
Automotive Skills,77,60,-,-,-,-,60,74,-,-,-,58,-,58,3,-,-,-,***,-,***,2
Business Management,"1,090",830,307,295,228,91,-,555,152,166,112,430,43,-,535,155,129,116,400,48,-,142
