Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,4,57%,2,2,0,0,0,0,0,3,43%,3,0,0,0,0,0,0,7,5,2,0,0,0,0,0,1
English,"27,168",50%,"2,081","7,829","9,050","6,589","1,249",38,0,"26,761",50%,"3,892","10,004","7,792","4,158",563,24,0,"53,929","5,973","17,833","16,842","10,747","1,812",62,0,416
French,"12,853",46%,"1,590","2,423","3,015","3,570","1,734",274,7,"15,134",54%,"3,246","3,797","3,429","3,130","1,164",109,6,"27,987","4,836","6,220","6,444","6,700","2,898",383,13,349
Gaelic (Learners),190,52%,48,65,32,21,17,6,0,177,48%,53,57,25,24,9,7,1,367,101,122,57,45,26,13,1,22
Gaidhlig,64,43%,8,27,17,6,5,0,0,84,57%,27,42,14,1,0,0,0,148,35,69,31,7,5,0,0,26
German,"3,347",47%,485,731,896,838,280,67,0,"3,850",53%,"1,001","1,017",890,673,182,31,0,"7,197","1,486","1,748","1,786","1,511",462,98,0,186
Italian,113,35%,26,24,25,22,13,3,0,209,65%,83,43,33,39,8,0,0,322,109,67,58,61,21,3,0,22
Latin,211,45%,114,49,22,14,7,1,0,257,55%,151,42,21,19,14,5,0,468,265,91,43,33,21,6,0,30
Russian,1,50%,1,0,0,0,0,0,0,1,50%,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2
Spanish,"1,419",43%,152,306,337,341,201,62,2,"1,880",57%,415,551,456,287,125,18,0,"3,299",567,857,793,628,326,80,2,116
Urdu,43,42%,21,0,5,8,6,2,0,60,58%,41,8,3,4,1,0,0,103,62,8,8,12,7,2,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting & Finance,"1,003",52%,158,247,160,191,143,74,2,929,48%,152,236,163,174,114,63,7,"1,932",310,483,323,365,257,137,9,126
Mathematics,"23,724",51%,"4,248","3,385","6,227","3,830","4,979",899,130,"23,058",49%,"4,141","3,566","5,996","3,907","4,429",868,129,"46,782","8,389","6,951","12,223","7,737","9,408","1,767",259,392
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,896",33%,"1,664","1,866","1,740",655,624,274,11,"14,133",67%,"3,118","3,978","3,739","1,189","1,354",591,20,"21,029","4,782","5,844","5,479","1,844","1,978",865,31,373
Chemistry,"9,549",49%,"3,054","2,591","2,568",702,423,130,15,"9,926",51%,"3,399","2,513","2,519",704,581,122,12,"19,475","6,453","5,104","5,087","1,406","1,004",252,27,362
Physics,"10,530",71%,"2,901","2,767","2,686",994,620,439,32,"4,250",29%,"1,542","1,092",941,262,209,159,6,"14,780","4,443","3,859","3,627","1,256",829,598,38,357
Science,"1,629",55%,98,90,611,386,223,125,12,"1,332",45%,73,57,454,312,238,105,11,"2,961",171,147,"1,065",698,461,230,23,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,179,53%,37,37,41,29,17,10,0,160,47%,48,40,37,15,11,7,1,339,85,77,78,44,28,17,1,15
Contemporary Social Studies,37,66%,0,2,1,13,16,2,0,19,34%,0,2,3,4,8,1,0,56,0,4,4,17,24,3,0,5
Economics,68,49%,6,19,12,8,11,9,3,70,51%,2,19,10,5,12,14,8,138,8,38,22,13,23,23,11,6
Geography,"9,900",56%,"2,029","2,451","2,225","1,203","1,238",593,160,"7,868",44%,"2,242","1,945","1,532",871,673,461,136,"17,768","4,271","4,396","3,757","2,074","1,911","1,054",296,357
