Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Chinese Languages,17,50%,12,3,0,-,15,0,17,50%,15,0,0,-,15,0,34,27,3,0,-,30,0,13
Classical Greek,9,60%,3,3,1,-,7,0,6,40%,5,1,0,-,6,0,15,8,4,1,-,13,0,4
English,"11,733",49%,"2,095","3,690","3,828",-,"9,613",904,"12,119",51%,"2,693","3,984","3,717",-,"10,394",751,"23,852","4,788","7,674","7,545",-,"20,007","1,655",405
English for Speakers of Other Languages,293,37%,58,70,67,-,195,15,495,63%,131,131,118,-,380,32,788,189,201,185,-,575,47,85
French,"1,706",38%,960,384,235,-,"1,579",59,"2,826",62%,"1,797",604,295,-,"2,696",56,"4,532","2,757",988,530,-,"4,275",115,287
Gaelic (Learners),15,36%,5,3,2,-,10,3,27,64%,8,8,6,-,22,3,42,13,11,8,-,32,6,12
Gàidhlig,12,44%,9,2,1,-,12,0,15,56%,10,4,1,-,15,0,27,19,6,2,-,27,0,10
German,362,40%,172,86,74,-,332,14,550,60%,331,119,62,-,512,21,912,503,205,136,-,844,35,120
Italian,42,28%,26,7,4,-,37,0,109,72%,74,18,12,-,104,2,151,100,25,16,-,141,2,27
Latin,75,54%,73,2,0,-,75,0,64,46%,63,0,1,-,64,0,139,136,2,1,-,139,0,12
Russian,3,23%,***,***,***,-,***,***,10,77%,7,0,1,-,8,0,13,9,0,1,-,10,1,6
Spanish,574,33%,281,114,82,-,477,35,"1,141",67%,644,255,127,-,"1,026",49,"1,715",925,369,209,-,"1,503",84,173
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,144,50%,60,26,27,-,113,9,142,50%,81,24,13,-,118,9,286,141,50,40,-,231,18,72
Mathematics,"11,793",50%,"3,404","2,309","2,243",-,"7,956",881,"11,756",50%,"3,589","2,327","2,271",-,"8,187",964,"23,549","6,993","4,636","4,514",-,"16,143","1,845",430
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"2,846",36%,805,641,624,-,"2,070",277,"5,154",64%,"1,421","1,139","1,203",-,"3,763",474,"8,000","2,226","1,780","1,827",-,"5,833",751,368
Biotechnology,52,60%,15,13,11,-,39,3,35,40%,4,5,9,-,18,8,87,19,18,20,-,57,11,6
Chemistry,"2,404",52%,826,514,468,-,"1,808",190,"2,259",48%,863,503,437,-,"1,803",119,"4,663","1,689","1,017",905,-,"3,611",309,296
Geology,14,48%,4,3,4,-,11,0,15,52%,2,5,6,-,13,0,29,6,8,10,-,24,0,4
Managing Environmental Resources,66,62%,15,16,18,-,49,2,41,38%,11,9,10,-,30,3,107,26,25,28,-,79,5,19
Physics,"3,270",75%,957,726,672,-,"2,355",304,"1,100",25%,529,233,159,-,921,69,"4,370","1,486",959,831,-,"3,276",373,305
,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,49,45%,22,12,10,-,44,3,60,55%,32,16,6,-,54,3,109,54,28,16,-,98,6,13
