Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Classical Greek,6,38%,6,0,0,-,6,0,10,63%,10,0,0,-,10,0,16,16,0,0,-,16,0,4
English,"9,211",48%,"1,591","2,621","2,707",-,"6,919",852,"9,902",52%,"1,955","2,418","3,000",-,"7,373","1,005","19,113","3,546","5,039","5,707",-,"14,292","1,857",415
English for Speakers of Other Languages,157,40%,21,20,18,-,59,13,236,60%,51,48,28,-,127,13,393,72,68,46,-,186,26,25
French,"1,135",35%,628,241,150,-,"1,019",45,"2,140",65%,"1,351",453,212,-,"2,016",49,"3,275","1,979",694,362,-,"3,035",94,267
Gaelic (Learners),5,17%,3,1,1,-,5,0,25,83%,17,2,4,-,23,0,30,20,3,5,-,28,0,10
Gàidhlig,9,82%,5,0,4,-,9,0,2,18%,0,1,0,-,1,1,11,5,1,4,-,10,1,7
German,265,33%,109,66,48,-,223,17,537,67%,273,142,79,-,494,18,802,382,208,127,-,717,35,131
Italian,32,22%,17,5,2,-,24,1,112,78%,64,17,10,-,91,7,144,81,22,12,-,115,8,28
Latin,54,50%,43,8,1,-,52,1,55,50%,49,4,2,-,55,0,109,92,12,3,-,107,1,10
Russian,2,100%,1,1,0,-,2,0,-,0%,-,-,-,-,-,-,2,1,1,0,-,2,0,2
Spanish,274,28%,142,52,42,-,236,10,711,72%,460,109,81,-,650,18,985,602,161,123,-,886,28,129
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,164,44%,33,41,32,-,106,10,208,56%,47,36,45,-,128,13,372,80,77,77,-,234,23,106
Mathematics,"9,049",48%,"2,964","1,707","1,563",-,"6,234",562,"9,940",52%,"3,373","1,863","1,715",-,"6,951",750,"18,989","6,337","3,570","3,278",-,"13,185","1,312",432
,,,,,,,,,,,,,,,,,,,,,,,,
