Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,9,69%,9,0,0,9,0,4,31%,4,0,0,4,0,13,13,0,0,13,0,7
English,"12,101",42%,"1,517","2,443","3,790","7,750","1,726","16,772",58%,"2,442","3,498","5,463","11,403","2,342","28,873","3,959","5,941","9,253","19,153","4,068",439
French,"1,132",25%,516,262,184,962,60,"3,482",75%,"1,418",787,638,"2,843",225,"4,614","1,934","1,049",822,"3,805",285,387
Gaelic (Learners),42,30%,21,8,4,33,1,97,70%,45,27,14,86,6,139,66,35,18,119,7,25
Gàidhlig,26,29%,10,8,5,23,0,65,71%,40,18,4,62,1,91,50,26,9,85,1,18
German,535,30%,173,112,129,414,46,"1,259",70%,493,250,265,"1,008",99,"1,794",666,362,394,"1,422",145,247
Italian,68,25%,36,12,7,55,2,201,75%,97,47,32,176,7,269,133,59,39,231,9,47
Latin,97,40%,36,28,18,82,4,148,60%,65,37,24,126,7,245,101,65,42,208,11,48
Russian,9,53%,6,2,0,8,0,8,47%,7,0,1,8,0,17,13,2,1,16,0,13
Spanish,249,23%,125,43,44,212,11,832,77%,439,151,127,717,41,"1,081",564,194,171,929,52,135
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,079",47%,320,263,210,793,74,"1,237",53%,379,278,276,933,105,"2,316",699,541,486,"1,726",179,253
Mathematics,"10,233",53%,"2,388","2,083","2,443","6,914",902,"9,161",47%,"2,079","1,956","2,335","6,370",907,"19,394","4,467","4,039","4,778","13,284","1,809",433
,,,,,,,,,,,,,,,,,,,,,
Biology,"2,761",31%,780,669,645,"2,094",221,"6,091",69%,"1,524","1,588","1,519","4,631",558,"8,852","2,304","2,257","2,164","6,725",779,378
Biotechnology,15,43%,10,0,3,13,0,20,57%,4,1,8,13,4,35,14,1,11,26,4,5
Chemistry,"4,620",50%,"1,150","1,033","1,202","3,385",511,"4,651",50%,"1,018","1,153","1,275","3,446",495,"9,271","2,168","2,186","2,477","6,831","1,006",417
Geology,40,63%,11,8,12,31,3,23,37%,3,5,12,20,2,63,14,13,24,51,5,10
Human Biology,886,26%,216,180,203,599,93,"2,566",74%,508,562,663,"1,733",265,"3,452",724,742,866,"2,332",358,173
Managing Environmental Resources,41,46%,11,15,9,35,1,48,54%,10,22,9,41,2,89,21,37,18,76,3,8
Physics,"6,681",72%,"1,780","1,440","1,615","4,835",672,"2,605",28%,831,586,604,"2,021",225,"9,286","2,611","2,026","2,219","6,856",897,411
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,189,44%,42,32,39,113,19,244,56%,61,56,54,171,18,433,103,88,93,284,37,43
Economics,529,62%,170,144,117,431,39,318,38%,84,69,85,238,25,847,254,213,202,669,64,74
Geography,"4,042",55%,874,883,"1,070","2,827",384,"3,365",45%,"1,033",827,795,"2,655",263,"7,407","1,907","1,710","1,865","5,482",647,391
History,"3,447",44%,557,"1,093","1,032","2,682",267,"4,444",56%,838,"1,529","1,264","3,631",299,"7,891","1,395","2,622","2,296","6,313",566,418
Modern Studies,"2,993",39%,630,746,844,"2,220",245,"4,745",61%,"1,197","1,171","1,208","3,576",386,"7,738","1,827","1,917","2,052","5,796",631,359
Philosophy,329,43%,75,97,82,254,21,437,57%,86,138,115,339,33,766,161,235,197,593,54,88
Politics,37,62%,10,19,4,33,0,23,38%,8,9,4,21,0,60,18,28,8,54,0,12
Psychology,669,24%,123,151,148,422,31,"2,110",76%,528,572,430,"1,530",115,"2,779",651,723,578,"1,952",146,102
"Religious, Moral and Philosophical Studies",467,28%,73,124,121,318,48,"1,206",72%,221,337,355,913,97,"1,673",294,461,476,"1,231",145,159
Sociology,176,29%,48,42,29,119,8,424,71%,123,95,80,298,24,600,171,137,109,417,32,38
,,,,,,,,,,,,,,,,,,,,,
Administration,849,20%,116,226,270,612,86,"3,367",80%,558,952,990,"2,500",298,"4,216",674,"1,178","1,260","3,112",384,338
Building and Architectural Technology,4,67%,1,1,0,2,0,2,9%,0,2,0,2,0,22,6,8,2,16,0,2
Building Services,20,91%,6,6,2,14,0,2,33%,1,0,0,1,0,6,2,1,0,3,0,1
Business Management,"2,546",44%,408,666,739,"1,813",236,"3,299",56%,645,850,892,"2,387",267,"5,845","1,053","1,516","1,631","4,200",503,328
Care,60,10%,8,8,15,31,8,563,90%,61,95,138,294,48,623,69,103,153,325,56,28
Care Practice,41,10%,18,8,10,36,2,372,90%,113,117,84,314,12,413,131,125,94,350,14,17
Civil Engineering,19,95%,1,3,3,7,0,1,5%,0,1,0,1,0,20,1,4,3,8,0,2
Computing,"3,868",76%,724,977,"1,076","2,777",368,"1,222",24%,215,305,350,870,134,"5,090",939,"1,282","1,426","3,647",502,306
Construction,44,94%,2,8,12,22,1,3,6%,0,2,0,2,0,47,2,10,12,24,1,4
Craft and Design,"1,598",66%,164,306,464,934,220,823,34%,154,234,217,605,70,"2,421",318,540,681,"1,539",290,284
Design,18,47%,0,2,0,2,1,20,53%,1,0,1,2,0,38,1,2,1,4,1,2
Early Years Care and Education,9,2%,2,2,4,8,0,352,98%,51,91,111,253,28,361,53,93,115,261,28,16
Electronics,8,100%,2,0,2,4,0,-,0%,-,-,-,-,-,8,2,0,2,4,0,1
Fabrication and Welding Engineering,28,97%,7,6,6,19,0,1,3%,0,0,0,0,1,29,7,6,6,19,1,2
Food Production Supervision,3,75%,0,0,2,2,0,1,25%,0,1,0,1,0,4,0,1,2,3,0,1
Graphic Communication,"2,264",70%,603,592,528,"1,723",170,984,30%,223,242,285,750,78,"3,248",826,834,813,"2,473",248,313
Hairdressing: Principles of Colouring Hair,-,0%,-,-,-,-,-,17,100%,0,4,12,16,0,17,0,4,12,16,0,1
Home Economics: Fashion and Textile Technology,3,4%,0,2,0,2,0,79,96%,3,9,27,39,15,82,3,11,27,41,15,11
Home Economics: Health and Food Technology,58,8%,7,19,22,48,4,656,92%,155,218,173,546,47,714,162,237,195,594,51,119
Home Economics: Lifestyle and Consumer Technology,10,6%,2,2,1,5,0,145,94%,38,50,29,117,9,155,40,52,30,122,9,29
