Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,3,75%,***,***,***,***,***,***,***,1,25%,***,***,***,***,***,***,***,4,***,***,***,***,***,***,***,2
English,"25,551",51%,"1,910","7,319","8,703","6,126","1,191",32,0,"24,749",49%,"3,497","9,260","7,571","3,687",480,9,0,"50,300","5,407","16,579","16,274","9,813","1,671",41,0,405
English - Alternative Communication,1,50%,***,***,***,***,***,***,***,1,50%,***,***,***,***,***,***,***,2,***,***,***,***,***,***,***,2
French,"10,702",45%,"1,420","2,262","2,615","2,638","1,348",238,5,"12,846",55%,"3,084","3,527","2,940","2,212",815,100,0,"23,548","4,504","5,789","5,555","4,850","2,163",338,5,325
Gaelic (Learners),140,39%,26,40,39,21,8,4,0,222,61%,91,66,32,20,8,1,0,362,117,106,71,41,16,5,0,22
Gàidhlig,69,40%,9,27,22,9,0,0,0,104,60%,43,37,14,5,3,0,0,173,52,64,36,14,3,0,0,25
German,"2,792",47%,401,569,662,785,299,42,2,"3,134",53%,761,806,775,571,165,23,0,"5,926","1,162","1,375","1,437","1,356",464,65,2,164
Italian,74,39%,20,17,16,13,5,1,0,116,61%,54,30,20,6,4,0,0,190,74,47,36,19,9,1,0,13
Latin,161,43%,105,30,12,8,6,0,0,211,57%,164,29,4,9,5,0,0,372,269,59,16,17,11,0,0,25
Spanish,"1,427",41%,184,298,382,314,181,35,0,"2,012",59%,455,592,472,295,135,26,1,"3,439",639,890,854,609,316,61,1,104
Urdu,59,53%,19,11,12,13,3,0,0,53,47%,24,15,5,9,0,0,0,112,43,26,17,22,3,0,0,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting & Finance,839,52%,122,201,155,135,144,56,4,762,48%,112,203,119,133,123,51,3,"1,601",234,404,274,268,267,107,7,101
Mathematics,"21,756",51%,"3,699","3,353","6,171","3,150","3,994","1,132",249,"20,900",49%,"3,726","3,321","5,531","3,106","3,769","1,154",276,"42,656","7,425","6,674","11,702","6,256","7,763","2,286",525,371
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,880",34%,"1,672","1,725","1,730",745,724,235,11,"13,435",66%,"3,154","3,767","3,425","1,177","1,373",463,5,"20,315","4,826","5,492","5,155","1,922","2,097",698,16,368
Chemistry,"9,377",49%,"2,956","2,705","2,459",686,432,72,9,"9,644",51%,"3,392","2,704","2,363",571,467,69,7,"19,021","6,348","5,409","4,822","1,257",899,141,16,360
Physics,"10,266",71%,"2,981","2,800","2,262",838,563,683,35,"4,176",29%,"1,569","1,213",749,230,176,200,5,"14,442","4,550","4,013","3,011","1,068",739,883,40,350
Science,"1,285",54%,69,108,454,336,184,70,6,"1,084",46%,63,85,339,289,192,65,3,"2,369",132,193,793,625,376,135,9,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,125,53%,33,32,22,18,7,8,0,110,47%,38,29,9,16,7,8,0,235,71,61,31,34,14,16,0,8
Contemporary Social Studies,10,56%,0,0,0,4,5,1,0,8,44%,0,0,1,5,2,0,0,18,0,0,1,9,7,1,0,1
Economics,52,51%,9,13,2,3,11,10,4,49,49%,8,11,5,6,9,7,3,101,17,24,7,9,20,17,7,6
Geography,"9,217",56%,"2,257","2,167","1,508","1,191","1,306",622,163,"7,229",44%,"2,361","1,728",967,737,791,522,120,"16,446","4,618","3,895","2,475","1,928","2,097","1,144",283,345
