Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,4,44%,4,0,0,4,0,5,56%,5,0,0,5,0,9,9,0,0,9,0,3
English,"7,569",50%,684,"2,021","2,583","5,288",855,"7,625",50%,940,"2,229","2,530","5,699",798,"15,194","1,624","4,250","5,113","10,987","1,653",423
French,704,33%,319,139,127,585,35,"1,440",67%,700,311,231,"1,242",61,"2,144","1,019",450,358,"1,827",96,240
Gaelic (Learners),22,48%,13,2,0,15,0,24,52%,20,2,1,23,1,46,33,4,1,38,1,12
Gàidhlig,1,9%,1,0,0,1,0,10,91%,5,5,0,10,0,11,6,5,0,11,0,8
German,232,37%,96,56,40,192,14,396,63%,175,98,76,349,19,628,271,154,116,541,33,139
Italian,55,35%,35,8,6,49,2,102,65%,65,15,10,90,5,157,100,23,16,139,7,29
Latin,52,56%,42,5,5,52,0,41,44%,33,3,3,39,1,93,75,8,8,91,1,11
Russian,-,0%,-,-,-,-,-,3,100%,3,0,0,3,0,3,3,0,0,3,0,3
Spanish,194,26%,90,35,33,158,13,543,74%,288,108,68,464,26,737,378,143,101,622,39,111
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,195,38%,50,32,31,113,13,320,62%,103,57,55,215,22,515,153,89,86,328,35,143
Mathematics,"6,582",48%,"1,658","1,442","1,276","4,376",509,"7,144",52%,"2,132","1,645","1,383","5,160",534,"13,726","3,790","3,087","2,659","9,536","1,043",421
,,,,,,,,,,,,,,,,,,,,,
Biology,"1,469",31%,330,319,389,"1,038",138,"3,203",69%,585,769,825,"2,179",363,"4,672",915,"1,088","1,214","3,217",501,350
Biotechnology,35,34%,7,5,9,21,3,69,66%,8,13,15,36,9,104,15,18,24,57,12,12
Chemistry,"1,031",48%,285,175,222,682,120,"1,139",52%,317,222,245,784,111,"2,170",602,397,467,"1,466",231,247
Geology,19,63%,2,6,6,14,3,11,37%,0,3,4,7,2,30,2,9,10,21,5,7
Managing Environmental Resources,45,67%,15,10,5,30,1,22,33%,8,4,7,19,0,67,23,14,12,49,1,7
Physics,"1,654",74%,286,290,354,930,153,586,26%,235,117,105,457,30,"2,240",521,407,459,"1,387",183,265
Amenity Horticulture,17,89%,5,5,3,13,1,2,11%,0,1,1,2,0,19,5,6,4,15,1,2
Livestock Production,1,100%,1,0,0,1,0,-,0%,-,-,-,-,-,1,1,0,0,1,0,1
Plant Propagation,11,100%,0,0,0,0,0,-,0%,-,-,-,-,-,11,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,22,42%,4,5,3,12,3,31,58%,9,7,6,22,1,53,13,12,9,34,4,9
Economics,126,68%,78,17,18,113,3,62,32%,25,11,10,46,2,188,103,28,28,159,5,29
Geography,"1,085",61%,183,276,288,747,90,694,39%,156,196,159,511,41,"1,779",339,472,447,"1,258",131,240
History,"1,254",47%,252,250,343,845,135,"1,396",53%,333,280,383,996,122,"2,650",585,530,726,"1,841",257,286
Modern Studies,665,41%,104,151,158,413,62,961,59%,216,235,229,680,75,"1,626",320,386,387,"1,093",137,201
Philosophy,46,46%,19,6,5,30,0,55,54%,28,7,7,42,2,101,47,13,12,72,2,28
Psychology,107,22%,21,17,18,56,7,377,78%,120,60,74,254,23,484,141,77,92,310,30,37
"Religious, Moral and Philosophical Studies",250,38%,37,61,56,154,28,413,62%,63,94,101,258,38,663,100,155,157,412,66,101
Sociology,47,29%,24,8,5,37,2,115,71%,82,8,10,100,1,162,106,16,15,137,3,16
