Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,3,43%,2,1,0,3,0,4,57%,3,0,1,4,0,7,5,1,1,7,0,5
English,"11,118",40%,"1,426","2,172","3,506","7,104","1,603","16,398",60%,"2,382","3,331","5,142","10,855","2,314","27,516","3,808","5,503","8,648","17,959","3,917",440
French,998,23%,463,182,172,817,72,"3,294",77%,"1,407",666,666,"2,739",200,"4,292","1,870",848,838,"3,556",272,383
Gaelic (Learners),56,36%,19,16,14,49,2,98,64%,49,26,17,92,3,154,68,42,31,141,5,24
Gàidhlig,52,42%,19,23,6,48,1,72,58%,33,27,10,70,0,124,52,50,16,118,1,18
German,422,30%,171,80,84,335,32,977,70%,346,211,188,745,92,"1,399",517,291,272,"1,080",124,224
Italian,60,25%,32,10,5,47,3,176,75%,85,35,26,146,9,236,117,45,31,193,12,44
Latin,106,45%,46,34,21,101,0,132,55%,49,33,27,109,11,238,95,67,48,210,11,43
Russian,5,56%,4,1,0,5,0,4,44%,3,0,1,4,0,9,7,1,1,9,0,9
Spanish,265,25%,122,58,48,228,16,793,75%,391,160,128,679,47,"1,058",513,218,176,907,63,148
,,,,,,,,,,,,,,,,,,,,,
Accounting,824,51%,239,182,170,591,65,806,49%,251,163,154,568,67,"1,630",490,345,324,"1,159",132,218
Mathematics,"9,615",52%,"2,340","2,309","1,996","6,645",797,"9,008",48%,"2,189","2,181","2,049","6,419",796,"18,623","4,529","4,490","4,045","13,064","1,593",432
,,,,,,,,,,,,,,,,,,,,,
Biology,"3,018",33%,763,609,786,"2,158",321,"6,026",67%,"1,316","1,344","1,526","4,186",711,"9,044","2,079","1,953","2,312","6,344","1,032",373
Biotechnology,16,57%,12,1,2,15,0,12,43%,6,3,2,11,1,28,18,4,4,26,1,4
Chemistry,"4,693",51%,"1,310","1,108","1,134","3,552",423,"4,475",49%,"1,137","1,117","1,173","3,427",405,"9,168","2,447","2,225","2,307","6,979",828,412
Geology,38,67%,6,11,11,28,5,19,33%,9,5,2,16,2,57,15,16,13,44,7,10
Human Biology,"1,023",27%,250,214,265,729,106,"2,714",73%,473,549,729,"1,751",320,"3,737",723,763,994,"2,480",426,187
Managing Environmental Resources,34,52%,9,10,5,24,1,31,48%,10,9,8,27,1,65,19,19,13,51,2,9
Physics,"6,196",72%,"1,716","1,468","1,309","4,493",555,"2,421",28%,796,615,517,"1,928",175,"8,617","2,512","2,083","1,826","6,421",730,409
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,178,40%,64,35,36,135,5,270,60%,95,57,56,208,12,448,159,92,92,343,17,39
Economics,406,59%,129,123,75,327,32,280,41%,64,76,62,202,29,686,193,199,137,529,61,63
Geography,"3,695",52%,791,900,972,"2,663",321,"3,369",48%,"1,044",837,764,"2,645",244,"7,064","1,835","1,737","1,736","5,308",565,394
History,"3,405",43%,606,"1,076",990,"2,672",255,"4,461",57%,902,"1,406","1,274","3,582",317,"7,866","1,508","2,482","2,264","6,254",572,405
Modern Studies,"2,746",38%,556,715,821,"2,092",200,"4,455",62%,"1,037","1,181","1,232","3,450",326,"7,201","1,593","1,896","2,053","5,542",526,353
Philosophy,362,45%,65,95,110,270,27,435,55%,83,137,129,349,27,797,148,232,239,619,54,91
Politics,37,49%,14,12,6,32,2,38,51%,14,10,6,30,5,75,28,22,12,62,7,11
Psychology (New),604,23%,80,116,146,342,52,"2,028",77%,336,483,500,"1,319",158,"2,632",416,599,646,"1,661",210,116
"Religious, Moral and Philosophical Studies",118,26%,36,24,30,90,12,333,74%,89,95,85,269,19,451,125,119,115,359,31,44
"Religious, Moral and Philosophical Studies (New)",399,30%,59,96,88,243,40,924,70%,181,236,217,634,75,"1,323",240,332,305,877,115,131
Sociology,150,24%,40,26,28,94,13,469,76%,132,102,99,333,23,619,172,128,127,427,36,41
,,,,,,,,,,,,,,,,,,,,,
Administration,630,20%,55,118,185,358,89,"2,562",80%,263,552,757,"1,572",332,"3,192",318,670,942,"1,930",421,300
Building and Architectural Technology,43,90%,3,12,12,27,2,5,10%,1,1,1,3,0,48,4,13,13,30,2,3
Building Services,3,100%,1,1,0,2,0,-,0%,-,-,-,-,-,3,1,1,0,2,0,1
Business Management,"2,623",45%,399,684,747,"1,830",257,"3,172",55%,553,807,878,"2,238",288,"5,795",952,"1,491","1,625","4,068",545,342
Care,56,9%,2,9,14,25,8,584,91%,62,93,136,291,70,640,64,102,150,316,78,33
Care Practice,31,8%,11,6,7,24,0,335,92%,104,112,77,293,6,366,115,118,84,317,6,18
Civil Engineering,18,100%,3,1,3,7,0,-,0%,-,-,-,-,-,18,3,1,3,7,0,2
Computing (New),"3,236",74%,549,723,830,"2,102",347,"1,120",26%,175,242,304,721,135,"4,356",724,965,"1,134","2,823",482,301
Construction,39,95%,6,9,6,21,0,2,5%,0,1,0,1,0,41,6,10,6,22,0,4
Design,6,26%,3,1,2,6,0,17,74%,2,4,11,17,0,23,5,5,13,23,0,2
Early Education and Childcare,14,2%,3,3,3,9,1,598,98%,87,155,169,411,52,612,90,158,172,420,53,22
Early Years Care and Education,1,1%,0,0,0,0,1,84,99%,32,18,22,72,4,85,32,18,22,72,5,3
Fabrication and Welding Engineering,22,100%,4,5,7,16,1,-,0%,-,-,-,-,-,22,4,5,7,16,1,2
Food Production Supervision,1,50%,0,0,0,0,0,1,50%,1,0,0,1,0,2,1,0,0,1,0,1
Graphic Communication,"2,278",71%,652,537,541,"1,730",178,946,29%,274,244,226,744,65,"3,224",926,781,767,"2,474",243,317
Home Economics: Fashion and Textile Technology,2,2%,0,1,1,2,0,112,98%,8,18,44,70,12,114,8,19,45,72,12,18
Home Economics: Health and Food Technology,61,9%,7,14,24,45,7,648,91%,90,175,241,506,65,709,97,189,265,551,72,107
Home Economics: Lifestyle and Consumer Technology,10,6%,6,2,1,9,1,153,94%,36,63,39,138,9,163,42,65,40,147,10,29
Hospitality - Food and Drink Service,2,67%,0,0,0,0,0,1,33%,0,0,0,0,0,3,0,0,0,0,0,1
Hospitality - Professional Cookery,37,49%,13,10,4,27,1,38,51%,20,9,3,32,0,75,33,19,7,59,1,6
Information Systems,"1,250",66%,122,293,368,783,168,654,34%,73,158,210,441,65,"1,904",195,451,578,"1,224",233,175
Mechatronics,29,100%,7,9,5,21,0,-,0%,-,-,-,-,-,29,7,9,5,21,0,3
