Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Classical Greek,6,50%,4,2,0,-,6,0,6,50%,4,0,2,-,6,0,12,8,2,2,-,12,0,4
English,"10,326",48%,"1,618","2,706","3,227",-,"7,551",954,"11,185",52%,"2,104","3,039","3,518",-,"8,661",1003,"21,511","3,722","5,745","6,745",-,"16,212","1,957",415
English for Speakers of Other Languages,280,38%,97,61,53,-,211,18,457,62%,165,128,79,-,372,17,737,262,189,132,-,583,35,74
French,"1,631",37%,819,349,274,-,"1,442",92,"2,813",63%,"1,597",620,393,-,"2,610",92,"4,444","2,416",969,667,-,"4,052",184,284
Gaelic (Learners),28,47%,10,7,5,-,22,3,31,53%,6,11,7,-,24,4,59,16,18,12,-,46,7,19
Gàidhlig,15,52%,8,4,2,-,14,1,14,48%,10,3,1,-,14,0,29,18,7,3,-,28,1,10
German,347,37%,140,91,74,-,305,17,580,63%,339,106,80,-,525,27,927,479,197,154,-,830,44,126
Italian,50,29%,25,8,7,-,40,2,120,71%,82,16,10,-,108,6,170,107,24,17,-,148,8,30
Latin,59,48%,54,2,2,-,58,1,63,52%,62,0,0,-,62,0,122,116,2,2,-,120,1,13
Mandarin (Simplified),4,21%,***,***,***,-,4,***,15,79%,13,2,0,-,15,0,19,17,2,0,-,19,0,5
Russian,1,50%,***,***,***,-,0,***,1,50%,***,***,***,-,1,***,2,***,***,***,-,1,***,2
Spanish,453,31%,245,94,57,-,396,15,"1,024",69%,662,183,96,-,941,34,"1,477",907,277,153,-,"1,337",49,159
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,164,49%,49,26,25,-,100,6,171,51%,47,27,34,-,108,9,335,96,53,59,-,208,15,84
Mathematics,"10,615",48%,"3,566","2,012","1,762",-,"7,340",685,"11,323",52%,"4,014","2,179","1,980",-,"8,173",752,"21,938","7,580","4,191","3,742",-,"15,513","1,437",426
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"2,585",35%,720,580,570,-,"1,870",222,"4,769",65%,"1,184","1,161","1,153",-,"3,498",386,"7,354","1,904","1,741","1,723",-,"5,368",608,372
Biotechnology,67,61%,19,12,11,-,42,8,43,39%,8,10,9,-,27,3,110,27,22,20,-,69,11,10
Chemistry,"2,201",51%,869,477,390,-,"1,736",155,"2,118",49%,901,442,377,-,"1,720",121,"4,319","1,770",919,767,-,"3,456",276,285
Geology,13,62%,3,2,1,-,6,2,8,38%,1,2,4,-,7,0,21,4,4,5,-,13,2,9
Managing Environmental Resources,60,57%,14,19,15,-,48,3,45,43%,17,15,7,-,39,3,105,31,34,22,-,87,6,18
Physics,"2,852",73%,868,612,585,-,"2,065",247,"1,054",27%,482,222,166,-,870,69,"3,906","1,350",834,751,-,"2,935",316,283
,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,72,45%,37,17,10,-,64,0,88,55%,50,12,14,-,76,2,160,87,29,24,-,140,2,16
Economics,248,69%,167,44,19,-,230,7,114,31%,72,15,14,-,101,3,362,239,59,33,-,331,10,27
Geography,"1,865",58%,606,441,379,-,"1,426",128,"1,328",42%,567,303,226,-,"1,096",64,"3,193","1,173",744,605,-,"2,522",192,278
History,"2,593",49%,645,674,743,-,"2,062",191,"2,653",51%,883,665,653,-,"2,201",173,"5,246","1,528","1,339","1,396",-,"4,263",364,321
Modern Studies,"1,314",43%,375,330,297,-,"1,002",73,"1,717",57%,653,393,386,-,"1,432",87,"3,031","1,028",723,683,-,"2,434",160,250
Philosophy,124,41%,22,14,22,-,58,8,176,59%,49,25,25,-,99,9,300,71,39,47,-,157,17,59
Psychology,195,29%,64,39,32,-,135,13,489,71%,208,85,68,-,361,21,684,272,124,100,-,496,34,30
"Religious, Moral and Philosophical Studies (New)",386,40%,106,62,82,-,250,28,577,60%,194,112,101,-,407,32,963,300,174,183,-,657,60,131
Sociology,61,34%,34,8,6,-,48,3,118,66%,63,22,13,-,98,4,179,97,30,19,-,146,7,12
,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,019",24%,136,349,269,-,754,105,"3,181",76%,649,999,845,-,"2,493",249,"4,200",785,"1,348","1,114",-,"3,247",354,314
Business Management,"1,716",47%,582,513,319,-,"1,414",116,"1,947",53%,742,488,357,-,"1,587",111,"3,663","1,324","1,001",676,-,"3,001",227,321
Care,49,7%,7,14,15,-,36,4,678,93%,189,156,134,-,479,48,727,196,170,149,-,515,52,33
Care Issues for Society: Child Care,0,0%,-,-,-,-,-,-,81,100%,2,5,19,-,26,11,81,2,5,19,-,26,11,2
Care Issues for Society: Older People,5,8%,1,1,3,-,5,0,54,92%,11,20,18,-,49,0,59,12,21,21,-,54,0,4
Computing,"2,216",72%,684,607,469,-,"1,760",150,863,28%,301,184,200,-,685,48,"3,079",985,791,669,-,"2,445",198,232
