Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Classical Greek,2,33%,2,0,0,-,2,0,4,67%,3,0,0,-,3,0,6,5,0,0,-,5,0,3
English,"10,281",49%,"1,753","2,731","3,201",-,"7,685",961,"10,768",51%,"2,058","2,971","3,319",-,"8,348",994,21049,"3,811","5,702","6,520",-,"16,033","1,955",411
English for Speakers of Other Languages,150,32%,43,44,31,-,118,4,325,68%,101,84,62,-,247,21,475,144,128,93,-,365,25,49
French,"1,466",37%,804,309,219,-,"1,332",54,"2,534",63%,"1,575",501,275,-,"2,351",87,"4,000","2,379",810,494,-,"3,683",141,273
Gaelic (Learners),13,30%,5,4,3,-,12,0,31,70%,13,6,10,-,29,1,44,18,10,13,-,41,1,13
Gàidhlig,18,62%,12,4,1,-,17,0,11,38%,8,3,0,-,11,0,29,20,7,1,-,28,0,9
German,355,37%,171,77,57,-,305,19,602,63%,397,119,52,-,568,11,957,568,196,109,-,873,30,130
Italian,44,24%,34,5,3,-,42,0,138,76%,97,15,13,-,125,4,182,131,20,16,-,167,4,38
Latin,55,51%,38,12,3,-,53,1,52,49%,46,5,1,-,52,0,107,84,17,4,-,105,1,10
Mandarin (Simplified),7,28%,4,2,1,-,7,0,18,72%,12,4,2,-,18,0,25,16,6,3,-,25,0,6
Mandarin (Traditional),1,50%,1,0,0,-,1,0,1,50%,1,0,0,-,1,0,2,2,0,0,-,2,0,1
Russian,1,14%,1,0,0,-,1,0,6,86%,6,0,0,-,6,0,7,7,0,0,-,7,0,2
Spanish,384,31%,227,81,49,-,357,9,840,69%,544,154,92,-,790,24,"1,224",771,235,141,-,"1,147",33,149
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,157,45%,54,29,31,-,114,11,191,55%,62,36,36,-,134,11,348,116,65,67,-,248,22,83
Mathematics,"10,296",48%,"3,753","1,891","1,601",-,"7,245",655,"11,191",52%,"4,366","2,056","1,810",-,"8,232",689,"21,487","8,119","3,947","3,411",-,"15,477","1,344",427
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"2,427",35%,570,571,599,-,"1,740",286,"4,500",65%,885,"1,092","1,120",-,"3,097",512,"6,927","1,455","1,663","1,719",-,"4,837",798,366
Biotechnology,37,48%,10,7,6,-,23,1,40,52%,9,12,11,-,32,4,77,19,19,17,-,55,5,6
Chemistry,"2,027",49%,777,392,382,-,"1,551",156,"2,083",51%,766,457,385,-,"1,608",137,"4,110","1,543",849,767,-,"3,159",293,285
Geology,8,80%,2,3,1,-,6,0,2,20%,1,1,0,-,2,0,10,3,4,1,-,8,0,5
