Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
English (Revised),"14,641","1,840","3,066","4,669","9,575","3,278","19,487","3,049","4,542","6,217","13,808","3,829","34,128","4,889","7,608","10,886","23,383","7,107",555
English,55,6,9,21,36,12,88,1,19,34,54,20,143,7,28,55,90,32,19
French (Revised),"1,583",248,406,504,"1,158",307,"4,260",691,"1,037","1,333","3,061",880,"5,843",939,"1,443","1,837","4,219","1,187",452
French,2,-,-,1,1,1,7,-,1,4,5,1,9,-,1,5,6,2,4
Gáidhlig (Revised),9,6,1,1,8,-,36,13,13,9,35,1,45,19,14,10,43,1,9
Gáidhlig,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gaelic (Learners) (Revised),32,8,9,8,25,5,66,24,23,13,60,4,98,32,32,21,85,9,22
Gaelic (Learners),5,2,1,2,5,-,17,7,5,4,16,1,22,9,6,6,21,1,5
German (Revised),537,83,117,167,367,120,"1,655",274,386,484,"1,144",374,"2,192",357,503,651,"1,511",494,309
German,19,3,9,2,14,4,17,5,3,5,13,4,36,8,12,7,27,8,8
Greek (Optional Paper III)*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greek (Revised),3,2,1,-,3,-,5,4,1,-,5,-,8,6,2,-,8,-,6
Greek,6,4,-,-,4,1,6,4,1,-,5,1,12,8,1,-,9,2,4
Hebrew,6,6,-,-,6,-,18,13,3,-,16,-,24,19,3,-,22,-,5
Italian (Revised),25,11,5,6,22,2,129,41,28,28,97,19,154,52,33,34,119,21,45
Italian,21,5,6,4,15,2,31,16,8,5,29,-,52,21,14,9,44,2,15
Latin (Optional Paper III)*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Latin (Revised),194,50,49,64,163,14,311,80,91,86,257,40,505,130,140,150,420,54,109
Latin,1,-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,1,-,1
Norwegian,16,6,1,3,10,4,11,6,2,1,9,1,27,12,3,4,19,5,10
Portuguese,6,4,1,1,6,-,3,3,-,-,3,-,9,7,1,1,9,-,4
Russian (Revised),10,7,1,2,10,-,10,7,-,2,9,1,20,14,1,4,19,1,6
Russian,3,2,-,-,2,1,4,4,-,-,4,-,7,6,-,-,6,1,4
Spanish (Revised),121,59,17,17,93,15,399,138,102,71,311,44,520,197,119,88,404,59,97
Spanish,20,2,4,4,10,4,76,16,20,13,49,16,96,18,24,17,59,20,18
Swedish,12,8,2,1,11,-,8,4,2,1,7,1,20,12,4,2,18,1,15
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,090",139,298,360,797,182,"1,216",127,299,419,845,232,"2,306",266,597,779,"1,642",414,248
Accounting,437,48,115,149,312,57,613,61,152,216,429,102,"1,050",109,267,365,741,159,124
Mathematics (Revised),"10,396","1,398","2,644","2,857","6,899","1,763","9,334","1,090","2,559","2,728","6,377","1,656","19,730","2,488","5,203","5,585","13,276","3,419",496
Mathematics ,11,1,2,5,8,2,10,1,4,3,8,-,21,2,6,8,16,2,4
,,,,,,,,,,,,,,,,,,,
"Anatomy, Physiology and Health",53,7,17,9,33,12,281,30,56,84,170,69,334,37,73,93,203,81,44
