Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,4,4,-,-,-,- ,-,-,6,4,2,-,-,-,-,-,10,8,2,-,-,-,-,-,8
English,"29,763","2,374","7,259","10,369","7,202","1,753",94,-,"29,232","4,094","9,724","9,998","4,202",676,27,1,"58,995","6,468","16,983","20,367","11,404","2,429",121,1,487
English - Alternative Communication,3,-,-,-,-,3,-,-,4,-,-,-,3,1,-,-,7,-,-,-,3,4,-,-,3
English - Spoken,15,1,2,3,8,1,-,-,5,-,1,1,1,2,-,-,20,1,3,4,9,3,-,-,11
French,"18,495","1,790","2,997","3,797","4,194","2,852","1,320",79,"19,861","3,698","4,554","4,506","3,592","1,900",586,20,"38,356","5,488","7,551","8,303","7,786","4,752","1,906",99,434
French  (Writing)*,"6,949",517,"1,269",999,"1,599",-,-,-,"10,879","1,276","2,597","1,712","2,288",-,-,-,"17,828","1,793","3,866","2,711","3,887",-,-,-,421
Gàidhlig,42,15,17,7,3,-,-,-,56,25,17,12,1,-,-,-,98,40,34,19,4,-,-,-,14
Gaelic (Learners),187,27,33,38,50,29,8,-,236,85,72,33,25,18,-,-,423,112,105,71,75,47,8,-,30
Gaelic (Learners) (Writing)*,60,4,4,12,23,-,-,-,147,24,31,37,32,-,-,-,207,28,35,49,55,-,-,-,26
German,"7,855",764,"1,344","1,897","1,724","1,039",421,26,"8,164","1,837","2,021","1,864","1,328",538,148,2,"16,019","2,601","3,365","3,761","3,052","1,577",569,28,329
German (Writing)*,"3,243",229,405,643,"1,064",-,-,-,"5,088",649,954,"1,137","1,405",-,-,-,"8,331",878,"1,359","1,780","2,469",-,-,-,319
Italian,244,29,53,60,43,24,24,3,383,122,84,72,47,29,13,-,627,151,137,132,90,53,37,3,42
Italian (Writing)*,109,15,21,19,29,-,-,-,246,48,55,35,50,-,-,-,355,63,76,54,79,-,-,-,36
Latin,451,227,85,27,34,30,19,1,525,278,115,43,26,34,8,1,976,505,200,70,60,64,27,2,86
Russian,4,-,4,-,-,-,-,-,5,1,1,1,1,1,-,-,9,1,5,1,1,1,-,-,2
Russian (Writing)*,4,-,-,-,2,-,-,-,5,1,-,1,1,-,-,-,9,1,-,1,3,-,-,-,2
Spanish,"1,004",126,191,212,191,146,63,4,"1,583",386,447,326,246,110,25,-,"2,587",512,638,538,437,256,88,4,122
Spanish (Writing)*,467,19,47,74,164,-,-,-,"1,059",60,180,185,388,-,-,-,"1,526",79,227,259,552,-,-,-,112
Urdu,49,10,9,13,6,2,6,-,73,33,20,8,5,1,2,-,122,43,29,21,11,3,8,-,15
Urdu (Writing)*,19,5,3,5,3,-,-,-,48,18,15,9,5,-,-,-,67,23,18,14,8,-,-,-,11
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,006",487,541,295,300,210,91,8,"2,771",711,740,493,380,222,108,2,"4,777","1,198","1,281",788,680,432,199,10,304
Mathematics,"30,203","4,723","4,246","6,432","5,100","6,490","2,068",415,"29,480","5,026","4,177","6,150","5,269","6,168","1,719",336,"59,683","9,749","8,423","12,582","10,369","12,658","3,787",751,481
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,732","1,544","2,043","1,654",875,368,118,6,"15,323","3,257","5,401","3,837","1,706",692,166,13,"22,055","4,801","7,444","5,491","2,581","1,060",284,19,428
Chemistry,"11,503","3,266","3,804","2,606","1,030",466,139,25,"11,241","3,456","3,938","2,489",849,273,75,19,"22,744","6,722","7,742","5,095","1,879",739,214,44,424
Physics,"13,078","3,937","4,311","3,092",997,461,121,21,"6,055","2,415","2,030","1,053",318,144,32,2,"19,133","6,352","6,341","4,145","1,315",605,153,23,426
Science,"8,866",49,462,"2,135","2,772","1,794",668,76,"7,023",26,349,"1,853","2,184","1,374",463,49,"15,889",75,811,"3,988","4,956","3,168","1,131",125,408
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,144,21,32,23,21,17,10,4,168,39,35,24,20,23,13,-,312,60,67,47,41,40,23,4,17
Contemporary Social Studies,307,-,-,6,73,115,80,1,193,-,1,9,54,76,33,1,500,-,1,15,127,191,113,2,33
Economics,805,170,240,165,109,64,27,2,683,142,176,130,115,67,26,2,"1,488",312,416,295,224,131,53,4,97
Geography,"13,389","1,781","3,165","2,729","2,443","1,850",827,132,"9,461","1,953","2,472","1,672","1,542","1,095",440,44,"22,850","3,734","5,637","4,401","3,985","2,945","1,267",176,422
History,"9,713","1,484","1,973","1,508","1,539","1,868",876,54,"11,313","2,373","2,741","2,059","1,789","1,551",450,22,"21,026","3,857","4,714","3,567","3,328","3,419","1,326",76,424
Modern Studies,"5,900",930,"1,155",950,"1,014","1,024",485,43,"8,085","1,905","1,838","1,410","1,306",976,332,24,"13,985","2,835","2,993","2,360","2,320","2,000",817,67,327
Social and Vocational Skills,"1,478",76,184,393,426,223,70,2,"1,822",238,463,509,347,132,35,-,"3,300",314,647,902,773,355,105,2,151
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"11,513","2,101","2,375","2,327","2,271","1,616",368,38,"6,753","1,402","1,501","1,418","1,270",759,159,12,"18,266","3,503","3,876","3,745","3,541","2,375",527,50,409
Craft and Design,"10,885",732,"2,002","2,689","2,488","1,571",479,45,"2,728",322,636,644,564,272,65,6,"13,613","1,054","2,638","3,333","3,052","1,843",544,51,393
Graphic Communication,"5,487",614,"1,417","1,375","1,052",599,203,16,"1,832",314,522,431,305,139,39,2,"7,319",928,"1,939","1,806","1,357",738,242,18,336
Home Economics,"2,371",16,134,403,667,595,204,5,"7,821",439,"1,471","2,233","2,055",911,162,2,"10,192",455,"1,605","2,636","2,722","1,506",366,7,381
Office and Information Studies,"3,016",281,538,660,694,399,122,13,"13,654","2,424","3,468","3,125","2,529","1,072",294,30,"16,670","2,705","4,006","3,785","3,223","1,471",416,43,391
Technological Studies,"3,980",639,871,722,720,597,208,10,302,55,59,69,46,45,10,1,"4,282",694,930,791,766,642,218,11,272
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,534",804,"2,222","2,982","1,521",441,49,-,"11,194","2,175","3,909","3,442","1,053",208,18,-,"19,728","2,979","6,131","6,424","2,574",649,67,-,440
Drama,"1,477",109,259,395,336,167,59,7,"2,695",425,837,699,370,131,25,1,"4,172",534,"1,096","1,094",706,298,84,8,136
Music,"3,365",895,864,652,408,251,54,2,"5,746","1,921","1,704","1,045",547,200,42,6,"9,111","2,816","2,568","1,697",955,451,96,8,413
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,566","1,126","3,389","3,503","2,259",524,63,1,"5,109",425,"1,351","1,617","1,006",366,58,2,"16,675","1,551","4,740","5,120","3,265",890,121,3,389
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,450,81,96,95,75,49,16,4,715,85,157,179,119,84,25,6,"1,165",166,253,274,194,133,41,10,86
