Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Accounting,"2,025",190,486,616,"1,292",372,"2,268",196,560,725,"1,481",464,"4,293",386,"1,046","1,341","2,773",836,426
Agricultural Science,6,2,3,-,5,-,2,-,1,1,2,-,8,2,4,1,7,-,6
"Anatomy, Physiology and Health",201,14,39,58,111,43,966,65,190,278,533,237,"1,167",79,229,336,644,280,175
Art and Design (Revised) ,30,2,7,14,23,5,48,12,16,12,40,6,78,14,23,26,63,11,10
Art and Design ,"2,861",199,643,"1,312","2,154",536,"4,444",541,"1,235","1,905","3,681",589,"7,305",740,"1,878","3,217","5,835","1,125",491
Biology ,"4,004",531,977,"1,178","2,686",915,"8,238",794,"1,800","2,606","5,200","1,986","12,242","1,325","2,777","3,784","7,886","2,901",537
Chemistry ,"6,782","1,106","1,624","2,039","4,769","1,374","5,346",591,"1,209","1,778","3,578","1,272","12,128","1,697","2,833","3,817","8,347","2,646",485
Computing Studies,"1,089",131,207,299,637,225,313,15,51,89,155,89,"1,402",146,258,388,792,314,184
Craft and Design (Revised),148,14,30,42,86,41,19,1,3,6,10,7,167,15,33,48,96,48,28
Craft and Design ,"1,286",112,270,413,795,274,155,13,42,49,104,32,"1,441",125,312,462,899,306,281
Economic History,123,19,52,34,105,9,122,8,44,48,100,12,245,27,96,82,205,21,26
Economics ,"2,253",314,582,755,"1,651",402,"1,646",131,351,579,"1,061",387,"3,899",445,933,"1,334","2,712",789,310
Engineering,102,8,26,36,70,21,7,2,3,2,7,-,109,10,29,38,77,21,34
English (Revised),"5,064",506,958,"1,677","3,141","1,296","6,620",867,"1,359","2,195","4,421","1,453","11,684","1,373","2,317","3,872","7,562","2,749",224
English ,"10,899","1,185","1,921","3,637","6,743","2,627","13,705","1,596","2,596","4,612","8,804","3,219","24,604","2,781","4,517","8,249","15,547","5,846",546
French (Revised),473,71,108,141,320,97,"1,312",169,265,444,878,275,"1,785",240,373,585,"1,198",372,150
French ,"1,411",197,367,463,"1,027",260,"3,704",501,842,"1,161","2,504",841,"5,115",698,"1,209","1,624","3,531","1,101",376
