Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
Classical Greek,3,50%,3,0,0,3,N/A,3,50%,3,0,0,3,N/A,6 ,6 ,0 ,0 ,6 ,N/A,4
English and Communication,"2,216",42%,306,489,788,"1,583",244,"3,085",50%,588,803,999,2390,266,"5,301 ",894 ,"1,292 ","1,787 ","3,973 ",510 ,102
French,925,24%,348,254,163,765,64,"2,872",50%,1232,645,558,2435,169,"3,797 ","1,580 ",899 ,721 ,"3,200 ",233 ,367
Gaelic (Learners),16,19%,8,7,1,16,0,68,50%,30,25,7,62,4,84 ,38 ,32 ,8 ,78 ,4 ,17
Gaidhlig,15,37%,4,5,6,15,0,26,50%,14,8,4,26,0,41 ,18 ,13 ,10 ,41 ,0 ,10
German,432,26%,206,86,74,366,20,"1,260",50%,676,275,193,1144,46,"1,692 ",882 ,361 ,267 ,"1,510 ",66 ,238
Italian,35,24%,19,9,4,32,0,108,50%,65,23,11,99,3,143 ,84 ,32 ,15 ,131 ,3 ,25
Latin,137,40%,53,40,29,122,10,209,50%,98,51,36,185,11,346 ,151 ,91 ,65 ,307 ,21 ,56
Russian,10,83%,7,1,2,10,N/A,2,50%,1,1,0,2,N/A,12 ,8 ,2 ,2 ,12 ,N/A,5
Spanish,128,22%,73,21,16,110,4,463,50%,269,89,63,421,15,591 ,342 ,110 ,79 ,531 ,19 ,87
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,954,45%,357,280,167,804,30,"1,187",50%,451,304,217,972,52,"2,141 ",808 ,584 ,384 ,"1,776 ",82 ,233
Mathematics,"10,342",52%,"1,689","2,849","2,712","7,250",901,"9,708",50%,1649,2769,2636,7054,867,"20,050 ","3,338 ","5,618 ","5,348 ","14,304 ","1,768 ",418
,,,,,,,,,,,,,,,,,,,,,
Biology,"2,843",31%,407,692,800,"1,899",334,"6,394",50%,826,1455,1876,4157,804,"9,237 ","1,233 ","2,147 ","2,676 ","6,056 ","1,138 ",374
Chemistry,"3,585",48%,709,980,928,"2,617",344,"3,894",50%,654,1090,1131,2875,405,"7,479 ","1,363 ","2,070 ","2,059 ","5,492 ",749 ,317
