Subject,male-Entries,male-percentage,male-A,male-B,male-C,male--PassesUngradedCourses,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female--PassesUngradedCourses,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngradedCourses,all-Passes,all-D,NumberOfCentres
Cantonese,0,0%,-,-,-,-,-,-,3,100%,***,***,***,-,3,***,3,***,***,***,-,3,***,3
Classical Greek,5,100%,2,2,1,-,5,0,0,0%,-,-,-,-,-,-,5,2,2,1,-,5,0,2
English,"11,935",40%,"2,275","2,806","3,195",-,"8,276","1,216","17,594",60%,"3,390","4,255","4,634",-,"12,279","1,880","29,529","5,665","7,061","7,829",-,"20,555","3,096",428
English for Speakers of Other Languages,224,38%,76,59,32,-,167,7,367,62%,150,84,68,-,302,13,591,226,143,100,-,469,20,68
French,"1,133",25%,530,266,189,-,985,57,"3,462",75%,"1,672",768,586,-,"3,026",196,"4,595","2,202","1,034",775,-,"4,011",253,368
Gaelic (Learners),49,37%,9,10,13,-,32,8,82,63%,26,17,28,-,71,6,131,35,27,41,-,103,14,26
Gàidhlig,33,37%,14,6,8,-,28,2,57,63%,31,15,7,-,53,4,90,45,21,15,-,81,6,23
German,344,29%,135,91,64,-,290,21,834,71%,318,185,191,-,694,78,"1,178",453,276,255,-,984,99,179
Italian,57,24%,40,6,6,-,52,3,184,76%,113,25,31,-,169,7,241,153,31,37,-,221,10,46
Latin,84,37%,38,17,19,-,74,4,144,63%,69,31,19,-,119,7,228,107,48,38,-,193,11,37
Mandarin (Simplified),13,46%,13,0,0,-,13,0,15,54%,14,0,1,-,15,0,28,27,0,1,-,28,0,9
Mandarin (Traditional),4,80%,***,***,***,-,4,***,1,20%,***,***,***,-,1,***,5,5,0,0,-,5,0,2
Russian,7,28%,5,0,1,-,6,0,18,72%,15,2,0,-,17,0,25,20,2,1,-,23,0,12
Spanish,355,26%,177,69,47,-,293,18,"1,006",74%,535,191,155,-,881,47,"1,361",712,260,202,-,"1,174",65,173
Urdu,30,34%,25,4,1,-,30,0,59,66%,50,4,3,-,57,1,89,75,8,4,-,87,1,15
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,596,49%,183,91,122,-,396,35,624,51%,180,135,116,-,431,45,"1,220",363,226,238,-,827,80,164
Mathematics,"10,765",52%,"2,550","2,680","2,411",-,"7,641",929,"9,892",48%,"2,289","2,666","2,359",-,"7,314",833,"20,657","4,839","5,346","4,770",-,"14,955","1,762",416
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"3,382",36%,736,762,908,-,"2,406",372,"5,926",64%,"1,160","1,307","1,623",-,"4,090",735,"9,308","1,896","2,069","2,531",-,"6,496","1,107",348
Biotechnology,11,41%,1,3,1,-,5,3,16,59%,2,7,5,-,14,0,27,3,10,6,-,19,3,3
Chemistry,"5,120",50%,"1,584","1,220","1,192",-,"3,996",467,"5,059",50%,"1,326","1,276","1,236",-,"3,838",548,"10,179","2,910","2,496","2,428",-,"7,834","1,015",404
Geology,46,73%,21,10,7,-,38,2,17,27%,9,4,1,-,14,2,63,30,14,8,-,52,4,9
Human Biology,"1,292",32%,309,289,340,-,938,147,"2,786",68%,471,662,734,-,"1,867",319,"4,078",780,951,"1,074",-,"2,805",466,189
Managing Environmental Resources,114,54%,36,29,24,-,89,5,96,46%,30,24,21,-,75,2,210,66,53,45,-,164,7,21
Physics,"6,544",73%,"1,721","1,762","1,547",-,"5,030",585,"2,474",27%,767,729,533,-,"2,029",205,"9,018","2,488","2,491","2,080",-,"7,059",790,401
,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,156,37%,44,50,31,-,125,5,262,63%,100,67,53,-,220,10,418,144,117,84,-,345,15,37
Economics,383,61%,129,112,85,-,326,18,250,39%,68,49,67,-,184,26,633,197,161,152,-,510,44,47
Geography,"3,644",49%,877,868,909,-,"2,654",355,"3,751",51%,"1,185",934,820,-,"2,939",293,"7,395","2,062","1,802","1,729",-,"5,593",648,369
