Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,554,52,48,31,36,71,72,33,19,19,7,
Administration,485,32,68,41,52,80,85,49,19,16,5,
Art and Design,"2,109",21,79,24,39,84,91,36,31,22,6,
Biology,"7,127",35,65,30,28,72,71,29,21,21,9,
Biology (Revised),204,48,52,39,33,80,82,36,20,25,9,
Biotechnology,17,35,65,33,27,67,73,29,18,24,12,
Business Management,"3,195",44,56,33,42,77,84,38,26,17,6,
Care,703,7,93,22,23,78,70,23,26,22,8,
Care Practice,118,8,92,10,12,50,67,12,25,28,7,
Chemistry,"6,392",49,51,32,30,75,75,31,23,21,9,
Chemistry (Revised),481,54,46,31,31,78,78,31,25,22,7,
Chinese Languages,69,48,52,97,83,100,94,90,3,4,1,
Classical Greek,4,0,100,-,***,-,***,***,***,***,***,
Classical Studies,312,39,61,40,50,87,89,46,22,20,4,
Computing,"3,008",81,19,19,24,67,72,20,24,24,11,
Dance Practice,102,5,95,80,60,100,98,61,26,11,0,
Drama,683,30,70,29,39,87,94,36,36,20,5,
Early Education and Childcare,539,4,96,4,18,39,72,17,26,27,12,
Economics,421,63,37,58,52,92,85,56,21,13,5,
English,"14,211",40,60,24,27,76,78,26,25,27,8,
English for Speakers of Other Languages,459,47,53,51,43,87,85,47,22,17,4,
French,"1,821",26,74,49,49,85,85,49,21,15,6,
Gaelic (Learners),56,30,70,29,67,88,92,55,20,16,0,
Gàidhlig,48,52,48,28,30,80,87,29,42,13,10,
Geography,"4,368",48,52,27,39,72,81,33,23,21,7,
Geology,34,71,29,63,60,88,100,62,15,15,0,
German,477,33,67,31,36,76,78,35,22,21,6,
Graphic Communication,734,73,27,29,31,74,85,29,25,22,9,
History,"3,906",41,59,35,38,88,90,37,31,22,4,
Home Economics: Fashion and Textile Technology,28,4,96,***,33,***,78,36,25,18,18,
Home Economics: Health and Food Technology,317,17,83,15,32,64,84,29,31,21,9,
Home Economics: Lifestyle and Consumer Technology,63,11,89,29,52,100,93,49,27,17,5,
Hospitality - Professional Cookery,15,20,80,***,58,***,100,53,33,0,0,
Human Biology,"2,841",30,70,25,17,75,67,20,24,26,11,
Human Biology (Revised),176,31,69,41,20,78,71,27,26,20,6,
Information Systems,487,72,28,17,18,74,77,17,28,30,11,
Italian,108,30,70,75,58,97,95,63,22,10,5,
Latin,90,39,61,86,69,100,96,76,17,6,0,
Managing Environmental Resources,135,46,54,10,26,68,81,19,33,23,7,
Mathematics,"10,855",53,47,25,25,72,74,25,25,23,9,
Media Studies,500,39,61,9,14,70,79,12,30,33,11,
Mental Health Care,132,2,98,***,2,***,57,2,18,38,15,
Modern Studies,"4,698",39,61,26,34,76,81,31,25,23,7,
Music,849,43,57,60,59,96,97,60,22,15,2,
Philosophy,482,41,59,23,29,65,69,27,21,20,9,
Photography,800,30,70,23,29,85,91,27,37,25,5,
Physical Education,"2,731",72,28,24,33,86,88,27,31,28,8,
Physics,"5,401",73,27,27,38,74,82,30,23,23,9,
Physics (Revised),717,75,25,36,42,76,87,38,24,17,6,
Play in Early Education and Childcare,78,3,97,***,5,***,84,5,41,38,1,
Politics,493,39,61,39,40,86,81,40,23,20,5,
Product Design,616,65,35,13,26,61,81,18,24,26,9,
Psychology,"3,178",24,76,24,34,59,70,31,19,17,6,
"Religious, Moral and Philosophical Studies","1,965",31,69,28,36,75,81,33,25,21,7,
Retail Travel,9,22,78,***,0,***,100,0,78,22,0,
Russian,41,41,59,65,83,82,96,76,7,7,7,
Sociology,884,27,73,21,21,66,69,21,25,22,7,
Spanish,926,29,71,46,53,85,86,51,22,13,4,
Technological Studies,143,90,10,38,33,71,87,38,18,17,2,
Travel and Tourism,136,26,74,6,12,66,50,10,21,23,8,
Urdu,37,24,76,56,71,78,93,68,14,8,5,
