Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Accounting,"1,994",184,447,691,"1,322",429,"2,509",188,469,903,"1,560",621,"4,503",372,916,"1,594","2,882","1,050",432
Agricultural Science,4,2,1,1,4,-,3,1,-,2,3,-,7,3,1,3,7,-,2
"Anatomy, Physiology and Health",239,18,37,73,128,54,"1,149",72,206,352,630,279,"1,388",90,243,425,758,333,179
Art and Design ,"2,890",232,633,"1,227","2,092",615,"4,776",576,"1,400","1,949","3,925",682,"7,666",808,"2,033","3,176","6,017","1,297",512
Biology ,"4,275",583,"1,118","1,186","2,887",844,"8,552",853,"1,953","2,642","5,448","1,981","12,827","1,436","3,071","3,828","8,335","2,825",536
Chemistry ,"7,523","1,240","1,848","2,174","5,262","1,472","6,001",688,"1,424","1,875","3,987","1,347","13,524","1,928","3,272","4,049","9,249","2,819",497
Computing Studies,469,58,85,145,288,84,124,10,22,33,65,32,593,68,107,178,353,116,70
Craft and Design ,"1,579",148,364,505,"1,017",319,158,8,38,59,105,33,"1,737",156,402,564,"1,122",352,307
Economic History,155,13,74,38,125,16,152,17,61,44,122,15,307,30,135,82,247,31,33
Economics ,"2,239",344,573,732,"1,649",371,"1,817",163,409,665,"1,237",377,"4,056",507,982,"1,397","2,886",748,316
Engineering,170,22,38,47,107,39,14,2,4,4,10,3,184,24,42,51,117,42,50
English (Revised),"1,153",115,240,361,716,272,"1,697",240,364,560,"1,164",380,"2,850",355,604,921,"1,880",652,65
English ,"15,273","1,583","2,749","5,110","9,442","3,576","20,150","2,591","4,009","6,943","13,543","4,327","35,423","4,174","6,758","12,053","22,985","7,903",633
French (Revised),191,29,46,65,140,36,380,43,82,122,247,94,571,72,128,187,387,130,44
French ,"1,566",222,397,533,"1,152",316,"4,573",585,"1,068","1,591","3,244","1,016","6,139",807,"1,465","2,124","4,396","1,332",457
Gaelic (Native Speakers),4,2,-,-,2,1,23,8,5,3,16,4,27,10,5,3,18,5,4
Gaelic (Learners) ,36,10,14,9,33,2,82,33,18,22,73,9,118,43,32,31,106,11,32
Geography ,"5,301",637,"1,287","1,827","3,751","1,088","3,783",543,975,"1,375","2,893",661,"9,084","1,180","2,262","3,202","6,644","1,749",473
Geology,26,4,4,10,18,4,14,4,6,2,12,-,40,8,10,12,30,4,12
German ,498,64,115,159,338,96,"1,429",189,340,454,983,304,"1,927",253,455,613,"1,321",400,346
Greek (Optional Paper III)*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
