Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Classical Greek,1,14%,***,***,***,-,***,***,6,86%,6,0,0,-,6,0,7,7,0,0,-,7,0,3
English,"11,279",49%,"1,996","3,467","3,656",-,"9,119",926,"11,931",51%,"2,762","3,700","3,506",-,"9,968",867,"23,210","4,758","7,167","7,162",-,"19,087","1,793",414
English for Speakers of Other Languages,266,34%,88,54,59,-,201,14,510,66%,206,111,92,-,409,20,776,294,165,151,-,610,34,78
French,"1,720",38%,932,377,277,-,"1,586",56,"2,756",62%,"1,782",524,312,-,"2,618",59,"4,476","2,714",901,589,-,"4,204",115,280
Gaelic (Learners),12,36%,6,2,4,-,12,0,21,64%,5,8,6,-,19,0,33,11,10,10,-,31,0,14
Gàidhlig,14,48%,5,5,3,-,13,0,15,52%,9,5,1,-,15,0,29,14,10,4,-,28,0,8
German,359,40%,151,91,88,-,330,9,532,60%,298,118,77,-,493,20,891,449,209,165,-,823,29,116
Italian,16,17%,11,0,5,-,16,0,77,83%,53,14,5,-,72,2,93,64,14,10,-,88,2,22
Latin,60,49%,56,0,2,-,58,0,63,51%,58,2,2,-,62,1,123,114,2,4,-,120,1,14
Mandarin (Simplified),15,41%,13,1,0,-,14,1,22,59%,18,3,1,-,22,0,37,31,4,1,-,36,1,9
Mandarin (Traditional),0,0%,-,-,-,-,-,-,1,100%,***,***,***,-,***,***,1,***,***,***,-,***,***,1
Russian,6,43%,5,1,0,-,6,0,8,57%,8,0,0,-,8,0,14,13,1,0,-,14,0,7
Spanish,465,32%,231,100,74,-,405,22,982,68%,579,191,125,-,895,33,"1,447",810,291,199,-,"1,300",55,156
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,142,50%,59,20,19,-,98,6,140,50%,64,16,21,-,101,8,282,123,36,40,-,199,14,72
Mathematics,"10,889",49%,"3,785","2,090","1,860",-,"7,735",757,"11,520",51%,"4,429","2,205","1,962",-,"8,596",759,"22,409","8,214","4,295","3,822",-,"16,331","1,516",430
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"2,611",35%,751,595,624,-,"1,970",235,"4,880",65%,"1,235","1,187","1,190",-,"3,612",508,"7,491","1,986","1,782","1,814",-,"5,582",743,352
Biotechnology,53,53%,12,16,10,-,38,3,47,47%,8,14,9,-,31,3,100,20,30,19,-,69,6,9
Chemistry,"2,358",52%,851,513,457,-,"1,821",209,"2,207",48%,839,516,387,-,"1,742",173,"4,565","1,690","1,029",844,-,"3,563",382,286
Geology,12,48%,4,1,3,-,8,1,13,52%,4,2,1,-,7,3,25,8,3,4,-,15,4,8
Managing Environmental Resources,72,55%,22,12,14,-,48,5,60,45%,11,16,12,-,39,6,132,33,28,26,-,87,11,23
Physics,"3,019",74%,920,554,578,-,"2,052",241,"1,067",26%,548,169,160,-,877,61,"4,086","1,468",723,738,-,"2,929",302,296
,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,52,40%,23,12,11,-,46,1,79,60%,43,15,9,-,67,0,131,66,27,20,-,113,1,16
Economics,235,74%,162,37,14,-,213,7,83,26%,35,15,16,-,66,5,318,197,52,30,-,279,12,29
