Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
English,"27,959","1,446","5,686","9,292","7,822","2,250",131,-,"27,717","2,875","8,323","9,652","5,016",899,41,-,"55,676","4,321","14,009","18,944","12,838","3,149",172,-,505
French,"16,575","1,330","2,582","3,045","3,237","2,557","1,793",242,"19,328","2,659","4,205","4,189","3,434","2,210","1,142",107,"35,903","3,989","6,787","7,234","6,671","4,767","2,935",349,440
French  (Writing)*,"9,689",558,"1,188","2,956","2,096",-,-,-,"14,000","1,301","2,344","5,043","2,738",-,-,-,"23,689","1,859","3,532","7,999","4,834",-,-,-,431
Gàidhlig,39,6,8,14,6,2,2,-,50,19,16,6,6,3,-,-,89,25,24,20,12,5,2,-,7
Gaelic (Learners),189,20,45,39,29,28,13,2,179,37,45,38,29,17,6,-,368,57,90,77,58,45,19,2,35
Gaelic (Learners) (Writing)*,74,1,6,13,18,-,-,-,85,6,13,19,28,-,-,-,159,7,19,32,46,-,-,-,27
German,"4,462",504,929,995,890,477,197,18,"5,852","1,216","1,716","1,351",798,307,103,3,"10,314","1,720","2,645","2,346","1,688",784,300,21,341
German (Writing)*,"3,036",256,552,"1,256",539,-,-,-,"4,753",618,"1,296","1,854",649,-,-,-,"7,789",874,"1,848","3,110","1,188",-,-,-,333
Greek,12,7,1,-,2,2,-,-,21,11,5,3,-,-,1,-,33,18,6,3,2,2,1,-,16
Italian,111,22,24,26,12,11,7,-,284,66,74,60,42,25,7,1,395,88,98,86,54,36,14,1,36
Italian (Writing)*,76,8,9,18,15,-,-,-,234,28,52,69,36,-,-,-,310,36,61,87,51,-,-,-,34
Latin,535,247,144,39,32,28,18,4,783,354,219,76,47,33,11,4,"1,318",601,363,115,79,61,29,8,143
Russian,21,6,3,4,5,3,-,-,43,11,15,10,4,3,-,-,64,17,18,14,9,6,-,-,10
Russian (Writing)*,12,3,-,5,2,-,-,-,33,5,5,13,10,-,-,-,45,8,5,18,12,-,-,-,7
Spanish,499,53,85,98,108,63,38,4,907,232,252,204,107,53,17,4,"1,406",285,337,302,215,116,55,8,91
Spanish (Writing)*,335,12,25,107,96,-,-,-,748,70,102,304,161,-,-,-,"1,083",82,127,411,257,-,-,-,86
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,370",328,566,507,439,252,122,29,"2,902",446,673,599,528,306,139,9,"5,272",774,"1,239","1,106",967,558,261,38,291
Mathematics,"28,904","3,893","3,718","5,728","5,053","6,772","2,171",407,"28,293","3,864","3,944","5,393","5,167","6,682","1,988",359,"57,197","7,757","7,662","11,121","10,220","13,454","4,159",766,505
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"5,501","1,012","1,463","1,401",793,451,181,6,"13,633","2,342","4,259","3,551","1,736",970,334,9,"19,134","3,354","5,722","4,952","2,529","1,421",515,15,433
Chemistry,"11,203","2,892","2,824","3,223","1,188",657,145,19,"10,983","2,768","3,090","2,971","1,121",640,145,14,"22,186","5,660","5,914","6,194","2,309","1,297",290,33,427
Physics,"13,570","3,477","4,409","3,447","1,164",542,215,37,"6,307","2,263","2,180","1,203",354,166,44,6,"19,877","5,740","6,589","4,650","1,518",708,259,43,432
Science,"8,340",13,187,937,"2,269","2,286","1,300",199,"6,703",19,125,672,"1,791","1,926","1,115",141,"15,043",32,312,"1,609","4,060","4,212","2,415",340,426
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,125,3,15,16,20,22,20,1,131,20,27,19,15,14,8,4,256,23,42,35,35,36,28,5,31
Contemporary Social Studies,810,-,1,23,150,253,214,9,599,-,2,28,130,194,133,11,"1,409",-,3,51,280,447,347,20,92
Economics,"1,031",85,260,250,201,103,65,12,863,66,194,195,181,108,68,9,"1,894",151,454,445,382,211,133,21,127
Geography,"12,935","1,210","2,740","2,694","2,645","1,864",933,217,"9,462","1,359","2,433","1,982","1,695","1,080",501,91,"22,397","2,569","5,173","4,676","4,340","2,944","1,434",308,432
History,"8,342",690,"1,449","1,803","1,586","1,544",682,74,"10,699","1,297","2,313","2,511","2,037","1,636",417,25,"19,041","1,987","3,762","4,314","3,623","3,180","1,099",99,427
Modern Studies,"5,504",501,938,884,"1,037","1,020",633,52,"6,771",945,"1,398","1,195","1,242","1,043",462,38,"12,275","1,446","2,336","2,079","2,279","2,063","1,095",90,339
Social and Vocational Skills,"1,601",33,192,420,417,271,85,9,"1,885",169,451,514,377,158,45,-,"3,486",202,643,934,794,429,130,9,184
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"10,741",942,"1,937","2,131","2,136","1,743","1,002",174,"6,128",548,"1,239","1,264","1,289",878,442,62,"16,869","1,490","3,176","3,395","3,425","2,621","1,444",236,409
Craft and Design,"9,769",449,"1,536","2,204","2,322","1,526",522,56,"1,826",135,357,406,388,218,67,7,"11,595",584,"1,893","2,610","2,710","1,744",589,63,408
Graphic Communication,"2,227",147,551,534,424,298,101,6,438,44,129,85,83,50,13,-,"2,665",191,680,619,507,348,114,6,156
Home Economics,"1,983",3,58,169,472,573,297,11,"7,067",116,827,"1,768","1,954","1,248",361,14,"9,050",119,885,"1,937","2,426","1,821",658,25,397
Office and Information Studies,"2,733",161,453,675,649,326,91,3,"13,915","1,587","3,344","3,708","2,846","1,035",216,21,"16,648","1,748","3,797","4,383","3,495","1,361",307,24,397
Technological Studies,"5,489",580,977,"1,125","1,046",898,396,36,427,46,93,84,77,78,23,-,"5,916",626,"1,070","1,209","1,123",976,419,36,337
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,452",358,"1,468","2,515","2,034",869,154,3,"9,936",890,"2,878","3,160","1,649",425,63,-,"18,388","1,248","4,346","5,675","3,683","1,294",217,3,442
Drama,753,18,86,154,192,102,41,5,"1,366",109,313,392,227,120,32,3,"2,119",127,399,546,419,222,73,8,92
Music,"2,659",464,625,487,424,267,82,3,"4,404","1,052","1,333",926,514,199,41,3,"7,063","1,516","1,958","1,413",938,466,123,6,416
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"8,366",395,"2,033","2,681","1,798",497,50,3,"3,919",142,912,"1,216",924,290,53,-,"12,285",537,"2,945","3,897","2,722",787,103,3,370
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,399,49,61,83,89,36,34,8,574,55,113,109,97,83,44,2,973,104,174,192,186,119,78,10,89
