Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
Classical Greek,-,0%,-,-,-,-,-,2,100%,1,1,0,2,0,2,1,1,0,2,0,2
English,540,31%,79,137,196,412,54,"1,180",69%,163,345,435,943,117,"1,720",242,482,631,"1,355",171,297
French,152,21%,50,42,36,128,9,560,79%,134,152,154,440,43,712,184,194,190,568,52,194
Gàidhlig,3,27%,0,2,1,3,0,8,73%,1,5,2,8,0,11,1,7,3,11,0,5
Gaelic (Learners),12,43%,8,3,0,11,0,16,57%,12,2,2,16,0,28,20,5,2,27,0,10
German,60,24%,27,18,8,53,2,189,76%,60,50,44,154,17,249,87,68,52,207,19,101
Italian,7,50%,5,0,1,6,0,7,50%,5,2,0,7,0,14,10,2,1,13,0,7
Latin,14,31%,3,5,3,11,1,31,69%,18,5,5,28,0,45,21,10,8,39,1,15
Russian,5,83%,5,0,0,5,0,1,17%,1,0,0,1,0,6,6,0,0,6,0,5
Spanish,30,20%,7,10,10,27,1,118,80%,29,38,32,99,8,148,36,48,42,126,9,48
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,151,65%,57,24,23,104,10,83,35%,25,17,15,57,6,234,82,41,38,161,16,43
Accounting and Finance,93,55%,20,26,17,63,9,77,45%,24,20,10,54,6,170,44,46,27,117,15,58
Mathematics,"1,455",60%,351,299,284,934,121,961,40%,237,256,206,699,78,"2,416",588,555,490,"1,633",199,334
,,,,,,,,,,,,,,,,,,,,,
Biology,439,28%,64,100,131,295,57,"1,132",72%,196,308,337,841,131,"1,571",260,408,468,"1,136",188,274
Chemistry,857,49%,176,204,216,596,92,890,51%,201,232,261,694,86,"1,747",377,436,477,"1,290",178,312
Physics,"1,079",76%,319,236,241,796,86,335,24%,119,84,68,271,20,"1,414",438,320,309,"1,067",106,273
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,9,36%,4,3,0,7,1,16,64%,8,4,3,15,1,25,12,7,3,22,2,9
Economics,47,75%,14,10,11,35,5,16,25%,7,3,5,15,1,63,21,13,16,50,6,12
Geography,417,46%,44,147,164,355,36,489,54%,78,195,174,447,24,906,122,342,338,802,60,170
History,402,45%,50,92,130,272,66,491,55%,73,127,174,374,41,893,123,219,304,646,107,194
Modern Studies,255,39%,51,77,70,198,18,395,61%,76,136,109,321,29,650,127,213,179,519,47,137
Philosophy,10,59%,3,2,3,8,0,7,41%,2,3,2,7,0,17,5,5,5,15,0,6
"Religious, Moral and Philosophical Studies",32,41%,8,13,8,29,3,46,59%,14,14,12,40,2,78,22,27,20,69,5,27
Sociology,2,33%,0,1,0,1,1,4,67%,4,0,0,4,0,6,4,1,0,5,1,2
,,,,,,,,,,,,,,,,,,,,,
Administration,1,6%,1,0,0,1,0,16,94%,3,5,2,10,5,17,4,5,2,11,5,8
Business Management,139,46%,13,22,41,76,20,164,54%,19,38,44,101,15,303,32,60,85,177,35,62
Computing,444,87%,94,132,135,361,39,68,13%,12,24,15,51,11,512,106,156,150,412,50,137
Craft and Design,43,57%,5,12,15,32,3,32,43%,3,8,7,18,6,75,8,20,22,50,9,27
Graphic Communication,306,71%,84,102,65,251,21,123,29%,43,37,29,109,4,429,127,139,94,360,25,117
Home Economics: Health and Food Technology,-,0%,-,-,-,-,-,15,100%,1,5,4,10,2,15,1,5,4,10,2,8
Home Economics: Lifestyle and Consumer Technology,-,0%,-,-,-,-,-,2,100%,0,1,1,2,0,2,0,1,1,2,0,2
Information Systems,74,73%,6,20,30,56,9,28,27%,7,9,9,25,3,102,13,29,39,81,12,32
Technological Studies,134,96%,40,31,29,100,6,6,4%,3,0,2,5,0,140,43,31,31,105,6,39
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,144,26%,25,25,56,106,28,418,74%,70,85,140,295,87,562,95,110,196,401,115,188
Art and Design Enquiry: Expressive,214,29%,34,41,75,150,38,525,71%,76,97,203,376,108,739,110,138,278,526,146,207
Art and Design: Research and Appreciation,8,31%,0,5,3,8,0,18,69%,6,8,0,14,2,26,6,13,3,22,2,13
Drama,35,21%,6,12,12,30,2,129,79%,23,38,43,104,12,164,29,50,55,134,14,42
Media Studies,5,63%,3,0,0,3,0,3,38%,0,0,0,0,0,8,3,0,0,3,0,2
Music,384,43%,182,112,60,354,7,508,57%,270,139,63,472,15,892,452,251,123,826,22,266
,,,,,,,,,,,,,,,,,,,,,
Physical Education,38,51%,1,4,9,14,6,36,49%,6,9,4,19,7,74,7,13,13,33,13,32
