Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek ,2,67%,1 ,1 ,0,2 ,0 ,1,33%,1,0,0,1,0,3 ,2 ,1 ,0 ,3,0 ,3
English ,"11,742",43%,"1,472 ","2,421 ","3,690","7,583 ","2,655 ","15,492",57%,"2,612","3,446","4,996","11,054","2,923","27,234 ","4,084 ","5,867 ","8,686 ","18,637","5,578 ",393
French ,166,42%,61 ,58 ,30,149 ,13 ,231,58%,82,65,54,201,21,397 ,143 ,123 ,84 ,350,34 ,44
Gaidhlig ,2,100%,2 ,0 ,0,2 ,0 ,-,0%,-,-,-,-,-,2 ,2 ,0 ,0 ,2,0 ,5
Gaelic (Learners) ,9,50%,7 ,0 ,0,7 ,0 ,9,50%,6,0,2,8,0,18 ,13 ,0 ,2 ,15,0 ,2
German ,114,35%,40 ,28 ,22,90 ,13 ,215,65%,69,33,64,166,32,329 ,109 ,61 ,86 ,256,45 ,56
Italian ,12,19%,11 ,0 ,1,12 ,0 ,51,81%,23,13,9,45,3,63 ,34 ,13 ,10 ,57,3 ,24
Latin ,6,26%,3 ,3 ,0,6 ,0 ,17,74%,7,7,1,15,2,23 ,10 ,10 ,1 ,21,2 ,10
Russian ,2,40%,2 ,0 ,0,2 ,0 ,3,60%,3,0,0,3,0,5 ,5 ,0 ,0 ,5,0 ,4
Spanish ,64,37%,36 ,14 ,7,57 ,4 ,109,63%,49,24,16,89,9,173 ,85 ,38 ,23 ,146,13 ,34
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,228,46%,35,71,46,152,40,273,54%,33,62,79,174,60,501 ,68 ,133 ,125 ,326,100 ,69
Mathematics ,410,56%,74,114,88,276,49,322,44%,55,86,75,216,51,732 ,129 ,200 ,163 ,492,100 ,62
,,,,,,,,,,,,,,,,,,,,,
Biology ,229,37%,23,52,54,129,61,397,63%,31,87,109,227,106,626 ,54 ,139 ,163 ,356,167 ,73
Chemistry ,"1,330",51%,232,332,386,950,269,"1,294",49%,214,331,396,941,247,"2,624 ",446 ,663 ,782 ,"1,891",516 ,134
Human Biology,84,21%,12,27,19,58,17,325,79%,40,76,87,203,73,409 ,52 ,103 ,106 ,261,90 ,54
Physics ,330,72%,39,72,90,201,66,127,28%,22,33,28,83,20,457 ,61 ,105 ,118 ,284,86 ,60
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,26,37%,4,5,7,16,5,45,63%,7,11,16,34,8,71 ,11 ,16 ,23 ,50,13 ,9
Economics ,94,47%,22,29,21,72,13,105,53%,17,26,33,76,17,199 ,39 ,55 ,54 ,148,30 ,32
Geography ,283,56%,45,74,75,194,53,220,44%,31,54,63,148,40,503 ,76 ,128 ,138 ,342,93 ,51
History ,186,47%,5,47,54,106,41,207,53%,18,48,64,130,40,393 ,23 ,95 ,118 ,236,81 ,55
Modern Studies ,245,47%,68,69,56,193,26,273,53%,74,72,71,217,37,518 ,142 ,141 ,127 ,410,63 ,60
Religious Studies ,29,26%,0,3,11,14,7,82,74%,3,12,34,49,16,111 ,3 ,15 ,45 ,63,23 ,20
,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"1,710",76%,223,375,500,1098,339,535,24%,62,132,164,358,108,"2,245 ",285 ,507 ,664 ,"1,456",447 ,169
Craft and Design ,147,77%,27,38,43,108,24,44,23%,13,13,12,38,4,191 ,40 ,51 ,55 ,146,28 ,29
Graphic Communication,133,68%,19,36,36,91,25,62,32%,6,18,19,43,16,195 ,25 ,54 ,55 ,134,41 ,22
Home Economics ,2,9%,1,1,0,2,0,21,91%,7,4,5,16,3,23 ,8 ,5 ,5 ,18,3 ,5
Management and Information Studies,116,33%,13,31,30,74,22,231,67%,38,66,73,177,34,347 ,51 ,97 ,103 ,251,56 ,32
Secretarial Studies ,240,9%,14,65,81,160,43,"2,502",91%,285,761,767,"1,813",379,"2,742 ",299 ,826 ,848 ,"1,973",422 ,237
Technological Studies,185,95%,23,45,52,120,28,9,5%,1,2,1,4,2,194 ,24 ,47 ,53 ,124,30 ,30
,,,,,,,,,,,,,,,,,,,,,
Art and Design ,"1,306",33%,208,389,421,1018,220,"2,635",67%,806,918,628,"2,352",224,"3,941 ","1,014 ","1,307 ","1,049 ","3,370",444 ,222
Drama,9,47%,2,4,1,7,1,10,53%,3,2,3,8,2,19 ,5 ,6 ,4 ,15,3 ,4
Music ,76,47%,30,28,13,71,1,124,100%,44,41,28,113,8,200 ,74 ,69 ,41 ,184,9 ,54
,,,,,,,,,,,,,,,,,,,,,
Physical Education,448,72%,49,125,134,308,75,176,28%,38,40,43,121,28,624 ,87 ,165 ,177 ,429,103 ,59
Music - Performing*,8 ,33%,,,,2 ,,16 ,67%,,,,3 ,,24 ,,,,5 ,,8
Music - Listening*,21 ,40%,,,,20 ,,32 ,60%,,,,29 ,,53 ,,,,49 ,,8
Music - Inventing (Composition)*,2 ,100%,,,,1 ,,-,0%,,,,-,,2 ,,,,1 ,,2
Music - Inventing Paper I*,2 ,67%,,,,1 ,,1 ,33%,,,,1 ,,3 ,,,,2 ,,1
