Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,3,2,1,-,-,- ,-,-,11,9,2,-,-,-,-,-,14,11,3,-,-,-,-,-,7
English,"30,954","2,031","7,124","10,863","7,734","2,032",123,1,"30,153","3,897","9,439","10,715","4,462",773,36,-,"61,107","5,928","16,563","21,578","12,196","2,805",159,1,492
English - Alternative Communication,6,-,-,1,2,2,1,-,4,-,-,-,4,-,-,-,10,-,-,1,6,2,1,-,4
English - Spoken,15,1,1,3,7,3,-,-,3,-,1,-,2,-,-,-,18,1,2,3,9,3,-,-,11
French,"20,060","1,473","2,870","3,719","4,411","3,468","1,532",95,"21,612","3,242","4,617","4,871","3,936","2,362",703,36,"41,672","4,715","7,487","8,590","8,347","5,830","2,235",131,436
French  (Writing)*,"8,104",837,"1,372","1,570","1,442",-,-,-,"12,386","1,957","2,720","2,724","1,916",-,-,-,"20,490","2,794","4,092","4,294","3,358",-,-,-,425
Gàidhlig,50,7,10,17,6,3,2,-,52,27,15,7,3,-,-,-,102,34,25,24,9,3,2,-,10
Gaelic (Learners),223,26,44,45,41,29,25,1,217,44,57,45,36,22,4,1,440,70,101,90,77,51,29,2,34
Gaelic (Learners) (Writing)*,65,8,25,15,12,-,-,-,109,26,47,19,16,-,-,-,174,34,72,34,28,-,-,-,25
German,"7,717",684,"1,353","1,713","1,765",993,362,20,"8,132","1,534","2,086","1,794","1,350",572,161,3,"15,849","2,218","3,439","3,507","3,115","1,565",523,23,346
German (Writing)*,"3,794",345,573,932,"1,104",-,-,-,"5,313",831,"1,237","1,339","1,245",-,-,-,"9,107","1,176","1,810","2,271","2,349",-,-,-,342
Italian,198,20,41,34,39,20,20,5,356,91,89,82,44,26,9,-,554,111,130,116,83,46,29,5,44
Italian (Writing)*,88,7,11,10,27,-,-,-,254,33,55,44,56,-,-,-,342,40,66,54,83,-,-,-,38
Latin,531,248,100,40,42,41,13,6,761,381,166,66,57,40,9,-,"1,292",629,266,106,99,81,22,6,115
Russian,24,3,2,3,4,7,1,-,23,10,6,1,2,2,-,-,47,13,8,4,6,9,1,-,7
Russian (Writing)*,6,-,2,1,1,-,-,-,15,3,6,2,3,-,-,-,21,3,8,3,4,-,-,-,5
Spanish,864,79,131,182,177,151,62,8,"1,346",315,381,285,175,83,40,3,"2,210",394,512,467,352,234,102,11,107
Spanish (Writing)*,367,30,53,47,135,-,-,-,917,135,203,129,292,-,-,-,"1,284",165,256,176,427,-,-,-,100
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,369",462,630,446,359,221,124,9,"3,224",654,862,625,477,277,121,15,"5,593","1,116","1,492","1,071",836,498,245,24,333
Mathematics,"31,637","4,511","4,420","7,037","5,193","6,595","2,382",515,"30,727","4,708","4,444","6,522","5,142","6,369","2,105",478,"62,364","9,219","8,864","13,559","10,335","12,964","4,487",993,489
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,384","1,276","1,771","1,514",945,490,212,16,"15,427","2,778","4,813","3,933","2,086","1,061",348,15,"21,811","4,054","6,584","5,447","3,031","1,551",560,31,430
Chemistry,"12,559","3,496","4,121","2,940","1,108",435,164,52,"12,368","3,502","4,245","2,808","1,060",398,107,26,"24,927","6,998","8,366","5,748","2,168",833,271,78,429
Physics,"14,798","3,982","4,889","3,765","1,168",554,195,34,"7,033","2,659","2,309","1,408",348,170,52,3,"21,831","6,641","7,198","5,173","1,516",724,247,37,426
Science,"8,967",47,393,"1,985","2,612","1,892",789,93,"6,955",24,237,"1,544","1,973","1,491",659,71,"15,922",71,630,"3,529","4,585","3,383","1,448",164,416
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,165,15,26,33,16,19,26,5,182,24,39,18,27,24,21,3,347,39,65,51,43,43,47,8,28
Contemporary Social Studies,441,-,-,9,95,166,113,3,335,-,1,16,82,114,79,6,776,-,1,25,177,280,192,9,51
Economics,"1,106",130,289,235,184,120,70,12,845,99,200,160,161,94,72,9,"1,951",229,489,395,345,214,142,21,131
Geography,"14,482","1,692","3,320","2,946","2,821","1,976",974,177,"10,231","1,851","2,530","1,986","1,805","1,112",532,71,"24,713","3,543","5,850","4,932","4,626","3,088","1,506",248,425
History,"9,400","1,014","1,773","1,626","1,613","1,822",982,97,"11,373","1,898","2,671","2,137","1,964","1,624",620,34,"20,773","2,912","4,444","3,763","3,577","3,446","1,602",131,428
Modern Studies,"5,891",706,"1,119","1,043","1,092","1,027",528,48,"8,013","1,589","1,865","1,356","1,395","1,020",401,31,"13,904","2,295","2,984","2,399","2,487","2,047",929,79,330
Social and Vocational Skills,"1,580",42,166,363,454,290,85,3,"1,830",176,420,460,403,165,52,1,"3,410",218,586,823,857,455,137,4,163
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"11,893","1,402","2,415","2,192","2,326","1,776",981,187,"6,355",989,"1,427","1,162","1,139",825,393,61,"18,248","2,391","3,842","3,354","3,465","2,601","1,374",248,405
Craft and Design,"10,242",535,"1,704","2,469","2,387","1,687",533,56,"2,336",233,507,526,458,240,82,10,"12,578",768,"2,211","2,995","2,845","1,927",615,66,397
Graphic Communication,"5,216",519,"1,275","1,312",979,590,245,12,"1,454",155,395,378,267,132,47,2,"6,670",674,"1,670","1,690","1,246",722,292,14,313
Home Economics,"2,017",11,82,257,551,586,229,7,"7,378",249,"1,204","1,905","2,027","1,077",272,5,"9,395",260,"1,286","2,162","2,578","1,663",501,12,385
Office and Information Studies,"2,725",150,524,595,682,317,88,5,"14,248","1,744","3,964","3,318","2,882",989,220,17,"16,973","1,894","4,488","3,913","3,564","1,306",308,22,394
Technological Studies,"5,586",707,"1,139","1,005","1,002",926,386,53,392,58,90,50,73,66,22,3,"5,978",765,"1,229","1,055","1,075",992,408,56,327
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,882",447,"1,779","2,940","2,077",769,138,1,"11,195","1,220","3,394","3,722","1,786",376,56,-,"20,077","1,667","5,173","6,662","3,863","1,145",194,1,436
Drama,"1,063",54,158,272,216,147,39,4,"2,170",275,570,602,325,123,40,-,"3,233",329,728,874,541,270,79,4,123
Music,"2,954",623,769,587,397,250,76,4,"5,142","1,536","1,596",887,478,221,64,3,"8,096","2,159","2,365","1,474",875,471,140,7,410
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"10,368",637,"2,742","3,315","1,984",498,63,1,"4,358",221,"1,009","1,384",962,345,39,-,"14,726",858,"3,751","4,699","2,946",843,102,1,377
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,413,62,102,65,87,53,18,2,670,75,158,143,134,66,33,5,"1,083",137,260,208,221,119,51,7,86
