Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,1,100%,1,0,0,1,0,0,0%, -, -, -, -, -,1,1,0,0,1,0,1
English,567,33%,60,125,220,405,76,"1,146",67%,100,264,484,848,144,"1,713",160,389,704,"1,253",220,287
French,140,19%,46,36,34,116,9,579,81%,141,143,153,437,57,719,187,179,187,553,66,193
Gaelic (Learners),7,41%,4,2,0,6,1,10,59%,9,1,0,10,0,17,13,3,0,16,1,8
Gàidhlig,6,23%,2,2,2,6,0,20,77%,8,6,6,20,0,26,10,8,8,26,0,11
German,63,29%,10,23,15,48,2,151,71%,35,31,41,107,11,214,45,54,56,155,13,87
Italian,6,29%,5,1,0,6,0,15,71%,11,4,0,15,0,21,16,5,0,21,0,10
Latin,11,31%,2,4,4,10,0,24,69%,14,4,6,24,0,35,16,8,10,34,0,13
Russian,1,17%,0,1,0,1,0,5,83%,5,0,0,5,0,6,5,1,0,6,0,6
Spanish,63,33%,21,18,13,52,1,130,67%,38,36,28,102,11,193,59,54,41,154,12,53
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,212,70%,88,34,44,166,19,93,30%,28,21,22,71,11,305,116,55,66,237,30,40
Accounting,44,59%,11,9,13,33,2,30,41%,6,8,9,23,3,74,17,17,22,56,5,26
Mathematics,"1,624",59%,384,348,349,"1,081",140,"1,128",41%,296,317,245,858,92,"2,752",680,665,594,"1,939",232,336
,,,,,,,,,,,,,,,,,,,,,
Biology,622,32%,130,154,170,454,79,"1,333",68%,339,359,312,1010,137,"1,955",469,513,482,"1,464",216,280
Chemistry,"1,037",48%,261,263,230,754,117,"1,106",52%,261,307,321,889,110,"2,143",522,570,551,"1,643",227,298
Physics,"1,095",78%,347,278,222,847,83,308,22%,116,80,67,263,13,"1,403",463,358,289,"1,110",96,260
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,23,42%,11,8,1,20,0,32,58%,17,10,5,32,0,55,28,18,6,52,0,14
Economics,70,76%,26,22,14,62,6,22,24%,5,14,2,21,1,92,31,36,16,83,7,11
Geography,401,47%,45,132,166,343,31,453,53%,79,168,154,401,34,854,124,300,320,744,65,172
History,485,46%,135,139,130,404,40,572,54%,196,144,139,479,48,"1,057",331,283,269,883,88,203
Modern Studies,237,37%,74,81,46,201,15,407,63%,131,122,103,356,22,644,205,203,149,557,37,126
"Religious, Moral and Philosophical Studies",58,30%,21,18,13,52,2,133,70%,30,50,33,113,10,191,51,68,46,165,12,40
,,,,,,,,,,,,,,,,,,,,,
Administration,1,7%,0,0,0,0,0,14,93%,2,2,4,8,3,15,2,2,4,8,3,6
Business Management,108,46%,2,11,38,51,16,126,54%,2,9,44,55,27,234,4,20,82,106,43,58
Computing,301,82%,60,79,86,225,24,65,18%,13,16,21,50,5,366,73,95,107,275,29,106
Graphic Communication,504,70%,186,162,89,437,25,216,30%,88,69,42,199,8,720,274,231,131,636,33,147
Home Economics: Health and Food Technology,1,3%,0,0,1,1,0,31,97%,2,7,18,27,0,32,2,7,19,28,0,18
Information Systems,40,85%,12,4,5,21,3,7,15%,4,2,0,6,0,47,16,6,5,27,3,20
Product Design,35,59%,3,2,8,13,4,24,41%,5,6,3,14,1,59,8,8,11,27,5,18
Technological Studies,86,96%,28,13,24,65,3,4,4%,2,2,0,4,0,90,30,15,24,69,3,29
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,129,22%,34,30,34,98,13,457,78%,118,81,150,349,58,586,152,111,184,447,71,192
Art and Design Enquiry: Expressive,181,22%,61,41,47,149,16,646,78%,187,157,189,533,66,827,248,198,236,682,82,234
Drama,68,25%,10,16,24,50,4,204,75%,32,55,61,148,29,272,42,71,85,198,33,66
Media Studies,3,100%,2,0,1,3,0,0,0%, -, -, -, -, -,3,2,0,1,3,0,1
Music,476,45%,214,154,75,443,9,579,55%,261,181,98,540,20,"1,055",475,335,173,983,29,283
,,,,,,,,,,,,,,,,,,,,,
Physical Education,41,53%,10,6,9,25,8,37,47%,9,8,5,22,5,78,19,14,14,47,13,27
