Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,2,100%,2,0,0,2,0,-,0%,-,-,-,-,-,2,2,0,0,2,0,1
English,515,33%,61,132,185,378,66,"1,058",67%,104,261,442,807,128,"1,573",165,393,627,"1,185",194,292
French,137,23%,42,35,39,116,12,462,77%,103,124,110,337,38,599,145,159,149,453,50,171
Gàidhlig,6,26%,3,0,3,6,0,17,74%,8,7,2,17,0,23,11,7,5,23,0,10
Gaelic (Learners),3,43%,1,1,1,3,0,4,57%,3,1,0,4,0,7,4,2,1,7,0,4
German,57,26%,15,15,16,46,3,166,74%,57,32,49,138,12,223,72,47,65,184,15,91
Italian,6,43%,4,0,0,4,1,8,57%,5,1,1,7,0,14,9,1,1,11,1,8
Latin,17,35%,7,4,2,13,1,32,65%,17,8,4,29,1,49,24,12,6,42,2,18
Russian,1,11%,1,0,0,1,0,8,89%,7,1,0,8,0,9,8,1,0,9,0,6
Spanish,30,19%,9,7,9,25,0,128,81%,32,35,41,108,6,158,41,42,50,133,6,51
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,218,69%,82,48,29,159,12,96,31%,37,14,21,72,6,314,119,62,50,231,18,50
Accounting and Finance,86,55%,11,26,17,54,8,71,45%,15,13,17,45,5,157,26,39,34,99,13,52
Mathematics,"1,429",62%,350,245,325,920,155,889,38%,230,157,242,629,88,"2,318",580,402,567,"1,549",243,332
,,,,,,,,,,,,,,,,,,,,,
Biology,476,28%,72,144,138,354,51,"1,217",72%,213,308,347,868,154,"1,693",285,452,485,"1,222",205,276
Chemistry,889,50%,206,240,225,671,99,903,50%,201,275,234,710,82,"1,792",407,515,459,"1,381",181,295
Managing Environmental Resources,-,0%,-,-,-,-,-,1,100%,0,1,0,1,0,1,0,1,0,1,0,1
Physics,"1,097",77%,337,247,233,817,75,329,23%,116,85,56,257,25,"1,426",453,332,289,"1,074",100,272
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,16,62%,7,7,2,16,0,10,38%,4,4,0,8,0,26,11,11,2,24,0,7
Economics,67,85%,17,16,25,58,1,12,15%,3,1,3,7,0,79,20,17,28,65,1,12
Geography,412,49%,51,155,164,370,27,433,51%,69,195,132,396,22,845,120,350,296,766,49,168
History,396,46%,102,124,117,343,28,465,54%,165,119,125,409,33,861,267,243,242,752,61,182
Modern Studies,241,36%,53,73,70,196,22,429,64%,80,139,135,354,29,670,133,212,205,550,51,136
Philosophy,11,73%,3,7,1,11,0,4,27%,1,2,0,3,0,15,4,9,1,14,0,4
Psychology,1,17%,0,1,0,1,0,5,83%,2,1,1,4,1,6,2,2,1,5,1,2
"Religious, Moral and Philosophical Studies",39,41%,10,15,7,32,2,56,59%,13,13,22,48,4,95,23,28,29,80,6,26
Sociology,5,63%,2,0,1,3,1,3,38%,2,0,0,2,0,8,4,0,1,5,1,2
,,,,,,,,,,,,,,,,,,,,,
Administration,-,0%,-,-,-,-,-,11,100%,0,6,4,10,0,11,0,6,4,10,0,5
Business Management,115,45%,14,20,39,73,12,141,55%,20,33,47,100,10,256,34,53,86,173,22,68
Computing,437,88%,81,127,135,343,47,62,12%,16,19,18,53,4,499,97,146,153,396,51,122
Graphic Communication,365,72%,132,130,55,317,23,143,28%,62,50,20,132,2,508,194,180,75,449,25,126
Home Economics - Fashion and Textile Technology,-,0%,-,-,-,-,-,2,100%,0,0,1,1,0,2,0,0,1,1,0,2
Home Economics: Health and Food Technology,-,0%,-,-,-,-,-,32,100%,2,9,10,21,3,32,2,9,10,21,3,13
Home Economics: Lifestyle and Consumer Technology,-,0%,-,-,-,-,-,5,100%,0,2,2,4,1,5,0,2,2,4,1,2
Information Systems,73,71%,22,18,17,57,13,30,29%,5,9,6,20,7,103,27,27,23,77,20,26
Product Design,41,51%,6,5,9,20,2,39,49%,5,7,7,19,1,80,11,12,16,39,3,21
Technological Studies,136,96%,51,23,39,113,2,5,4%,2,1,2,5,0,141,53,24,41,118,2,37
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,105,20%,31,13,37,81,15,412,80%,68,100,133,301,75,517,99,113,170,382,90,169
Art and Design Enquiry: Expressive,195,26%,37,46,46,129,46,554,74%,75,127,200,402,100,749,112,173,246,531,146,220
Art and Design: Research and Appreciation,8,32%,2,5,1,8,0,17,68%,5,7,5,17,0,25,7,12,6,25,0,14
Drama,61,26%,7,10,24,41,11,173,74%,35,51,48,134,18,234,42,61,72,175,29,57
Media Studies,-,0%,-,-,-,-,-,2,100%,0,2,0,2,0,2,0,2,0,2,0,1
Music,410,43%,210,119,50,379,16,537,57%,281,148,77,506,13,947,491,267,127,885,29,278
,,,,,,,,,,,,,,,,,,,,,
Physical Education,45,63%,0,7,8,15,8,27,38%,4,4,6,14,1,72,4,11,14,29,9,32
