Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Classical Greek,3,30%,3,0,0,3,0,7,70%,7,0,0,7,0,10,10,0,0,10,0,3
English and Communication,"5,927",52%,752,"1,977","1,905","4,634",361,"5,417",48%,937,"1,967","1,601","4,505",275,"11,344","1,689","3,944","3,506","9,139",636,372
French,243,26%,55,73,51,179,17,701,74%,270,179,139,588,41,944,325,252,190,767,58,231
Gaelic (Learners),7,47%,5,2,0,7,0,8,53%,5,2,0,7,0,15,10,4,0,14,0,8
Gàidhlig,3,43%,1,2,0,3,0,4,57%,1,1,2,4,0,7,2,3,2,7,0,4
German,156,33%,55,32,33,120,7,323,67%,154,69,44,267,18,479,209,101,77,387,25,138
Italian,31,23%,15,8,2,25,4,102,77%,55,15,15,85,9,133,70,23,17,110,13,25
Latin,17,74%,7,4,4,15,0,6,26%,4,1,1,6,0,23,11,5,5,21,0,9
Russian,1,100%,1,0,0,1,0,-,0%,-,-,-,-,-,1,1,0,0,1,0,1
Spanish,73,21%,29,16,12,57,2,269,79%,116,71,49,236,9,342,145,87,61,293,11,77
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,209,41%,46,45,48,139,12,301,59%,119,60,38,217,19,510,165,105,86,356,31,145
Mathematics,"5,862",50%,626,"1,095","1,280","3,001",588,"5,886",50%,665,"1,125","1,348","3,138",637,"11,748","1,291","2,220","2,628","6,139","1,225",408
,,,,,,,,,,,,,,,,,,,,,
Biology,"1,006",29%,96,188,280,564,138,"2,418",71%,239,495,709,"1,443",339,"3,424",335,683,989,"2,007",477,321
Biotechnology,27,41%,5,8,2,15,N/A,39,59%,6,10,11,27,N/A,66,11,18,13,42,N/A,9
Chemistry,715,48%,71,138,208,417,77,775,52%,116,167,223,506,101,"1,490",187,305,431,923,178,235
Geology,23,82%,7,2,9,18,1,5,18%,1,0,1,2,0,28,8,2,10,20,1,6
Managing Environmental Resources,20,50%,7,8,2,17,1,20,50%,7,4,7,18,1,40,14,12,9,35,2,4
Physics,"1,395",75%,131,276,381,788,166,454,25%,137,93,109,339,42,"1,849",268,369,490,"1,127",208,266
Amenity Horticulture,10,43%,4,3,0,7,N/A,13,57%,9,1,2,12,N/A,23,13,4,2,19,N/A,3
Crop Establishment,5,100%,4,1,0,5,N/A,-,0%,-,-,-,-,-,5,4,1,0,5,N/A,1
Fish Husbandry,7,100%,5,0,1,6,N/A,-,0%,-,-,-,-,-,7,5,0,1,6,N/A,1
Investigating Fish Rearing Systems,6,100%,1,2,3,6,N/A,-,0%,-,-,-,-,-,6,1,2,3,6,N/A,1
Livestock Production,5,100%,4,1,0,5,N/A,-,0%,-,-,-,-,-,5,4,1,0,5,N/A,1
Plant Propagation,10,43%,4,2,0,6,N/A,13,57%,8,4,0,12,N/A,23,12,6,0,18,N/A,3
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,12,28%,7,4,0,11,0,31,72%,15,9,4,28,1,43,22,13,4,39,1,8
Economics,69,47%,13,16,12,41,3,77,53%,25,12,12,49,7,146,38,28,24,90,10,43
