Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Chinese Languages,68,61,34,14,13,1,-,31,9,9,8,26,1,-,37,25,5,5,35,0,-,18
English,"7,348","5,830",977,"2,449","2,404",707,-,"4,459",487,"1,403","1,529","3,419",479,-,"2,889",490,"1,046",875,"2,411",228,-,372
French,"1,872","1,504",650,472,382,124,-,929,256,240,204,700,73,-,943,394,232,178,804,51,-,103
Gaelic (Learners),14,7,1,3,3,2,-,5,0,1,2,3,1,-,9,1,2,1,4,1,-,5
Gàidhlig,6,6,3,2,1,0,-,3,***,***,***,***,***,-,3,***,***,***,***,***,-,4
German,343,313,181,79,53,10,-,181,89,41,31,161,8,-,162,92,38,22,152,2,-,44
Italian,42,31,16,5,10,2,-,26,7,1,8,16,2,-,16,9,4,2,15,0,-,8
Latin,5,5,5,0,0,0,-,2,***,***,***,***,***,-,3,***,***,***,***,***,-,1
Russian,17,16,13,0,3,0,-,7,6,0,1,7,0,-,10,7,0,2,9,0,-,4
Spanish,"1,006",787,423,190,174,60,-,440,143,87,92,322,39,-,566,280,103,82,465,21,-,107
,,,,,,,,,,,,,,,,,,,,,,
Accounting,79,49,35,13,1,3,-,46,17,7,1,25,0,-,33,18,6,0,24,3,-,13
Mathematics,"11,735","7,295","2,760","2,205","2,330",915,-,"6,059","1,439","1,133","1,152","3,724",472,-,"5,676","1,321","1,072","1,178","3,571",443,-,410
,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,109","4,316","1,429","1,435","1,452",587,-,"2,429",536,568,604,"1,708",240,-,"3,680",893,867,848,"2,608",347,-,291
Chemistry,"3,031","2,340",931,752,657,231,-,"1,684",501,431,368,"1,300",127,-,"1,347",430,321,289,"1,040",104,-,236
Geology,42,42,27,14,1,0,-,27,18,8,1,27,0,-,15,9,6,0,15,0,-,6
Managing Environmental Resources,39,29,6,8,15,2,-,18,2,4,8,14,0,-,21,4,4,7,15,2,-,10
Physics,"2,567","1,931",741,631,559,212,-,"2,147",619,537,459,"1,615",172,-,420,122,94,100,316,40,-,219
