Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
English,"23,052",51%,"1,983","6,810","8,312","5,153",620,13,0,"22,513",49%,"3,573","8,848","6,996","2,676",271,2,0,"45,565","5,556","15,658","15,308","7,829",891,15,-,398
French,"9,427",45%,"1,400","1,948","2,338","2,302","1,119",201,3,"11,719",55%,"2,868","3,131","3,043","1,862",604,87,1,"21,146","4,268","5,079","5,381","4,164","1,723",288,4,305
Gaelic (Learners),136,44%,33,26,26,29,13,8,0,173,56%,65,46,21,28,9,2,0,309,98,72,47,57,22,10,-,23
Gàidhlig,78,40%,19,26,19,10,3,1,0,119,60%,56,39,14,9,1,0,0,197,75,65,33,19,4,1,-,26
German,"2,110",48%,295,465,535,517,222,54,0,"2,305",52%,569,661,572,347,103,31,0,"4,415",864,"1,126","1,107",864,325,85,-,139
Italian,84,40%,25,26,13,14,6,0,0,127,60%,63,39,16,6,1,0,0,211,88,65,29,20,7,-,-,10
Latin,158,45%,119,29,8,2,0,0,0,194,55%,145,33,11,4,0,0,0,352,264,62,19,6,-,-,-,19
Spanish,"1,616",42%,196,367,417,371,211,45,0,"2,199",58%,470,679,504,376,131,22,1,"3,815",666,"1,046",921,747,342,67,1,108
Urdu,63,61%,34,7,12,5,4,1,0,40,39%,26,4,7,1,2,0,0,103,60,11,19,6,6,1,-,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting & Finance,630,49%,117,165,110,100,92,38,1,651,51%,150,160,116,122,63,30,2,"1,281",267,325,226,222,155,68,3,77
Mathematics,"19,532",50%,"3,919","3,141","5,283","3,088","3,001",903,185,"19,153",50%,"3,917","3,180","5,355","2,892","2,605","1,010",185,"38,685","7,836","6,321","10,638","5,980","5,606","1,913",370,366
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,998",35%,"1,713","1,949","1,795",648,545,288,12,"13,278",65%,"3,021","3,840","3,654",976,"1,112",592,11,"20,276","4,734","5,789","5,449","1,624","1,657",880,23,365
Chemistry,"9,346",50%,"3,083","2,688","2,452",514,475,89,6,"9,439",50%,"3,405","2,673","2,346",414,493,63,1,"18,785","6,488","5,361","4,798",928,968,152,7,350
Physics,"9,983",70%,"2,932","2,627","2,334",830,662,489,21,"4,195",30%,"1,677","1,080",810,240,197,156,4,"14,178","4,609","3,707","3,144","1,070",859,645,25,338
Science,"1,151",54%,79,125,481,262,132,45,6,974,46%,90,89,348,232,134,65,1,"2,125",169,214,829,494,266,110,7,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,88,47%,18,13,21,16,11,7,2,98,53%,34,28,15,11,8,1,0,186,52,41,36,27,19,8,2,7
Economics,13,76%,2,5,0,2,3,1,0,4,24%,***,***,***,***,***,***,***,17,3,6,1,2,3,2,-,2
