Subject,male-Entries,male-percentage,male-A,male-B,male-C,male--PassesUngradedCourses,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female--PassesUngradedCourses,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngradedCourses,all-Passes,all-D,NumberOfCentres
Cantonese,5,83%,4,1,0,-,5,0,1,17%,***,***,***,-,***,***,6,5,1,0,-,6,0,3
Classical Greek,4,44%,***,***,***,-,***,***,5,56%,4,1,0,-,5,0,9,7,2,0,-,9,0,5
English,"12,201",41%,"2,113","3,075","3,437",-,"8,625","1,397","17,867",59%,"3,564","4,765","5,013",-,"13,342","1,921","30,068","5,677","7,840","8,450",-,"21,967","3,318",429
English for Speakers of Other Languages,262,38%,109,60,39,-,208,10,422,62%,153,89,83,-,325,18,684,262,149,122,-,533,28,95
French,"1,084",25%,493,249,181,-,923,59,"3,270",75%,"1,439",749,592,-,"2,780",216,"4,354","1,932",998,773,-,"3,703",275,359
Gaelic (Learners),24,19%,10,2,10,-,22,0,103,81%,34,33,29,-,96,5,127,44,35,39,-,118,5,28
Gàidhlig,48,41%,20,10,11,-,41,2,68,59%,29,26,12,-,67,0,116,49,36,23,-,108,2,27
German,289,27%,122,65,56,-,243,19,766,73%,298,189,175,-,662,44,"1,055",420,254,231,-,905,63,173
Italian,65,29%,44,6,9,-,59,1,162,71%,109,26,15,-,150,3,227,153,32,24,-,209,4,42
Latin,92,41%,45,23,16,-,84,4,130,59%,79,27,13,-,119,4,222,124,50,29,-,203,8,39
Mandarin (Simplified),10,38%,9,1,0,-,10,0,16,62%,16,0,0,-,16,0,26,25,1,0,-,26,0,12
Mandarin (Traditional),5,83%,5,0,0,-,5,0,1,17%,***,***,***,-,***,***,6,6,0,0,-,6,0,4
Russian,12,48%,10,1,0,-,11,1,13,52%,13,0,0,-,13,0,25,23,1,0,-,24,1,17
Spanish,346,23%,173,70,54,-,297,17,"1,152",77%,588,253,151,-,992,53,"1,498",761,323,205,-,"1,289",70,177
