Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
English and Communication,"1,566",49%,113,408,539,"1,060",133,"1,634",51%,152,446,557,"1,155",158,"3,200",265,854,"1,096","2,215",291,124
French,127,22%,41,28,21,90,5,461,78%,217,101,78,396,10,588,258,129,99,486,15,133
Gaelic (Learners),3,20%,2,1,0,3,0,12,80%,8,3,1,12,0,15,10,4,1,15,0,8
Gaidhlig,3,43%,0,3,0,3,0,4,57%,3,1,0,4,0,7,3,4,0,7,0,2
German,57,29%,21,21,7,49,2,143,72%,56,44,13,113,7,200,77,65,20,162,9,68
Italian,14,27%,9,2,1,12,0,37,73%,19,9,4,32,0,51,28,11,5,44,0,15
Latin,2,14%,1,0,1,2,0,12,86%,5,2,4,11,0,14,6,2,5,13,0,6
Spanish,52,24%,17,11,12,40,4,168,76%,66,31,30,127,12,220,83,42,42,167,16,43
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,149,38%,40,22,29,91,8,239,62%,62,51,55,168,19,388,102,73,84,259,27,108
Mathematics,"4,427",50%,684,982,978,"2,644",391,"4,402",50%,765,"1,033","1,018","2,816",444,"8,829","1,449","2,015","1,996","5,460",835,319
,,,,,,,,,,,,,,,,,,,,,
Biology,775,30%,118,138,220,476,83,"1,767",70%,281,389,438,"1,108",179,"2,542",399,527,658,"1,584",262,217
Biotechnology,15,36%,4,2,4,10,N/A,27,64%,5,11,5,21,N/A,42,9,13,9,31,N/A,4
Chemistry,588,48%,70,124,147,341,72,630,52%,98,142,150,390,83,"1,218",168,266,297,731,155,162
Geology,13,68%,2,0,5,7,1,6,32%,1,0,1,2,0,19,3,0,6,9,1,3
Managing Environmental Resources,4,100%,3,1,0,4,0,-,0%,-,-,-,-,-,4,3,1,0,4,0,1
Physics,"1,152",72%,80,228,334,642,128,451,28%,100,100,123,323,27,"1,603",180,328,457,965,155,203
Crop Establishment,7,78%,0,1,0,1,N/A,2,22%,0,1,1,2,N/A,9,0,2,1,3,N/A,1
Fish Husbandry,6,100%,1,5,0,6,N/A,-,0%,-,-,-,-,-,6,1,5,0,6,N/A,1
Investigating Fish Rearing Systems,6,100%,3,1,2,6,N/A,-,0%,-,-,-,-,-,6,3,1,2,6,N/A,1
Investigating the Natural Environment,6,75%,1,3,1,5,N/A,2,25%,1,1,0,2,N/A,8,2,4,1,7,N/A,1
Livestock Production,7,78%,1,2,1,4,N/A,2,22%,0,1,1,2,N/A,9,1,3,2,6,N/A,1
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,8,33%,0,3,2,5,0,16,67%,5,3,3,11,1,24,5,6,5,16,1,5
Economics,54,46%,11,13,12,36,4,64,54%,21,18,12,51,4,118,32,31,24,87,8,32
Geography,509,61%,57,99,156,312,55,324,39%,63,67,84,214,30,833,120,166,240,526,85,134
History,515,47%,76,87,156,319,49,591,53%,94,139,180,413,60,"1,106",170,226,336,732,109,201
Modern Studies,328,39%,87,68,66,221,25,508,61%,183,117,101,401,30,836,270,185,167,622,55,132
