Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,9,7,1,1,-,- ,-,-,12,10,-,-,2,-,-,-,21,17,1,1,2,-,-,-,10
English,"31,682","2,025","7,240","10,609","8,352","2,283",109,-,"31,026","3,760","10,233","10,284","5,013",917,26,-,"62,708","5,785","17,473","20,893","13,365","3,200",135,-,485
English - Alternative Communication,4,-,-,-,3,1,-,-,7,-,-,1,1,5,-,-,11,-,-,1,4,6,-,-,3
English - Spoken,24,-,3,8,9,3,-,-,4,1,-,1,2,-,-,-,28,1,3,9,11,3,-,-,16
French,"20,638","1,494","3,032","3,858","4,501","3,577","1,807",104,"21,988","3,425","4,942","4,690","4,044","2,336",798,28,"42,626","4,919","7,974","8,548","8,545","5,913","2,605",132,434
French  (Writing)*,"7,871",705,"1,330","1,108","1,300",-,-,-,"12,241","1,667","2,601","1,996","1,904",-,-,-,"20,112","2,372","3,931","3,104","3,204",-,-,-,425
Gàidhlig,35,5,10,8,6,4,-,-,68,22,20,16,7,2,-,-,103,27,30,24,13,6,-,-,8
Gaelic (Learners),255,26,39,50,60,48,23,2,285,56,79,55,61,21,8,-,540,82,118,105,121,69,31,2,32
Gaelic (Learners) (Writing)*,73,5,10,14,28,-,-,-,149,17,26,39,49,-,-,-,222,22,36,53,77,-,-,-,26
German,"7,940",679,"1,341","1,784","1,816","1,015",398,29,"8,314","1,616","2,103","1,874","1,354",561,153,7,"16,254","2,295","3,444","3,658","3,170","1,576",551,36,343
German (Writing)*,"3,632",242,593,749,"1,224",-,-,-,"5,267",676,"1,181","1,161","1,478",-,-,-,"8,899",918,"1,774","1,910","2,702",-,-,-,334
Italian,257,37,42,54,54,37,19,1,383,111,116,68,52,14,9,2,640,148,158,122,106,51,28,3,40
Italian (Writing)*,129,8,21,16,37,-,-,-,274,42,87,35,57,-,-,-,403,50,108,51,94,-,-,-,37
Latin,500,241,107,42,29,28,19,1,675,355,156,59,43,21,9,1,"1,175",596,263,101,72,49,28,2,101
Russian,14,2,1,1,-,3,1,2,17,10,-,-,-,2,3,1,31,12,1,1,-,5,4,3,10
Russian (Writing)*,4,1,-,1,1,-,-,-,12,5,2,1,1,-,-,-,16,6,2,2,2,-,-,-,7
Spanish,912,86,159,179,205,149,60,3,"1,467",354,415,329,210,74,34,2,"2,379",440,574,508,415,223,94,5,108
Spanish (Writing)*,365,34,52,46,117,-,-,-,"1,021",113,224,190,283,-,-,-,"1,386",147,276,236,400,-,-,-,103
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,518",506,673,418,428,291,115,10,"3,475",815,910,564,528,353,142,15,"5,993","1,321","1,583",982,956,644,257,25,333
Mathematics,"32,219","4,496","4,291","7,188","5,436","7,363","2,231",304,"31,492","4,968","4,395","6,910","5,555","6,608","1,917",293,"63,711","9,464","8,686","14,098","10,991","13,971","4,148",597,484
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,838","1,270","2,037","1,742",955,475,148,11,"15,999","2,965","5,340","4,188","1,974",891,232,12,"22,837","4,235","7,377","5,930","2,929","1,366",380,23,427
Chemistry,"12,476","3,343","4,201","2,852","1,257",435,133,17,"12,361","3,490","4,348","2,876","1,018",302,94,8,"24,837","6,833","8,549","5,728","2,275",737,227,25,426
Physics,"14,414","4,316","4,573","3,547","1,085",486,156,38,"7,013","2,773","2,289","1,302",320,170,52,9,"21,427","7,089","6,862","4,849","1,405",656,208,47,429
Science,"9,336",33,387,"2,264","2,778","1,916",829,81,"7,153",41,276,"1,632","2,051","1,563",624,61,"16,489",74,663,"3,896","4,829","3,479","1,453",142,417
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,139,18,25,18,25,15,15,1,160,24,36,19,25,22,9,3,299,42,61,37,50,37,24,4,27
Contemporary Social Studies,410,-,1,11,96,178,85,3,286,-,2,17,80,109,46,-,696,-,3,28,176,287,131,3,44
Economics,"1,070",155,267,241,159,126,68,6,770,131,206,151,117,89,32,5,"1,840",286,473,392,276,215,100,11,119
Geography,"14,510","1,692","3,188","2,880","2,967","2,015","1,071",166,"10,598","1,865","2,697","2,082","1,771","1,165",613,81,"25,108","3,557","5,885","4,962","4,738","3,180","1,684",247,423
History,"10,022","1,180","1,880","1,830","1,731","1,941",869,78,"11,987","2,099","2,700","2,364","2,077","1,627",634,40,"22,009","3,279","4,580","4,194","3,808","3,568","1,503",118,423
Modern Studies,"6,233",856,"1,189",974,"1,083","1,117",593,73,"8,216","1,633","1,905","1,508","1,342","1,010",419,38,"14,449","2,489","3,094","2,482","2,425","2,127","1,012",111,326
Social and Vocational Skills,"1,563",54,202,383,459,252,76,6,"1,965",222,489,575,355,169,48,-,"3,528",276,691,958,814,421,124,6,153
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"11,889","1,590","2,464","2,294","2,446","1,697",768,127,"6,440","1,066","1,548","1,309","1,206",697,267,49,"18,329","2,656","4,012","3,603","3,652","2,394","1,035",176,411
Craft and Design,"10,902",573,"1,819","2,545","2,667","1,662",526,52,"2,511",255,550,596,494,278,56,7,"13,413",828,"2,369","3,141","3,161","1,940",582,59,396
Graphic Communication,"5,406",543,"1,375","1,386",987,619,196,13,"1,712",220,468,399,331,164,46,1,"7,118",763,"1,843","1,785","1,318",783,242,14,324
Home Economics,"2,262",16,109,308,628,621,267,16,"7,873",284,"1,360","2,062","2,088","1,128",285,12,"10,135",300,"1,469","2,370","2,716","1,749",552,28,381
Office and Information Studies,"3,108",200,577,746,676,396,195,21,"15,016","2,095","4,053","3,810","2,525","1,143",376,31,"18,124","2,295","4,630","4,556","3,201","1,539",571,52,390
Technological Studies,"4,858",625,"1,018",921,857,766,325,28,400,66,78,67,67,53,20,3,"5,258",691,"1,096",988,924,819,345,31,306
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"9,020",441,"1,935","3,128","2,142",640,88,-,"11,924","1,278","3,795","4,095","1,753",370,61,-,"20,944","1,719","5,730","7,223","3,895","1,010",149,-,440
Drama,"1,385",75,257,355,321,158,39,2,"2,408",373,745,625,315,99,19,2,"3,793",448,"1,002",980,636,257,58,4,129
Music,"3,115",686,764,608,439,244,74,1,"5,341","1,604","1,656","1,014",499,208,49,1,"8,456","2,290","2,420","1,622",938,452,123,2,414
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,767",919,"3,133","3,712","2,427",612,72,3,"4,883",328,"1,202","1,509","1,104",352,53,2,"16,650","1,247","4,335","5,221","3,531",964,125,5,379
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,455,91,104,82,64,50,35,3,646,72,169,151,112,68,24,3,"1,101",163,273,233,176,118,59,6,81
