Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,2,22%,1,1,0,0,0,0,0,7,78%,3,4,0,0,0,0,0,9,4,5,0,0,0,0,0,5
English,"30,363",51%,"2,580","7,870","10,316","7,146","1,647",82,0,"29,727",49%,"4,967","10,069","9,155","4,308",613,11,0,"60,090","7,547","17,939","19,471","11,454","2,260",93,0,464
English - Alternative Communication,4,36%,0,0,1,1,2,0,0,7,64%,0,0,0,6,1,0,0,11,0,0,1,7,3,0,0,4
English - Spoken,8,89%,0,0,2,5,1,0,0,1,11%,0,0,0,0,1,0,0,9,0,0,2,5,2,0,0,6
French,"18,752",48%,"2,213","3,424","4,015","4,748","2,693",660,24,"19,984",52%,"4,775","4,721","4,354","3,504","1,578",287,3,"38,736","6,988","8,145","8,369","8,252","4,271",947,27,415
Gàidhlig,72,54%,28,24,12,7,0,0,0,61,46%,39,10,8,4,0,0,0,133,67,34,20,11,0,0,0,17
Gaelic (Learners),145,38%,38,36,27,22,13,0,0,240,62%,105,60,41,23,2,0,0,385,143,96,68,45,15,0,0,29
German,"7,752",49%,999,"1,647","1,839","1,674",809,207,10,"7,996",51%,"2,223","2,181","1,632","1,108",343,83,3,"15,748","3,222","3,828","3,471","2,782","1,152",290,13,310
Italian,290,36%,62,58,62,56,30,11,0,507,64%,193,118,86,54,32,3,0,797,255,176,148,110,62,14,0,46
Latin,335,40%,180,69,29,17,22,6,1,496,60%,297,101,41,30,14,4,0,831,477,170,70,47,36,10,1,56
Russian,4,40%,4,0,0,0,0,0,0,6,60%,5,1,0,0,0,0,0,10,9,1,0,0,0,0,0,4
Spanish,"1,154",41%,182,236,267,246,131,34,2,"1,692",59%,544,447,336,207,82,21,0,"2,846",726,683,603,453,213,55,2,121
Urdu,83,48%,34,16,12,11,1,1,0,91,52%,56,16,10,7,2,0,0,174,90,32,22,18,3,1,0,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,898",47%,399,513,351,266,206,104,8,"2,105",53%,506,539,400,323,183,91,4,"4,003",905,"1,052",751,589,389,195,12,229
Mathematics,"30,148",51%,"5,366","4,132","6,424","5,821","6,079","2,060",244,"29,449",49%,"5,861","4,243","6,101","5,637","5,285","2,045",254,"59,597","11,227","8,375","12,525","11,458","11,364","4,105",498,454
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,688",29%,"1,925","1,667","1,488",826,452,193,12,"16,361",71%,"5,040","4,156","3,658","1,624","1,264",336,27,"23,049","6,965","5,823","5,146","2,450","1,716",529,39,413
Chemistry,"11,479",49%,"3,650","2,893","2,843","1,005",660,229,41,"11,758",51%,"4,091","2,973","2,765",916,649,185,19,"23,237","7,741","5,866","5,608","1,921","1,309",414,60,412
Physics,"13,631",71%,"4,213","3,475","3,618","1,307",545,245,32,"5,641",29%,"2,475","1,412","1,113",307,171,84,7,"19,272","6,688","4,887","4,731","1,614",716,329,39,411
