Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,4,50%,3,0,0,0,1,0,0,4,50%,3,1,0,0,0,0,0,8,6,1,0,0,1,0,0,4
English,"30,156",50%,"2,165","8,020","10,403","7,522","1,640",58,0,"29,577",50%,"3,653","10,422","9,433","4,984",711,23,0,"59,733","5,818","18,442","19,836","12,506","2,351",81,0,422
English - Alternative Communication,,0%,,,,,,,,2,100%,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1
French,"15,104",47%,"1,870","2,763","3,674","4,169","1,741",362,3,"17,214",53%,"3,792","4,085","4,155","3,409","1,114",163,2,"32,318","5,662","6,848","7,829","7,578","2,855",525,5,370
Gaelic (Learners),193,50%,37,59,40,32,14,2,0,190,50%,54,69,39,21,5,1,0,383,91,128,79,53,19,3,0,24
Gaidhlig,87,50%,16,53,12,3,2,0,0,86,50%,31,29,15,6,0,0,0,173,47,82,27,9,2,0,0,28
German,"4,738",48%,583,996,"1,346","1,098",430,84,0,"5,046",52%,"1,095","1,399","1,302",753,257,33,1,"9,784","1,678","2,395","2,648","1,851",687,117,1,211
Italian,159,38%,31,21,30,44,25,7,0,261,62%,76,53,49,49,20,4,1,420,107,74,79,93,45,11,1,21
Latin,210,46%,94,67,21,8,11,3,1,250,54%,143,70,13,10,9,1,0,460,237,137,34,18,20,4,1,36
Russian,1,100%,1,0,0,0,0,0,0,,0%,,,,,,,,1,1,0,0,0,0,0,0,1
Spanish,"1,251",43%,175,274,309,271,149,30,0,"1,672",57%,393,501,417,233,81,9,0,"2,923",568,775,726,504,230,39,0,115
Urdu,81,54%,27,15,11,16,6,1,0,68,46%,45,11,3,5,3,0,0,149,72,26,14,21,9,1,0,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,152",51%,247,296,179,193,145,69,8,"1,121",49%,222,255,186,216,130,79,6,"2,273",469,551,365,409,275,148,14,146
Mathematics,"27,324",51%,"4,573","3,334","6,065","4,415","6,288","2,090",536,"26,655",49%,"4,837","3,407","5,438","4,483","5,582","2,241",641,"53,979","9,410","6,741","11,503","8,898","11,870","4,331","1,177",417
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"7,116",31%,"1,668","1,974","1,873",708,567,229,14,"15,671",69%,"3,542","4,547","4,124","1,349","1,354",497,34,"22,787","5,210","6,521","5,997","2,057","1,921",726,48,382
Chemistry,"9,876",49%,"2,692","2,823","2,752",778,545,206,13,"10,202",51%,"2,780","2,973","2,798",730,652,164,21,"20,078","5,472","5,796","5,550","1,508","1,197",370,34,377
Physics,"11,567",73%,"3,345","3,151","2,936","1,019",548,420,35,"4,373",27%,"1,731","1,155",898,275,152,116,11,"15,940","5,076","4,306","3,834","1,294",700,536,46,370
Science,"2,260",54%,75,181,651,631,391,157,24,"1,945",46%,54,106,489,556,370,181,27,"4,205",129,287,"1,140","1,187",761,338,51,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,151,51%,36,41,12,19,18,13,2,145,49%,64,29,16,5,18,6,1,296,100,70,28,24,36,19,3,14
Contemporary Social Studies,64,66%,0,1,8,19,24,9,0,33,34%,0,0,2,6,20,4,0,97,0,1,10,25,44,13,0,8
Economics,150,61%,6,45,26,29,17,24,3,94,39%,4,14,20,14,16,23,3,244,10,59,46,43,33,47,6,15
