Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,1,20%,1,0,0,0,0,0,0,4,80%,4,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2
English,"30,609",50%,"2,668","8,618","10,325","6,989","1,397",45,0,"30,041",50%,"4,505","11,055","9,427","4,003",612,15,0,"60,650","7,173","19,673","19,752","10,992","2,009",60,0,455
English - Alternative Communication,5,83%,0,0,1,2,2,0,0,1,17%,0,0,0,0,1,0,0,6,0,0,1,2,3,0,0,3
English - Spoken,2,67%,0,0,0,2,0,0,0,1,33%,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,2
French,"18,150",48%,"1,942","3,170","4,127","4,764","2,658",493,8,"19,838",52%,"4,211","5,138","4,624","3,553","1,308",190,4,"37,988","6,153","8,308","8,751","8,317","3,966",683,12,398
Gaelic (Learners),164,49%,40,45,32,29,13,1,0,170,51%,79,55,16,11,5,0,0,334,119,100,48,40,18,1,0,22
Gàidhlig,80,44%,22,34,14,7,2,0,0,103,56%,49,39,13,2,0,0,0,183,71,73,27,9,2,0,0,23
German,"6,601",49%,909,"1,270","1,731","1,578",648,126,1,"6,812",51%,"1,683","1,832","1,582","1,047",319,44,1,"13,413","2,592","3,102","3,313","2,625",967,170,2,277
Italian,224,39%,39,44,52,38,24,8,0,345,61%,106,88,79,48,13,3,0,569,145,132,131,86,37,11,0,25
Latin,265,41%,133,75,21,22,9,2,0,375,59%,225,76,31,29,5,3,0,640,358,151,52,51,14,5,0,50
Russian,3,43%,3,0,0,0,0,0,0,4,57%,4,0,0,0,0,0,0,7,7,0,0,0,0,0,0,6
Spanish,"1,110",40%,145,263,250,261,117,27,0,"1,669",60%,454,452,384,259,68,14,0,"2,779",599,715,634,520,185,41,0,104
Urdu,81,45%,26,13,14,12,5,2,0,100,55%,54,23,15,4,2,1,0,181,80,36,29,16,7,3,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,470",45%,324,403,262,216,165,71,5,"1,798",55%,404,447,296,302,201,95,10,"3,268",728,850,558,518,366,166,15,208
Mathematics,"30,068",51%,"5,308","4,081","6,345","5,251","6,097","2,367",589,"29,373",49%,"5,514","4,312","5,820","5,393","5,523","2,190",595,"59,441","10,822","8,393","12,165","10,644","11,620","4,557","1,184",445
,,,,,,,,,,,,,,,,,,,,,,,,,,,
