Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,1,25%,1,0,0,0,0,0,0,3,75%,2,1,0,0,0,0,0,4,3,1,0,0,0,0,0,3
English,"30,286",51%,"2,585","8,061","10,124","7,225","1,576",61,1,"29,615",49%,"4,927","10,240","9,028","4,304",610,21,0,"59,901","7,512","18,301","19,152","11,529","2,186",82,1,464
English - Alternative Communication,5,45%,0,1,0,4,0,0,0,6,55%,0,0,2,2,2,0,0,11,0,1,2,6,2,0,0,4
English - Spoken,2,100%,0,0,1,1,0,0,0,-,0%,-,-,-,-,-,-,-,2,0,0,1,1,0,0,0,2
French,"18,945",48%,"2,316","3,346","4,428","4,469","2,587",717,17,"20,245",52%,"5,083","4,709","4,539","3,395","1,336",329,8,"39,190","7,399","8,055","8,967","7,864","3,923","1,046",25,411
Gàidhlig,54,39%,21,15,9,6,0,0,0,84,61%,47,26,10,1,0,0,0,138,68,41,19,7,0,0,0,18
Gaelic (Learners),167,51%,53,45,21,29,6,7,0,161,49%,76,54,17,10,0,2,0,328,129,99,38,39,6,9,0,26
German,"6,904",49%,951,"1,481","1,679","1,503",702,193,10,"7,091",51%,"1,949","1,866","1,582",952,362,60,0,"13,995","2,900","3,347","3,261","2,455","1,064",253,10,289
Italian,261,38%,44,59,59,55,29,2,0,427,62%,145,128,68,61,13,1,0,688,189,187,127,116,42,3,0,37
Latin,299,43%,155,65,28,26,11,6,0,401,57%,254,77,35,18,9,5,0,700,409,142,63,44,20,11,0,51
Russian,7,41%,5,1,1,0,0,0,0,10,59%,9,1,0,0,0,0,0,17,14,2,1,0,0,0,0,9
Spanish,"1,196",39%,199,258,235,285,100,63,3,"1,836",61%,605,495,364,220,76,28,3,"3,032",804,753,599,505,176,91,6,116
Urdu,84,49%,37,13,12,14,2,1,0,87,51%,61,8,7,4,0,0,0,171,98,21,19,18,2,1,0,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,676",47%,402,453,285,246,159,67,16,"1,894",53%,434,503,336,280,199,77,5,"3,570",836,956,621,526,358,144,21,210
Mathematics,"29,956",51%,"4,948","4,188","6,881","4,746","6,209","2,445",513,"29,091",49%,"5,534","4,279","6,201","4,852","5,160","2,573",466,"59,047","10,482","8,467","13,082","9,598","11,369","5,018",979,449
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,497",29%,"1,566","1,727","1,630",692,527,220,23,"16,238",71%,"4,226","4,361","4,136","1,525","1,205",487,35,"22,735","5,792","6,088","5,766","2,217","1,732",707,58,413
Chemistry,"11,154",49%,"3,413","2,829","2,908",975,605,244,41,"11,592",51%,"3,872","2,874","2,947",866,661,220,23,"22,746","7,285","5,703","5,855","1,841","1,266",464,64,408
Physics,"13,862",70%,"4,205","3,604","3,369","1,303",698,404,50,"5,816",30%,"2,453","1,562","1,124",311,179,100,11,"19,678","6,658","5,166","4,493","1,614",877,504,61,406
Science,"7,884",57%,112,327,"1,786","2,424","1,801",688,82,"6,029",43%,84,203,"1,225","1,837","1,458",615,60,"13,913",196,530,"3,011","4,261","3,259","1,303",142,372
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,157,48%,22,43,32,19,21,8,2,169,52%,42,32,34,28,10,11,0,326,64,75,66,47,31,19,2,19
Contemporary Social Studies,180,62%,0,1,13,51,73,29,1,110,38%,0,1,6,37,42,13,0,290,0,2,19,88,115,42,1,21
Economics,514,63%,143,181,78,66,30,14,1,299,37%,85,91,33,43,28,15,4,813,228,272,111,109,58,29,5,39
Geography,"12,639",58%,"2,673","3,032","2,879","1,752","1,430",682,180,"9,305",42%,"2,574","2,215","1,831","1,181",921,463,117,"21,944","5,247","5,247","4,710","2,933","2,351","1,145",297,413
History,"10,340",48%,"2,039","2,537","1,674","1,470","1,485",879,243,"11,083",52%,"2,985","3,043","1,821","1,451","1,189",471,121,"21,423","5,024","5,580","3,495","2,921","2,674","1,350",364,412
