Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,1,100%,***,***,***,***,***,0,-,-,-,-,-,-,1,***,***,***,***,***,1
English,555,30%,155,176,147,478,25,"1,306",70%,303,441,363,"1,107",89,"1,861",458,617,510,"1,585",114,275
French,155,22%,63,41,31,135,9,536,78%,169,132,128,429,45,691,232,173,159,564,54,181
Gaelic (Learners),5,28%,4,1,0,5,0,13,72%,6,3,3,12,0,18,10,4,3,17,0,8
Gàidhlig,4,22%,***,***,***,***,***,14,78%,6,7,1,14,0,18,9,7,2,18,0,11
German,43,27%,22,11,5,38,1,117,73%,45,29,22,96,9,160,67,40,27,134,10,69
Italian,11,32%,4,4,1,9,1,23,68%,11,5,4,20,1,34,15,9,5,29,2,11
Latin,16,37%,10,4,2,16,0,27,63%,13,9,3,25,2,43,23,13,5,41,2,19
Mandarin (Simplified),8,57%,8,0,0,8,0,6,43%,6,0,0,6,0,14,14,0,0,14,0,5
Mandarin (Traditional),0,-,-,-,-,-,-,1,100%,***,***,***,***,***,1,***,***,***,***,***,1
Spanish,50,22%,20,12,12,44,2,182,78%,49,63,38,150,14,232,69,75,50,194,16,68
,,,,,,,,,,,,,,,,,,,,,
Accounting,18,46%,8,4,3,15,0,21,54%,6,5,3,14,1,39,14,9,6,29,1,18
Applied Mathematics,199,71%,86,44,27,157,12,80,29%,29,17,16,62,2,279,115,61,43,219,14,49
Mathematics,"1,895",61%,437,372,431,"1,240",170,"1,203",39%,316,269,309,894,105,"3,098",753,641,740,"2,134",275,343
,,,,,,,,,,,,,,,,,,,,,
Biology,853,37%,179,214,236,629,83,"1,435",63%,339,404,383,"1,126",128,"2,288",518,618,619,"1,755",211,292
Chemistry,"1,272",51%,382,324,263,969,100,"1,200",49%,421,309,267,997,90,"2,472",803,633,530,"1,966",190,296
Physics,"1,420",81%,481,323,311,"1,115",101,337,19%,147,85,63,295,17,"1,757",628,408,374,"1,410",118,280
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,25,38%,18,1,4,23,0,41,62%,25,10,4,39,0,66,43,11,8,62,0,17
Economics,56,76%,27,19,6,52,3,18,24%,9,6,3,18,0,74,36,25,9,70,3,11
Geography,350,43%,72,126,96,294,22,468,57%,120,172,127,419,28,818,192,298,223,713,50,160
History,537,45%,133,178,157,468,33,667,55%,210,199,189,598,37,"1,204",343,377,346,"1,066",70,207
Modern Studies,279,35%,86,85,72,243,17,522,65%,193,169,114,476,24,801,279,254,186,719,41,126
"Religious, Moral and Philosophical Studies",85,32%,44,21,12,77,1,181,68%,59,57,41,157,9,266,103,78,53,234,10,47
,,,,,,,,,,,,,,,,,,,,,
Administration,4,24%,***,***,***,***,***,13,76%,3,1,5,9,1,17,3,3,5,11,2,4
Business Management,74,38%,4,11,17,32,14,123,62%,7,25,46,78,19,197,11,36,63,110,33,61
Computing,381,83%,91,112,90,293,39,80,17%,22,23,21,66,4,461,113,135,111,359,43,117
Graphic Communication,600,66%,262,183,106,551,14,303,34%,163,94,39,296,3,903,425,277,145,847,17,181
Home Economics: Health and Food Technology,3,9%,***,***,***,***,***,30,91%,5,10,12,27,2,33,5,10,14,29,2,13
Information Systems,46,87%,10,16,10,36,3,7,13%,3,1,2,6,0,53,13,17,12,42,3,17
Product Design,60,54%,3,10,15,28,7,51,46%,13,6,14,33,3,111,16,16,29,61,10,28
Technological Studies,80,99%,35,12,13,60,5,1,1%,***,***,***,***,***,81,36,12,13,61,5,27
,,,,,,,,,,,,,,,,,,,,,
Art and Design: Design,128,19%,43,41,24,108,10,533,81%,147,161,168,476,34,661,190,202,192,584,44,201
Art and Design: Expressive,188,20%,57,57,43,157,18,751,80%,201,209,248,658,53,939,258,266,291,815,71,249
Drama,88,27%,12,23,28,63,14,239,73%,39,68,68,175,23,327,51,91,96,238,37,68
Media Studies,1,50%,***,***,***,***,***,1,50%,***,***,***,***,***,2,***,***,***,***,***,1
Music,646,50%,419,149,56,624,10,653,50%,382,196,57,635,5,"1,299",801,345,113,"1,259",15,303
,,,,,,,,,,,,,,,,,,,,,
Physical Education,62,55%,8,11,7,26,6,50,45%,14,8,10,32,6,112,22,19,17,58,12,32
