Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
English,"29,510","1,868","6,334","10,091","7,659","2,221",132,1,"28,565","3,177","8,632","10,245","4,836",814,44,-,"58,075","5,045","14,966","20,336","12,495","3,035",176,1,496
English - Alternative Communication,7,-,-,3,2,2,-,-,5,-,-,1,2,2,-,-,12,-,-,4,4,4,-,-,3
English - Spoken,15,-,1,8,5,1,-,-,4,-,-,1,2,1,-,-,19,1,1,9,7,2,-,-,11
French,"18,985","1,274","2,715","3,423","4,123","3,041","1,753",169,"20,637","2,745","4,351","4,483","3,980","2,359",923,48,"39,622","4,019","7,066","7,906","8,103","5,400","2,676",217,434
French  (Writing)*,"8,488",645,"1,278","1,507","1,509",-,-,-,"12,550","1,493","2,577","2,590","2,174",-,-,-,"21,038","2,138","3,855","4,097","3,683",-,-,-,422
Gàidhlig,37,4,10,17,4,1,1,-,49,19,17,6,3,2,-,-,86,23,27,23,7,3,1,-,7
Gaelic (Learners),187,22,30,37,29,37,19,-,238,49,60,62,35,20,8,1,425,71,90,99,64,57,27,1,35
Gaelic (Learners) (Writing)*,55,-,5,10,20,-,-,-,129,3,10,22,45,-,-,-,184,3,15,32,65,-,-,-,27
German,"6,736",508,"1,179","1,430","1,483",937,338,19,"7,321","1,214","1,911","1,672","1,213",519,169,4,"14,057","1,722","3,090","3,102","2,696","1,456",507,23,350
German (Writing)*,"3,490",250,540,624,"1,037",-,-,-,"4,995",618,"1,150",986,"1,262",-,-,-,"8,485",868,"1,690","1,610","2,299",-,-,-,342
Greek,11,10,-,-,-,-,-,-,8,7,-,-,-,-,-,-,,,,,,,,,14
Italian,93,17,18,20,16,11,5,-,263,86,58,58,32,14,4,-,356,103,76,78,48,25,9,-,36
Italian (Writing)*,62,4,15,2,13,-,-,-,197,27,53,22,33,-,-,-,259,31,68,24,46,-,-,-,31
Latin,556,257,129,44,32,46,15,1,697,316,180,77,50,29,9,-,"1,253",573,309,121,82,75,24,1,130
Russian,30,2,6,3,6,5,4,3,31,10,8,4,4,2,1,-,61,12,14,7,10,7,5,3,7
Russian (Writing)*,8,2,-,3,3,-,-,-,23,6,8,7,-,-,-,-,31,8,8,10,3,-,-,-,6
Spanish,704,82,114,141,144,94,64,10,"1,095",239,297,206,168,111,25,4,"1,799",321,411,347,312,205,89,14,99
Spanish (Writing)*,413,28,46,50,141,-,-,-,797,100,140,118,273,-,-,-,"1,210",128,186,168,414,-,-,-,90
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,627",437,726,485,419,318,124,17,"3,366",587,909,615,555,346,165,9,"5,993","1,024","1,635","1,100",974,664,289,26,334
Mathematics,"30,297","4,347","4,150","6,422","5,410","6,008","2,293",606,"29,105","4,380","4,104","6,268","5,590","5,354","2,001",531,"59,402","8,727","8,254","12,690","11,000","11,362","4,294","1,137",498
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,007","1,026","1,674","1,411",892,502,265,15,"14,470","2,289","4,560","3,672","1,987","1,073",422,21,"20,477","3,315","6,234","5,083","2,879","1,575",687,36,428
Chemistry,"11,876","3,048","3,061","3,329","1,168",776,195,11,"11,313","2,938","3,164","3,090","1,051",661,154,11,"23,189","5,986","6,225","6,419","2,219","1,437",349,22,424
Physics,"14,367","3,899","4,681","3,601","1,155",540,193,27,"6,630","2,502","2,260","1,258",316,151,46,9,"20,997","6,401","6,941","4,859","1,471",691,239,36,428
Science,"8,642",21,302,"1,819","2,425","1,974",919,104,"6,749",19,223,"1,383","1,794","1,541",816,89,"15,391",40,525,"3,202","4,219","3,515","1,735",193,418
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,189,16,23,22,31,34,21,10,173,19,38,29,30,14,17,3,362,35,61,51,61,48,38,13,28
Contemporary Social Studies,576,-,1,19,111,191,163,10,431,1,7,23,74,158,90,12,"1,007",1,8,42,185,349,253,22,67
Economics,"1,108",116,303,247,192,143,53,9,873,86,217,174,149,118,61,10,"1,981",202,520,421,341,261,114,19,134
Geography,"13,451","1,366","2,892","2,811","2,654","1,969","1,024",163,"9,398","1,494","2,463","1,784","1,642","1,128",527,69,"22,849","2,860","5,355","4,595","4,296","3,097","1,551",232,428
