Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60+,age-65
English, 94 , 337 , 455 , 363 , 292 , 275 , 272 , 300 , 121 ,
French, 18 , 89 , 92 , 98 , 90 , 124 , 88 , 96 , 49 ,
German, * , 9 , 14 , 11 , 16 , 16 , 20 , 24 , 7 ,
Spanish, 5 , 18 , 15 , 14 , 6 , 13 , 17 , 5 , * ,
Gaelic, * , 17 , 10 , 6 , 6 , 7 , 5 , * , * ,
Italian, -   , * , -   , * , * , * , -   , * , * ,
English as an Additional Language, -   , -   , -   , -   , -   , * , * , * , -   ,
Community Languages, -   , -   , -   , -   , -   , * , * , * , -   ,
Other Modern Languages, 20 , 46 , 41 , 37 , 45 , 42 , 29 , 37 , 17 ,
Classical Studies , -   , * , * , * , -   , * , -   , * , * ,
,,,,,,,,,,
Mathematics, 101 , 283 , 373 , 240 , 311 , 302 , 349 , 281 , 111 ,
Biology, 77 , 213 , 174 , 183 , 108 , 108 , 115 , 147 , 41 ,
Chemistry, 44 , 131 , 123 , 120 , 131 , 123 , 116 , 100 , 43 ,
General Science, * , 15 , 12 , 19 , 21 , 16 , 18 , 12 , 13 ,
Physics, 24 , 77 , 102 , 115 , 93 , 116 , 143 , 100 , 38 ,
,,,,,,,,,,
Economics , -   , -   , -   , -   , * , -   , -   , * , * ,
Geography, 64 , 162 , 123 , 100 , 75 , 49 , 59 , 81 , 37 ,
History, 59 , 162 , 164 , 109 , 91 , 86 , 65 , 66 , 42 ,
Religious Education, 59 , 97 , 77 , 72 , 86 , 64 , 82 , 69 , 44 ,
Modern Studies, 41 , 90 , 101 , 90 , 64 , 48 , 46 , 30 , 17 ,
Media Studies, * , * , * , * , * , * , * , * , -   ,
Business Studies, 31 , 78 , 94 , 105 , 107 , 99 , 150 , 114 , 41 ,
Computing Studies, 16 , 41 , 66 , 79 , 67 , 86 , 111 , 102 , 32 ,
Home Economics, 55 , 87 , 75 , 69 , 64 , 109 , 138 , 159 , 70 ,
Technical Education, 84 , 182 , 164 , 133 , 116 , 113 , 183 , 186 , 76 ,
PSE/Guidance, -   , 18 , 80 , 76 , 86 , 61 , 73 , 90 , 32 ,
,,,,,,,,,,
Art , 26 , 110 , 142 , 160 , 141 , 146 , 134 , 139 , 64 ,
Music, 95 , 156 , 134 , 117 , 109 , 64 , 96 , 82 , 24 ,
Physical Education, 253 , 402 , 378 , 219 , 123 , 81 , 99 , 160 , 39 ,
Speech and Drama , 16 , 68 , 79 , 62 , 30 , 43 , 40 , 36 , 8 ,
,,,,,,,,,,
Learning support , 6 , 28 , 51 , 86 , 95 , 107 , 130 , 198 , 86 ,
,,,,,,,,,,
Additional support needs-general, -   , 5 , 13 , 12 , 11 , 20 , 33 , 26 , 17 ,
Additional support needs-behavioural support, -   , * , 8 , 7 , 11 , 14 , 10 , 24 , 14 ,
Additional support needs-learning difficulties , * , * , 20 , 15 , 15 , 22 , 33 , 42 , 25 ,
Additional support needs-physical disabilities, * , -   , * , -   , * , * , * , -   , -   ,
Hearing impairment, -   , * , * , * , * , * , 5 , 6 , * ,
Visual impairment, -   , -   , * , -   , * , * , * , * , * ,
,,,,,,,,,,
Other, 8 , 16 , 22 , 29 , 29 , 26 , 39 , 41 , 36 ,
